"Paper_id","Duration","Year_result","Loc_multi_results","Review_id","Group_RV","Response_var","Response_var_units","Stat_test","Stat_type","Trt_id1","Trt1_interaction","Trt1_interaction2","Trt_id1value","Trt_id2","Trt2_interaction","Trt2_interaction2","Trt_id2value","Sig_level","Effect","Effect_norm","Group_finelevel","Trt_id1name","Trt_id1description","Trt_id2name","Trt_id2description","Reviewers_results_short","Reviewers_results_long","Authors_comments","Res_key","group_metric","main_group"
1,"2001-8","0",0,"Cover crop","Soil","soil loss","Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,0,"mono","no cover crop, moldboard plow","no winter cover crop, moldboard plow applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, moldboard plow","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","cover crops did not alter soil organic carbon levels in no-tillage, moldboard plow, and chisel plow systems compared to the same tillage system without cover crop. ","For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000. ","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","1","Erosion","Environmental"
1,"2001-8","0",0,"Cover crop","Soil","soil loss","Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,0,"mono","no cover crop, chisel plow","no winter cover crop, chisel plow applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, chisel plow","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","cover crops did not alter soil organic carbon levels in no-tillage, moldboard plow, and chisel plow systems compared to the same tillage system without cover crop. ","For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000. ","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","2","Erosion","Environmental"
1,"2001-8","0",0,"Cover crop","Soil","soil loss","Mt/ha/yr","LSD","mean",0,4,NA,8.1,1,4,NA,6.2,"ns",0,0,"mono","no cover crop, no-tillage","no winter cover crop, no-tillage applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, no-tillage","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","cover crops did not alter soil organic carbon levels in no-tillage, moldboard plow, and chisel plow systems compared to the same tillage system without cover crop. ","For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000. ","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","3","Erosion","Environmental"
1,"2001-8","0",0,"Cover crop","Soil","soil organic carbon in topsoil","Mt/ha/yr","LSD","mean",0,2,NA,0.5,1,2,NA,0.4,"ns",0,0,"mono","no cover crop, moldboard plow","no winter cover crop, moldboard plow applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, moldboard plow","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","cover crops did not alter soil organic carbon levels in no-tillage, moldboard plow, and chisel plow systems compared to the same tillage system without cover crop. ","For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000. ","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","4","Soil Carbon, 0-20 cm depth","Chemical"
1,"2001-8","0",0,"Cover crop","Soil","soil organic carbon in topsoil","Mt/ha/yr","LSD","mean",0,3,NA,0.37,1,3,NA,0.3,"ns",0,0,"mono","no cover crop, chisel plow","no winter cover crop, chisel plow applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, chisel plow","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","cover crops did not alter soil organic carbon levels in no-tillage, moldboard plow, and chisel plow systems compared to the same tillage system without cover crop. ","For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000. ","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","5","Soil Carbon, 0-20 cm depth","Chemical"
1,"2001-8","0",0,"Cover crop","Soil","soil organic carbon in topsoil","Mt/ha/yr","LSD","mean",0,4,NA,0.13,1,4,NA,0.1,"ns",0,0,"mono","no cover crop, no-tillage","no winter cover crop, no-tillage applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, no-tillage","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","cover crops did not alter soil organic carbon levels in no-tillage, moldboard plow, and chisel plow systems compared to the same tillage system without cover crop. ","For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000. ","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","6","Soil Carbon, 0-20 cm depth","Chemical"
1,"2001-8","2,4,6,8",0,"Cover crop","Crop Production","soybean stand count","# plants/ha","LSD","mean",0,2,NA,355000,1,2,NA,350000,"ns",0,0,"mono","no cover crop, moldboard plow","no winter cover crop, moldboard plow applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, moldboard plow","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","7","Seedling Density","Stand Count"
1,"2001-8","2,4,6,8",0,"Cover crop","Crop Production","soybean stand count","# plants/ha","LSD","mean",0,3,NA,342000,1,3,NA,353000,"ns",0,0,"mono","no cover crop, chisel plow","no winter cover crop, chisel plow applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, chisel plow","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","8","Seedling Density","Stand Count"
1,"2001-8","2,4,6,8",0,"Cover crop","Crop Production","soybean stand count","# plants/ha","LSD","mean",0,4,NA,290000,1,4,NA,293000,"ns",0,0,"mono","no cover crop, no-tillage","no winter cover crop, no-tillage applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, no-tillage","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","9","Seedling Density","Stand Count"
1,"2001-8","1,3,5,7",0,"Cover crop","Crop Production","maize stand count","# plants/ha","LSD","mean",0,2,NA,65500,1,2,NA,65700,"ns",0,0,"mono","no cover crop, moldboard plow","no winter cover crop, moldboard plow applied preceeding cash crop","maize: cereal rye / soybean: hairy vetch, moldboard plow","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","All three tillage systems with cover crops had statistically similar SOC levels with the same tillage system without a cover crop. No soil carbon sequestration (net increase) occurred over time for any of the tillage treatments with cover crops when compared with 2000 SOC levels for each treatment. The NT system seems to have resulted in reduced soil erosion and maintained more SOC than that in the MP and CP systems with or without a cover crop.","10","Seedling Density","Stand Count"
