"","Paper_id","methods"
"1",1,"1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m."
"2",2,"2 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 2.5 x 10^6 seeds/ha, oat @ 3.7 x 10^6 seeds/ha. 2 Cover crops were no-till drilled between September-October and between August-September. 2 Plots were 930.25 sq m."
"3",3,"3 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye + oilseed radish cv. Tillage Radish. 3Cover crops were terminated with herbicide. 3 Plots were 1 sq m."
"4",4,"4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m."
"5",5,"5 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 67-134 kg/ha, ""other"" - spring oat, Italian ryegrass, forage radish @ 67-101, 22, and 6.7-11 kg/ha. 5 Cover crops were no-till drilled in the fall. 5 Plots were an undescribed size."
"6",6,"6 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 157 kg/ha, hairy vetch @ 22 kg/ha. 6 Cover crops were hand seeded in September. 6 Plots were 9 sq m."
"7",7,"7 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye + oat @ 70/30 mix. 7Cover crops were broadcasted. 7 Plots were 14.44 sq m."
"8",8,"8 Plots received one of the following cover crop treatments: winter fallow (control), Italian ryegrass @ 34 kg/ha, winter wheat @ 67 kg/ha. 8Cover crops were broadcasted and no-till drilled. 8 Plots were 82.81 sq m."
"9",9,"9 Plots received one of the following cover crop treatments: cereal rye or wheat, winter fallow (control). 9Cover crops were terminated with disked. 9 Plots were 163.84 sq m or 237.16 sq m or 334.89 sq m."
"10",10,"10 Plots received one of the following cover crop treatments: winter fallow (control), oat @ 3,800,000 seeds/ha, cereal rye @ 3,800,000 seeds/ha, cereal rye + oat @ 3,800,000 seeds/ha. 10Cover crops were overseeded into soybean. 10 Plots were 14.44 sq m."
"11",11,"11 Plots received one of the following cover crop treatments: wheat cv. Arapho @ 78.4 kg/ha, winter triticale cv. Newcastle @ 78.4 kg/ha, barley cv. Perkins @ 78.4 kg/ha, cereal rye cv. VNS @ 78.4 kg/ha, hairy vetch @ 35.8 kg/ha, winter fallow (control), barley @ 78.4 kg/ha, cereal rye @ 78.4 kg/ha, triticale @ 156.4 kg/ha, wheat @ 78.4 kg/ha. 11Cover crops were terminated with herbicide. 11 Plots were 21.16 sq m."
"12",12,"12 Plots received one of the following cover crop treatments: cereal rye @ 125 kg/ha, winter fallow (control). 12Cover crops were interseeded. 12 Plots were 37.21 sq m."
"13",13,"13 Plots received one of the following cover crop treatments: winter fallow (control), oat cv. Ogle @ 380 kg/ha, cereal rye @ 380 kg/ha. 13Cover crops were drop seeded (interseeded into soybean). 13 Plots were 14.5161 sq m."
"14",14,"14 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye cv. Rymin @ 180 kg/ha. 14 Cover crops were no-till drilled between September-October. 14 Plots were 187.69 sq m."
"15",15,"15 Plots received one of the following cover crop treatments: cereal rye cv. Maton + oat cv. Jerry @ 26,000,000 and 1,100,000 seeds/ha, winter fallow (control). 15 Cover crops were drop seeded between August-September. 15 Plots were 14.44 sq m."
"16",16,"16 Plots received one of the following cover crop treatments: slender wheatgrass cv. Gould ex Shinners @ 34 kg/ha, winter fallow (control). 16 Cover crops were broadcasted in September. 16 Plots were 324 sq m."
"17",17,"17 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye cv. Rymin @ 100 kg/ha. 17 Cover crops were no-till drilled in October. 17 Plots were 231.04 sq m."
"18",18,"18 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye cv. Rymin @ 100 kg/ha. 18 Cover crops were drilled in October. 18 Plots were 231.04 sq m."
"19",19,"19 Plots received one of the following cover crop treatments: cereal rye cv. variable, winter fallow (control).  19 Plots were an undescribed size."
"20",20,"20 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 70 kg/ha. 20 Cover crops were drilled in October. 20 Plots were 37.21 sq m."
"21",21,"21 Plots received one of the following cover crop treatments: cereal rye cv. Rymin @ 126 kg/ha, winter fallow (control). 21 Cover crops were broadcasted in September. 21 Plots were an undescribed size."
"22",22,"22 Plots received one of the following cover crop treatments: winter triticale cv. Fridge @ 269 kg/ha, winter barley cv. McGregor @ 269 kg/ha, winter fallow (control), hairy vetch @ 33.6 kg/ha, cereal rye @ 269 kg/ha, Austrian winter peas @ 44.6 kg/ha. 22 Cover crops were no-till drilled in September. 22 Plots were 83.5396 sq m."
