"","Paper_id","introduction","Duration","Year_result","Loc_multi_results","Group_RV","group_metric","main_group","Group_finelevel","Response_var","Trt_id1","Trt1_interaction","Trt1_interaction2","Trt_id1description","Trt_id2","Trt2_interaction","Trt2_interaction2","Trt_id2description","Reviewers_results_short","Reviewers_results_long","methods","citation","citation_short"
"1",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","soybean stand count",0,2,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,2,NA,"maize: cereal rye / soybean: hairy vetch, moldboard plow preceeded cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"2",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","soybean stand count",0,2,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,3,NA,"maize: cereal rye / soybean: hairy vetch, chisel plow proceeded cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"3",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","soybean stand count",0,2,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,4,NA,"maize: cereal rye / soybean: hairy vetch, no-tillage preceed cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"4",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","soybean stand count",0,3,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,3,NA,"maize: cereal rye / soybean: hairy vetch, no-tillage preceeded cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"5",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","soybean stand count",0,4,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,4,NA,"maize: cereal rye / soybean: hairy vetch, no-tillage preceed cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"6",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","maize stand count",0,2,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,2,NA,"maize: cereal rye / soybean: hairy vetch, moldboard plow preceeded cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"7",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","maize stand count",0,2,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,3,NA,"maize: cereal rye / soybean: hairy vetch, chisel plow proceeded cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"8",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","maize stand count",0,2,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",0,4,NA,"no winter cover crop, no-tillage preceeded cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"9",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","maize stand count",0,2,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,4,NA,"maize: cereal rye / soybean: hairy vetch, no-tillage preceed cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
"10",1,"1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).","2001-8",0,0,"Crop Production","Seedling Density","Stand Count","mono","maize stand count",0,3,NA,"no winter cover crop, moldboard plow applied preceeding cash crop",1,3,NA,"maize: cereal rye / soybean: hairy vetch, no-tillage preceeded cash crop planting","maize and soybean seedling densities were unaffected by cover crops from 2002-2009.","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009.","1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m.","1 Olson, K.R., Ebelhar, S.A. & Lang, J.M. (2010). Cover crop diversity synthesis. Soil Science, 175(2): 89-98. DOI: 10.1097/SS.0b013e3181cf7959","Olson et al. (2010)"
