"","Paper_id","results_short2","results_long2"
"1",1,"They found maize and soybean seedling densities were unaffected by cover crops from 2002-2009.  They found cover crops did not affect maize or soybean yields.  They found cover crops did not alter soil organic carbon levels in no-tillage, moldboard plow, and chisel plow systems compared to the same tillage system without cover crop. ","Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009. ""Based on 8 years of crop yield measurements (4 years corn and 4 years soybean) for three tillage systems with and without cover crops, cover crops did not affect plant populations or crop yields."" For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000."
"2",2,"They found no impact of rye cover crops on maize and soybean yields, but oat cover crops reduced yields four out of six years.  They found no impact of oat or rye cover crops on corn stalk nitrate concentrations two out of three years, with reduced nitrate concentrations in the third year compared to winter fallow.  They found rye and oat cover crops reduced nitrate leaching through soils compared to winter fallow. ","The effect of cover crops on maize and soybean yields was dependent on the cover crop. Rye cover crops had no effect on soybean or maize yields from 2005 to 2010 compared to winter fallow. Oat cover crops, alternatively, reduced maize and soybean yields from 2005 to 2008 compared to winter fallow. Cash crop yields were unaffected by oat cover crops in 2009 and 2010. ""In all 5 years a large part of the drainage occurred in spring and early summer. There were no significant differences among treatments for annual cumulative drainage. In general, the large variability in cumulative drainage among replications within treatments made it difficult to detect treatment differences if they existed."" The effect of cover crops on maize and soybean yields was dependent on the cover crop. Rye cover crops had no affect on soybean or maize yields from 2005 to 2010 compared to winter fallow. Oat cover crops, alternatively, reduced maize and soybean yields from 2005 to 2008 compared to winter fallow. Cash crop yields were unaffected by oat cover crops in 2009 and 2010. ""Corn yields in 2006 and 2008 were much higher than in 2010, which would have resulted in greater plant demand for nitrogen and likely contributed to the low stalk nitrate values in those years."" NA"
"3",3,"They found no impact of winter rye on denitrification rates compared with winter fallow.  They found similar amounts of water extractable organic carbon following three winters of cover crops (winter rye, cereal rye, and tillage radish) compared to winter fallow. ","A slight decrease (not significant) in denitrification rates was observed with rye cover crop compared to winter fallow. ""Within three years of cover crop implementation, cereal rye, and tillage radish residues have not increased the water extractable organic content in soils relative to the other treatments. The lack of difference may be attributed to the relatively short time period that cover crops were planted within this site."""
"4",4,"They found no impact of winter cover crops on the amount of ammonium in soil compared to winter fallow.  They found no significant impacts of cover crops on bulk density  They found cash crop yields were unaffected by winter cover crops.  They found no impact of cover crops on pH.  They found a marginally significant (p = 0.621) reduction in plant available phosphorous with a cover crop mixture of forage radish, hairy vetch, and cereal rye.  They found no impact of cover crops on soil nitrate.  They found increased penetration resistance with a cover crop mixture of forage radish, hairy vetch, and rye in one area (non-headlands) compared to winter fallow. Penetration resistance was unaffected by all other cover crop treatments.  They found cover crop treatments did not affect maize or soybean yields compared to winter fallow.  They found cover crop treatments did not affect total carbon compared to winter fallow.  They found cover crop treatments did not effect total carbon compared to winter fallow.  They found no impact of cover crops on water aggregate stability compared to winter fallow.  They found reductions in weed biomass when forage radish, hairy vetch, and cereal rye were planted as a mixture compared to winter fallow.  They found weed density was unaffected by cover crops. ","""There was no effect of field area or cover crop treatments on available nitrogen (ammonium & nitrate)."" Over the course of this two year study, soil bulk density was consistantly unaffected by the addition of a cover crop (monoculture or mixture). ""Cash crop yields were not different between field areas [headland and non-headland] nor did the cover crop treatments affect soybean or corn production."" pH was consistently unaffected by the inclusion of winter cover crops. Forage radish and forage radish mixed with buckwheat as cover crops had no effect on plant available phosphorous compared to winter fallow. The only cover crop treatment to reduce plant available phosphorous levels was the three way mixture of forage radish, hairy vetch, and cereal rye. There was no effect of cover crop treatment or field location (headland & non-headland) on soil nitrogen (nitrate & ammonium). ""Cover crop treatment of forage radish, hairy vetch, cereal rye seemed to increase the penetration resistance slightly within the non-headlands areas in comparison with the other treatments likely related to the cover crops still growing and extracting water from the profile at the time of measurement."" Maize and soybean yields were unaffected by winter cover crops compared to winter fallow in both headlands and non-headland field areas. Cover crops did not influence total carbon stocks in the soils in either headlands or non-headlands. There were measurable increases in total carbon within the headlands relative to the non-headlands areas in the spring and up  40 cm in depth, but these gains were not statistically significant (p = 0.1005). Cover crops did not influence water aggregate stability in either headlands or non-headlands (p = 0.5356). Weed biomass was reduced when forage radish was grown alone or grown with buckwheat compared to winter fallow, but this reduction was not statistically significant. When forage radish, hairy vetch, and cereal rye were mixed weed biomass decreased by more than two-thirds compared to winter fallow. The cover crop treatments tested had no effect on weed density in either the headlands or non-headlands compared to winter fallow."
"5",5,"They found increased control of waterhemp with cereal rye cover crops compared to winter fallow. The 'other' cover crops studied did not affect the control of waterhemp.  They found increased control of Palmer amaranth with cereal rye cover crops compared to winter fallow. The 'other' cover crops studied increased control of Palmer amaranth early in the growing season, but by the autumn there was Palmer amaranth was not effectively controlled compared to winter fallow.  They found rye cover crops reduced the population density of Palmer amaranth throughout the growing season whereas Palmer amaranth density was unaffected by the ""other"" cover crops tested. ","Cereal rye consistently improved the percent control of waterhemp in this study 21 days after planting  and after the harvest of cash crops compared to winter fallow and the 'other' cover crops studied. There was no benefit in control of waterhemp with the inclusion of the 'other' cover crops examined in this study. Cereal rye improved control of Palmer amaranth compared to winter fallow and the 'other' cover crops studied following the harvest of the cash crop both 42 days after planting and the harvesting of the cash crops. Control of Palmer amaranth decreased when 'other' cover crops  were grown compared to winter fallow throughout the growing season, but this effect was only significant 42 days after planting the cash crop. Cereal rye reduced the density of Palmer amaranth by more than half compared to winter fallow and the 'other' cover crops studied 42 days after planting and following the harvest of the cash crop. While  statistically insignificant, the density of Palmer amaranth increased with 'other' cover crops compared to winter fallow late in the growing season (harvest of cash crop)."
"6",6,"They found cocklebur was poorly controlled with either winter rye or hairy vetch with tillage, but was effectively controlled with either cover crop in a mowed system.  They found giant foxtail was not effectively controlled with either winter rye or hairy vetch with tillage, but was effectively controlled with either cover crop in a mowed system.  They found in both years of the study winter rye reduced cash crop yields compared to winter fallow.  They found in both years of the study hairy vetch had no affect on cash crop yields compared to winter fallow. ","When tillage was used to terminate cover crops in the spring, control of cocklebur was reduced with hairy vetch compared to winter rye and winter fallow. However,  when  cover crops were terminated with mowing, both hairy vetch and winter rye increased control over cocklebur compared to winter fallow. When tillage was used to terminate cover crops in the spring, control of giant foxtail was with hairy vetch or winter rye was similar to when fields were fallow throughout the winter. However,  when  cover crops were terminated with mowing, both hairy vetch and winter rye increased control over giant foxtail compared to winter fallow. Winter rye reduced cash crops yields by nearly half the first year and by more than half in the second year of the study. Cash crop yields were unaffected when hairy vetch was grown as a winter cover crop in both years of this study."
"7",7,"They found nitrous oxide emisisons were unaffected by cover crop mixtures of winter rye and oat both while the cover crops were growing and over the entire year. ","""The presence of a cover crop did not significantly effect total nitous oxide emissions in the treatments receiving 202 kg manure N/ha. While there was a trend of lower mean nitrous oxide emission in the cover crop no manure treatment as compared to the no cover crop no manure treatment, this difference was not significant."""
"8",8,"They found generally no difference in the density of henbit and purple deadnettle in the cover crop treatments (Italian ryegrass and winter wheat) compared to the untreated controls.  They found density of soybean cyst nematode eggs in the cover crop treatments (Italian ryegrass and winter wheat) were generally not different from the untreated controls.  They found after 5 years of the cover crop treatments (Italian ryegrass and winter wheat) winter annual weed densities were generally similar to the untreated controls.  They found winter annual weed densities in the cover crop–treated plots were generally not different from that of the nontreated check. ","The density of winter annual weeds, Lamim spp. (Henbit and purple deadnettle), was generally unaffected winter wheat and Italian ryegrass cover crops in both the spring and autumn in 2006 and 2007 at two locations. The only exceptions being in 2007 at the Vincennes, IN location, both winter wheat and Italian ryegrass had increased densities of Lamium spp. compared to the nontreated check. NA ""Cover crops were generally similar to the nontreated check. One exception was total winter annual weeds where the Italian ryegrass cover crop had higher weed density than did the wheat cover crop or the nontreated check. The high level of winter mortality of Italian ryegrass at this site may have inhibited the ability of this cover crop to suppress weed growth. In addition, the soil disturbance from the drill may have promoted additional weed density, resulting in higher weed density than the nontreated check had.
over a fairly wide range of temperatures, but the rate of SCN
growth and development is strongly temperature dependent.
The rate of SCN egg development increases linearly with
temperature between 15 and 30 C but ceases all together at
temperatures below 10 C (Alston and Schmitt 1988).
Previous studies have shown that henbit and purple deadnettle
can support SCN reproduction at levels comparable to SCNsusceptible
soybean in the greenhouse (Creech et al. 2007a;
Venkatesh et al. 2000). In the field, however, soil temperatures
are not optimal for SCN development at the time that
winter annual weeds are actively growing. Soil temperature
data collected in these plots over the course of the study
suggest that the period of overlap between high SCN activity
and winter annual weed growth is likely limited to a few weeks
in early autumn and late spring (data not shown).
Although the ability of SCN to reproduce on henbit and
purple deadnettle under field conditions in Indiana, Illinois,
and Ohio has also been confirmed (Creech et al. 2005,
2007b), the results of this 5-yr study suggest that SCN
reproduction on winter annual weeds appears to contribute
little, if any, to the overall SCN population levels in the field.
Nelson et al. (2006) reported an inconsistent response of SCN
to winter annual weed management in Missouri where the few
treatment differences that were observed in a single year were
not significant in another year.
Crop Yield. Soybean yield varied SCN hatching, root penetration, and development occur over a fairly wide range of temperatures, but the rate of SCN growth and development is strongly temperature dependent. The rate of SCN egg development increases linearly with temperature between 15 and 30 C but ceases all together at temperatures below 10 C (Alston and Schmitt 1988). Previous studies have shown that henbit and purple deadnettle can support SCN reproduction at levels comparable to SCN susceptible soybean in the greenhouse (Creech et al. 2007a; Venkatesh et al. 2000). In the field, however, soil temperatures are not optimal for SCN development at the time that winter annual weeds are actively growing. Soil temperature data collected in these plots over the course of the study suggest that the period of overlap between high SCN activity and winter annual weed growth is likely limited to a few weeks in early autumn and late spring (data not shown). Although the ability of SCN to reproduce on henbit and purple deadnettle under field conditions in Indiana, Illinois, and Ohio has also been confirmed (Creech et al. 2005,  2007b), the results of this 5-yr study suggest that SCN reproduction on winter annual weeds appears to contribute little, if any, to the overall SCN population levels in the field. Nelson et al. (2006) reported an inconsistent response of SCN to winter annual weed management in Missouri where the few treatment differences that were observed in a single year were not significant in another year. ""Cover crops were generally similar to the nontreated check. One exception was total winter annual weeds where the Italian ryegrass cover crop had higher weed densities than the wheat cover crop or the nontreated check. The high level of winter mortality of Italian ryegrass at this site may have inhibited the ability of this cover crop to suppress weed growth. In addition, the soil disturbance from the drill may have promoted additional weed density, resulting in higher weed density than the nontreated check had.
over a fairly wide range of temperatures, but the rate of SCN
growth and development is strongly temperature dependent.
The rate of SCN egg development increases linearly with
temperature between 15 and 30 C but ceases all together at
temperatures below 10 C (Alston and Schmitt 1988).
Previous studies have shown that henbit and purple deadnettle
can support SCN reproduction at levels comparable to SCNsusceptible
soybean in the greenhouse (Creech et al. 2007a;
Venkatesh et al. 2000). In the field, however, soil temperatures
are not optimal for SCN development at the time that
winter annual weeds are actively growing. Soil temperature
data collected in these plots over the course of the study
suggest that the period of overlap between high SCN activity
and winter annual weed growth is likely limited to a few weeks
in early autumn and late spring (data not shown).
Although the ability of SCN to reproduce on henbit and
purple deadnettle under field conditions in Indiana, Illinois,
and Ohio has also been confirmed (Creech et al. 2005,
2007b), the results of this 5-yr study suggest that SCN
reproduction on winter annual weeds appears to contribute
little, if any, to the overall SCN population levels in the field.
Nelson et al. (2006) reported an inconsistent response of SCN
to winter annual weed management in Missouri where the few
treatment differences that were observed in a single year were
not significant in another year.
Crop Yield. Soybean yield varied SCN hatching, root penetration, and development occur over a fairly wide range of temperatures, but the rate of SCN growth and development is strongly temperature dependent. The rate of SCN egg development increases linearly with temperature between 15 and 30 C but ceases all together at temperatures below 10 C (Alston and Schmitt 1988). Previous studies have shown that henbit and purple deadnettle can support SCN reproduction at levels comparable to SCN susceptible soybean in the greenhouse (Creech et al. 2007a; Venkatesh et al. 2000). In the field, however, soil temperatures are not optimal for SCN development at the time that winter annual weeds are actively growing. Soil temperature data collected in these plots over the course of the study suggest that the period of overlap between high SCN activity and winter annual weed growth is likely limited to a few weeks in early autumn and late spring (data not shown). Although the ability of SCN to reproduce on henbit and purple deadnettle under field conditions in Indiana, Illinois, and Ohio has also been confirmed (Creech et al. 2005,  2007b), the results of this 5-yr study suggest that SCN reproduction on winter annual weeds appears to contribute little, if any, to the overall SCN population levels in the field. Nelson et al. (2006) reported an inconsistent response of SCN to winter annual weed management in Missouri where the few treatment differences that were observed in a single year were not significant in another year."
"9",9,"They found significantly more adult seedcorn maggots at two of the three study sites with winter rye compared to winter fallow in 1987.  They found an increased abundance of seedcorn maggot adults were trapped when winter wheat was grown compared to winter fallow in 1988.  They found winter cover crops increased seedcorn maggot injury of Y-plants at only one of the three locations included in this study (winter wheat was grown there) in 1987.  They found significantly more seedcorn maggot damaged plants at only one of the two sites when winter wheat was grown compared to winter fallow in 1988.  They found winter cover crops had no affect on yields at all sites throughout the duration of this study. ","Seedcorn maggot populations increased at three locations throughout the state when green, living cover crops were incorporated into the soil, often resulting in increased maggot injury to young plants. Greater seedcorn maggot populations led to statistically higher percentage of maggot-damaged plants only at the Western Branch in 1987 and the Southwestern Branch in 1988. In 1988, an increased abundance of seedcorn maggot adults were trapped when winter wheat was grown compared to winter fallow In 1987, winter cover crops increased seedcorn maggot injury of Y-plants at only one of the three locations included in this study (winter wheat was grown there). In 1988, there were significantly more seedcorn maggot damaged plants at only one of the two sites when winter wheat was grown compared to winter fallow. In 1988, there were significantly more seedcorn maggot damaged plants at only one of the two sites when winter wheat was grown compared to winter fallow. In 1987, winter cover crops increased seedcorn maggot injury of Y-plants at only one of the three locations included in this study (winter wheat was grown there). Winter wheat and cereal rye cover crops had no effect on soybean yields in 1987 or 1988 at three sites in Ohio."
"10",10,"They found no impact of oat cover crops on maize yields compared to winter fallow, but rye and oat/rye mixtures reduced maize yields.  They found rye, oat, and rye/oat mixtures of cover crops did not affect soybean yields compared to no winter cover crops. ","""The rye and oat-rye mixture treatments significantly reduced corn yield compared with the control and oat plots in both of the years that data are available. Apparently, the rye and oat-rye cover crops stressed the corn plants during early vegetative growth. The oat cover crop plants are winter-killed in Iowa, so there is no direct resource competition with the corn in the spring."" ""The soybean yield averages for 1994 through 1996 were numerically lower, but not statistically different from the control."""
