DOI,Paper_id,Loc_multi,Soil_type,City,State,Latitude,Longitude,Year_start,Years_num,Annual_precip,Field_history,Exp_design,Exp_arrangement,Reps,Plot_width,Plot_length,Trtmt_levels,Trtmt_main,Trtmt_main_levels,Trtmt_splitA,Trtmt_splitA_levels,Trtmt_splitB,Trtmt_splitB_levels,Trtmt_splitC,Trtmt_splitC_levels
10.1097/SS.0b013e3181cf7959,1,0,"Grantsburg silt loam (fine-silty, mixed, mesic Typic Fragiudalfs)",Dixon Spring Agricultural Research Center,IL,37.44,-88.67,2001,4,617, in a tillage experiment for 13 years before the start of this experiment,latin square (3 randomizations),split-plot,6,4.5,12,2,tillage,3,cover crops,2,,,,
10.1016/j.agwat.2012.03.010,2,0,"Canisteo (fine loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludolls)",Ames,IA,42.05,-93.71,2006,5,856,experiment established in 1999,randomized complete block design,,4,30.5,42.7,1,cover crops species,3,,,,,,
10.4137/ASWR.S30708,3,0,poorly drained Drummer and Elpaso silt clay loams,Lexington,IL,40.64,-88.78,2012,3,,,randomized complete block design,,3,1,2023,3,cover crops species + management,3,,,,,,
10.1016/j.agee.2015.10.014,4,1,"Flanagan silt loam (Fine, smectitic, mesic Aquic Argiudolls)",Cerro Gordo,IL,39.54,-88.43,2011,2,1015,"The typical grain rotation for this farm is yellow organic corn, food grade soybeans and soft red winter wheat (Triticum aestivum L.). Since 1972, the farm has used a variety of cover crops, including red clover (Trifolium pretense L.), forage radish, cereal rye, annual rye (Lolium multiflorum Lam.) and oats (Avena sativa L.).  The year prior to our study yellow organic corn was planted with 2 t of chicken litter and a mixture of cereal rye and hairy vetch as cover crops.",randomized complete block design ,split-plot,2,6,15,2,field area,2,cover crops,4,,,,
10.1016/j.agee.2015.10.014,4,2,"Danabrook silt loam (Fine-silty, mixed, superacitve, mesic Oxyaquic Argiudolls)",Malta,IL,41.55,-88.56,2011,2,1015,"Typical crop rotation is corn, soybean, and small grains with several types of cover crops: red clover, alfalfa (Medicago sativa L.), radishes, oats, and buckwheat. The year prior to our study corn was planted with spring applied manure from a local dairy.",randomized complete block design ,split-plot,2,6,15,2,field area,2,cover crops,4,,,,
10.1016/j.agee.2015.10.014,4,3,"Virden silty clay loams (Fine, smectitic, mesic Vertic Argiaquolls)",Pana,IL,39.27,-89.03,2011,2,1015,"The typical grain rotation is a seven year rotation of fallow, corn, oats, corn, soybean and meadow. The Pana farmer uses a variety of cover crops, including clover, alfalfa, orchard grass (Dactylis glomerata L.), cereal rye, hairy vetch and buckwheat.",randomized complete block design ,split-plot,2,6,15,2,field area,2,cover crops,4,,,,
10.1016/j.agee.2015.10.014,4,4,"Virden silty clay loams (Fine, smectitic, mesic Vertic Argiaquolls)",Pana,IL,39.27,-89.03,2011,2,1015,"The typical grain rotation is a seven year rotation of fallow, corn, oats, corn, soybean and meadow. The Pana farmer uses a variety of cover crops, including clover, alfalfa, orchard grass (Dactylis glomerata L.), cereal rye, hairy vetch and buckwheat.",randomized complete block design ,split-plot,2,6,15,2,field area,2,cover crops,4,,,,
10.1017/wet.2017.30,5,1,silt loam,,AR,34.75,-92.45,2013,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,2,silt loam,,AR,34.75,-92.45,2014,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,3,silt loam,,IN,40.02,-86.33,2013,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,4,silt loam,,IN,40.02,-86.33,2014,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,5,silt loam,,IL,40.35,-89.26,2013,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,6,silt loam,,IL,40.35,-89.26,2014,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,7,silt loam,,IL,40.35,-89.26,2014,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,8,silty clay loam,,MO,38.45,-92.69,2013,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,9,silt loam,,MO,38.45,-92.69,2014,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,10,silty clay loam,,OH,40.15,-83.02,2013,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,11,silty clay loam,,OH,40.15,-83.02,2014,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,12,silt loam,,TN,35.82,-86.77,2013,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
10.1017/wet.2017.30,5,13,silt loam,,TN,35.82,-86.77,2014,1,,,randomized experimental design,split-split-plot,4,,,3,cover crops,3,crop herbicide resistance,2,herbicides,3,,
www.jstor.org/stable/3987624,6,0,"Mexico silt loam (Udollic Ochraqualfs; fine montmorrillonitic, mesic)",Columbia,MO,38.96,-92.33,1989,2,,,randomized experimental design,split-split-plot,4,3,11,3,cover crops,3,cover crop termination,3,herbicides,2,,
10.1016/j.agee.2009.05.008,7,0,"Canisteo silty clay loam (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Clarion loam (fine-loamy, mixed, superactive, mesic Typic Hapludolls)",Ames,IA,42.02,-93.45,2005,2,835,"The experimental area had been rotated annually with corn and soybean [Glycine max (L.) Merr.] since 1998, with an average N input of 150 kg N ha1 in the corn years.",randomized complete block design,,4,3.8,21.3,1,cover crops + manure,6,,,,,,
10.1614/WS-D-11-00192.1,8,1,"Raub-Brenton complex (finne-silty, mixes, superactive, mesic, Aquic Argiudolls) ",West Lafayette,IN,40.45,-86.92,2006,2,,"Conventional tillage, corn-soybean. Continuous no-tillage initiaed in spring 2003.",randomized complete block design,split-plot,6,9.1,9.9,2,crop rotation,2,weed management,3,,,,
10.1614/WS-D-11-00192.1,8,2,"Patton silt loam (fine-silty, mixed, superactive, Typic Endoaquolls)",Vincennes,IN,38.68,-87.52,2006,2,,"Conventional tillage, corn-soybean. Continuous no-tillage initiaed in spring 2003.",randomized complete block design,split-plot,6,9.1,9.9,2,crop rotation,2,weed management,3,,,,
http://www.jstor.org/stable/25085273,9,1,,Custar,OH,41.28,-83.84,1987,1,,,randomized complete block design,strip-block,4,12.8,12.8,2,cover crops/planting date,4,,,,,,
http://www.jstor.org/stable/25085273,9,2,,South Charleston,OH,39.82,-83.64,1987,2,,,randomized complete block design,strip-block,3,15.4,10.2,2,cover crops/planting date,4,,,,,,
http://www.jstor.org/stable/25085273,9,3,,Ripley,OH,38.74,-83.84,1987,2,,,randomized complete block design,strip-block,4,18.3,18.3,2,cover crops/planting date,4,,,,,,
1abc,10,0,"Canisteo (fine-loamy, mixed, calcereous, mesic Typic Endoaquolls)",Ames,IA,42.02,-93.45,1990,6,,No-till maize and soybean,randomized complete block design,,5,3.8,65.7,1,cover crops,4,,,,,,
2abc,11,1,"Sharpsburg silty clay loam (fine, montmorillonitic, mesic, typic Argiudoll)",Ithaca,NE,41.16,-96.54,1994,1,,Silage maize ,randomized complete block design,strip-block split-plot,3,4.6,15,2,cover crops,5,irrigation,2,,,,
2abc,11,2,"Sharpsburg silty clay loam (fine, montmorillonitic, mesic, typic Argiudoll)",Ithaca,NE,41.16,-96.54,1995,1,,Silage maize ,randomized complete block design,strip-block split-plot,4,4.6,15,2,cover crops,6,irrigation,2,,,,
3abc,12,0,"Elston sandy loam (coarse-loamy, mixed mesic Typic Argiudolls)",Constantine,MI,41.84,-85.66,1995,3,,Inbred maize production,randomized complete block design,,4,6.1,7.6,2,cover crops,2,fertilization rate,3,,,,
4abc,13,0,"Clarion lam soil (fine-loamy, mixed, superactive, mesic Typic Hapludolls)",Ames,IA,42.02,-93.45,1994,3,,Maize-soybean rotation,randomized complete block design,split-plot,5,3.81,61,2,cover crops,3,wheel traffic,2,,,,
5abc,14,0,Normania clay loam soil (moderately well-drained),Lamberton,MN,44.23,-95.27,1998,3,670,,randomized complete block design,,4,13.7,15.3,2,cropping system,4,drainage tiles,2,,,,
10.1007/s10705-010-9345-9,15,0,"Canisteo silty clay loam (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Clarion loam (fine-loamy, mixed, superactive, mesic Typic Hapludolls)",Boone County,IA,42.05,-93.94,2005,2,,Maize-soybean rotation,randomized complete block design,,4,3.8,21.3,1,cropping system + fertilizer,6,,,,,,
10.1603/EN10041,16,0,,Brookings ,SD,44.348,-96.811,2007,2,,Maize-soybean rotation,completely randomized design,,6 to 8,18,24,1,cover crops,2,,,,,,
10.1016/j.agwat.2010.11.004,17,0,"Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludoll), Webster (fine-loam, mixed, superactive, calcareous, mesic Typic Endoaquolls), Canisteo (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Okoboji (Fine, smectitic, mesic Cumulic Vertic Endoaqulls)",Pocahontas County,IA,42.75,-94.7,2006,3,,,randomized complete block design,,4,15.2,38,1,cropping system,6,,,,,,
10.2134/jeq2011.0151,18,0,"Nicollet (fine-loamy, mixed, superactive, mesic Aquic Hapludoll), Webster (fine-loam, mixed, superactive, calcareous, mesic Typic Endoaquolls), Canisteo (fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls) and Okoboji (Fine, smectitic, mesic Cumulic Vertic Endoaqulls)",Pocahontas County,IA,42.75,-94.7,2005,4,,,randomized complete block design,,4,15.2,38,1,cropping system,6,,,,,,
10.1603/EN11168,19,0,,statewide,MN,46.01,-94.57,2005,1,,,survey,paired tests,22,,,1,cover crops,2,,,,,,
10.2136/sssaj2013.02.0074,20,0,"Clarion loam soil (fine-loamy, mixed, superactive, mesic Typic Hapludolls)",Boone County,IA,42.02,-93.77,2009,3,872,No-till maize and soybean,randomized complete block design,split-plot,4,6.1,15.2,2,cover crops,2,fertilization rate,3,,,,
10.2489/jswc.68.6.438,21,0,calcareous loamy glacial till (characteristic of the prarie pothole soiils of the Upper Midwest),west central,MN,46.21,-95.48,2008,1,,"privately owned dairy farm, continuous corn with fall manure application (5-10 years) then transitioned to 4 years alfalfa without manure",grided sampling of 56 acre fields,,1,,,1,cover crops,2,,,,,,
