Paper_id,DOI,Authors,Authors_abbrev,PubYear,Journal,Volume_issue,Title,Pages,ReaderName,DateRead,Notes
1,10.1097/SS.0b013e3181cf7959,"Olson, K.R., Ebelhar, S.A. & Lang, J.M.",Olson et al.,2010,Soil Science,175(2),Cover crop diversity synthesis,89-98,LWA,2/16/2018,
2,10.1016/j.agwat.2012.03.010,"Kaspar, T.C., Jaynes, D.B., Parkin, T.B., Moorman, T.B. & Singer, J.W. ",Kaspar et al.,2012,Agricultural Water Management,110,Effectiveness of oat and rye cover crops in reducing nitrate losses in drainage water,25-33,LWA,2/16/2018,
3,10.4137/ASWR.S30708,"Grebliunas, B.D., Armstrong, S.D. & Perry W.L.",Grebliunas et al.,2016,"Air, Soil and Water Research",9,Changes in water-extractable organic carbon with cover crop planting under continuous corn silage production,45-54,LWA,2/20/2018,
4,10.1016/j.agee.2015.10.014,"Welch, R.Y., Behnke, G.D., Davis, A.S., Masiunas, J. & Villamil, M.B.",Welch et al.,2016,"Agriculture, Ecosystems and Environment",216,"Using cover crops in headlands of organic grain farms: Effects on soil properties, weeds and crop yields",322-332,LWA,2/21/2018,
5,10.1017/wet.2017.30,"Loux, M.M., Dobbels, A.F., Bradley, K.W., Johnson, W.G., Young, B.G., Spaunhorst, D.J., Norsworthy, J.K., Palhano, M. & Steckel, L.E.",Loux et al.,2017,Weed Technology,31,Influence of cover crops on management of Amaranthus Species in glyphosate- and glufosinate-resistant soybean,487-495,LWA,2/27/2018,also fits cover crop termination review
6,www.jstor.org/stable/3987624,"Johnson, G.A., Defelice, M.S. & Helsel, Z.R.",Johnson et al.,1993,Weed Technology,7(2),Cover crop management and weed control in Corn (Zea mays),425-430,LWA,2/27/2018,
7,10.1016/j.agee.2009.05.008,"Jarecki, M.K., Parkin, T.B., Chan, A.S.L., Kaspar, T.C., Moorman, T.B., Singer, J.W., Kerr, B.J., Hatfield, J.L. & Jones, R. ",Jarecki et al.,2009,"Agriculture, Ecosystems and Environment",134,Cover crop effects on nitrous oxide emission from a manure-treated Mollisol,29-35,LWA,2/28/2018,
8,10.1614/WS-D-11-00192.1,"Mock, V.A., Creech, J.E., Ferris, V.R., Faghihi, J., Westphal, A., Santini, J.B. & Johnson, W.G.",Mock et al.,2012,Weed Science,60,Influence of winter annual weed management and crop rotation on soybean cyst nematode (Heterodera glycines) and winter annual weeds: Years four and five,634-640,LWA,3/1/2018,
9,http://www.jstor.org/stable/25085273,"Hammond, R. B.",Hammond,1991,Journal of the Kansas Entomological Society,64(2),Seedcorn maggot (Diptera: Anthomyiidae) populations on Ohio Soybean,216-220,LWA,4/17/2018,
10,1abc,"Johnson, T.J., Kaspar, T.C., Kohler, K.A., Corak, S.J., & Logsdon, S.D. ",Johnson et al.,1998,Journal of Soil and Water Conservation,53(3),Oat and rye overseeded into soybean as fall cover crops in the upper Midwest,276-279,LWA,7/10/2018,
11,2abc,"Williams, M.M. II, Mortensen, D.A., & Doran, J.W. ",Williams et al.,2000,Journal of Soil and Water Conservation,55(1),No-tillage soybean performance in cover crops for weed management in western Corn Belt,79-84,LWA,7/10/2018,
