Paper_id,Duration,Trt_id,Year,CC_soilprep,CC_plantdate,CC_plantimplement,CC_nutrient,CC_max_diversity,CC_mixture,CC_type,CC_seeddensity,Termination_type,Herbicide_type,Herbicide_rate,Herbicide_rateunits,Termination_timing,Trt_other_description,,,,,,,,
1,2001-8,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
1,2001-8,1,0,,,,,single,rotation of hairy vetch and cereal rye,,,,,,,,,,,,,,,,
1,2001-8,1,0,moldboard plow,fall,,residual,single,,,,,,,,,,,,,,,,,
1,2001-8,2,0,chisel plow,fall,,residual,single,,,,,,,,,,,,,,,,,
1,2001-8,3,0,no-till,fall,,residual,single,,,,,,,,,,,,,,,,,
2,2006-5,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
2,2006-5,1,0,,September-October,no-till drilled,,single,cereal rye,,2.5 x 10^6 seeds/ha,herbicide,glyphosate,1.12,kg ae/ha,"April-May, pre cash crop planting",,,,,,,,,
2,2006-5,2,0,,August-September,no-till drilled,,single,oat,,3.7 x 10^6 seeds/ha,winter killed,,,,,,,,,,,,,
3,2012-3,0,0,cultivated,,,200 kg/ha anhydrous ammonia (2012); 51 kg/ha ammonium sulfate (2011 only),mixture,winter fallow,,,,,,,,,,,,,,,,
3,2012-3,1,0,cultivated,,,200 kg/ha anhydrous ammonia (2012); 51 kg/ha ammonium sulfate (2011 only),mixture,cereal rye + oilseed radish,Tillage Radish,,herbicide,glycophosate,,,March,,,,,,,,,
4,2011-2,0,0,,,,,mixture,winter fallow,,,,,,,,,,,,,,,,
4,2011-2,1,0,,,broadcasted,,mixture,forage radish,,12.3 kg/ha,tillage,,,,two weeks before cash crop planting,,,,,,,,,
4,2011-2,2,0,,,broadcasted,,mixture,forage radish + buckwheat,,12.3 and 67.2 kg/ha,tillage,,,,two weeks before cash crop planting,,,,,,,,,
4,2011-2,3,0,,,broadcasted,,mixture,forage radish + hairy vetch + cereal rye,,"12.3, 16.8, and 56 kg/ha",tillage,,,,two weeks before cash crop planting,,,,,,,,,
4,2011-2,4,0,,,,,mixture,,,,,,,,,field location (headland),,,,,,,,
4,2011-2,5,0,,,,,mixture,,,,,,,,,field location (non-headland),,,,,,,,
4,2011-2,6,0,,,,,mixture,,,,,,,,,soil sample depth (0-10 cm),,,,,,,,
4,2011-2,7,0,,,,,mixture,,,,,,,,,soil sample depth (10-20 cm),,,,,,,,
4,2011-2,8,0,,,,,mixture,,,,,,,,,soil sample depth (20-30 cm),,,,,,,,
4,2011-2,9,0,,,,,mixture,,,,,,,,,soil sample depth (30-40 cm),,,,,,,,
5,2014-2,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
5,2014-2,1,0,,fall,no-till drilled,,single,cereal rye,,67-134 kg/ha,herbicide,"glyphosate and 2,4-D ester","0.84, 0.56",kg ae/ha,one and a half months to the day before cash crops were planted,,,,,,,,,
5,2014-2,2,0,,fall,no-till drilled,,single,"""other"" - spring oat, Italian ryegrass, forage radish",,"67-101, 22, and 6.7-11 kg/ha",herbicide or winter killed,"glyphosate and 2,4-D ester","0.84, 0.56",kg ae/ha,one and a half months to the day before cash crops were planted,,,,,,,,,
5,2014-2,3,0,,,,,single,,,,,,,,,no herbicides for weeds,,,,,,,,
5,2014-2,4,0,,,,,single,,,,,,,,,"herbicides applied included preplant residual, post plant foliar with a residueal, and post harvest of cash crop (flumioxazin/glyphosate+fomesafen+metolachlor OR glufosinate/metolachlor) ",,,,,,,,
5,2014-2,5,0,,,,,single,,,,,,,,,"herbicides applied included preplant residual, post plant foliar with a residueal, and post harvest of cash crop (flumioxazin / glyphosate+fomesafen+metolachlor OR glufosinate + metolachlor / acetochlor) ",,,,,,,,
6,1989-2,0,0,,,,,single,winter fallow,,,,,,,,,,,,,,,,
6,1989-2,1,0,,September,hand seeded,,single,cereal rye,,157 kg/ha,,,,,,,,,,,,,,
