Paper_id,Duration,Year_result,Loc_multi_results,Review_id,Group_RV,Response_var,Response_var_units,Stat_test,Stat_type,Trt_id1,Trt1_interaction,Trt1_interaction2,Trt_id1value,Trt_id2,Trt2_interaction,Trt2_interaction2,Trt_id2value,Sig_level,Effect,Effect_norm,Group_finelevel,Trt_id1name,Trt_id1description,Trt_id2name,Trt_id2description,Reviewers_results_short,Reviewers_results_long,Authors_comments
120,2008-2,1,1,Nutrient,Crop Production,stalk nitrate,mg/kg,LSD,mean,0,2,,4190,1,2,,5684,0.011,1,1,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),stalk nitrate concentrations increased at one of three sites when fertilizers were banded compared to broadcasted.,"At one of the three sites included in this study (Concord, NE), cash crop stalk nitrate concentrations significantly increased when either UAN or a 7:3 mixture of UAN and Nitamin-Nfusion fertilizers was banded compared to broadcasted. Fertilizer application strategy had no effect on cash crop stalk nitrate at the other two sites.",
120,2008-2,1,1,Nutrient,Crop Production,stalk nitrate,mg/kg,LSD,mean,0,3,,3514,1,3,,4784,0.011,1,1,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),stalk nitrate concentrations increased at one of three sites when fertilizers were banded compared to broadcasted.,"At one of the three sites included in this study (Concord, NE), cash crop stalk nitrate concentrations significantly increased when either UAN or a 7:3 mixture of UAN and Nitamin-Nfusion fertilizers was banded compared to broadcasted. Fertilizer application strategy had no effect on cash crop stalk nitrate at the other two sites.",
120,2008-2,2,2,Nutrient,Crop Production,stalk nitrate,mg/kg,LSD,mean,0,2,,1151,1,2,,2198,ns,0,0,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),stalk nitrate concentrations increased at one of three sites when fertilizers were banded compared to broadcasted.,"At one of the three sites included in this study (Concord, NE), cash crop stalk nitrate concentrations significantly increased when either UAN or a 7:3 mixture of UAN and Nitamin-Nfusion fertilizers was banded compared to broadcasted. Fertilizer application strategy had no effect on cash crop stalk nitrate at the other two sites.",
120,2008-2,2,2,Nutrient,Crop Production,stalk nitrate,mg/kg,LSD,mean,0,3,,1501,1,3,,1410,ns,0,0,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),stalk nitrate concentrations increased at one of three sites when fertilizers were banded compared to broadcasted.,"At one of the three sites included in this study (Concord, NE), cash crop stalk nitrate concentrations significantly increased when either UAN or a 7:3 mixture of UAN and Nitamin-Nfusion fertilizers was banded compared to broadcasted. Fertilizer application strategy had no effect on cash crop stalk nitrate at the other two sites.",
120,2008-2,2,3,Nutrient,Crop Production,stalk nitrate,mg/kg,LSD,mean,0,2,,2984,1,2,,2869,ns,0,0,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),stalk nitrate concentrations increased at one of three sites when fertilizers were banded compared to broadcasted.,"At one of the three sites included in this study (Concord, NE), cash crop stalk nitrate concentrations significantly increased when either UAN or a 7:3 mixture of UAN and Nitamin-Nfusion fertilizers was banded compared to broadcasted. Fertilizer application strategy had no effect on cash crop stalk nitrate at the other two sites.",
120,2008-2,2,3,Nutrient,Crop Production,stalk nitrate,mg/kg,LSD,mean,0,3,,2293,1,3,,2672,ns,0,0,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),stalk nitrate concentrations increased at one of three sites when fertilizers were banded compared to broadcasted.,"At one of the three sites included in this study (Concord, NE), cash crop stalk nitrate concentrations significantly increased when either UAN or a 7:3 mixture of UAN and Nitamin-Nfusion fertilizers was banded compared to broadcasted. Fertilizer application strategy had no effect on cash crop stalk nitrate at the other two sites.",
120,2008-2,1,1,Nutrient,Crop Production,maize grain yield,Mg/kg,LSD,mean,0,2,,15.56,1,2,,15.94,ns,0,0,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),no differences in cash crop yields when fertilizers were banded compared to broadcasted.,"At each of the three sites included in this study, cash crop yields increased when fertilizers were banded compared to broadcasted, but these increases were not statistically significant.",
120,2008-2,1,1,Nutrient,Crop Production,maize grain yield,Mg/kg,LSD,mean,0,3,,15.35,1,3,,15.59,ns,0,0,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),no differences in cash crop yields when fertilizers were banded compared to broadcasted.,"At each of the three sites included in this study, cash crop yields increased when fertilizers were banded compared to broadcasted, but these increases were not statistically significant.",
120,2008-2,2,2,Nutrient,Crop Production,maize grain yield,Mg/kg,LSD,mean,0,2,,13.54,1,2,,13.67,ns,0,0,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),no differences in cash crop yields when fertilizers were banded compared to broadcasted.,"At each of the three sites included in this study, cash crop yields increased when fertilizers were banded compared to broadcasted, but these increases were not statistically significant.",
120,2008-2,2,2,Nutrient,Crop Production,maize grain yield,Mg/kg,LSD,mean,0,3,,13.72,1,3,,13.34,ns,0,0,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),no differences in cash crop yields when fertilizers were banded compared to broadcasted.,"At each of the three sites included in this study, cash crop yields increased when fertilizers were banded compared to broadcasted, but these increases were not statistically significant.",
