"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_trtspecifics","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt1_name","Trt1_details","Trt2_name","Trt2_details","group_level1","group_level2","group_level3","nutrient_groups","Review"
1,120,"2008-2","1","stalk nitrate","","","1","mg/kg","LSD","mean","0",2,NA,4190,"1",2,"",5684,"0.011","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
2,120,"2008-2","1","stalk nitrate","","","1","mg/kg","LSD","mean","0",3,NA,3514,"1",3,"",4784,"0.011","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
3,120,"2008-2","2","stalk nitrate","","","2","mg/kg","LSD","mean","0",2,NA,1151,"1",2,"",2198,"ns","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
4,120,"2008-2","2","stalk nitrate","","","2","mg/kg","LSD","mean","0",3,NA,1501,"1",3,"",1410,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
5,120,"2008-2","3","stalk nitrate","","","2","mg/kg","LSD","mean","0",2,NA,2984,"1",2,"",2869,"ns","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
6,120,"2008-2","3","stalk nitrate","","","2","mg/kg","LSD","mean","0",3,NA,2293,"1",3,"",2672,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Crop Nutrient Content","Corn nitrogen content of aboveground biomass","Fertilizer Placement","Nutrient Management"
7,120,"2008-2","1","maize grain yield","","","1","Mg/kg","LSD","mean","0",2,NA,15.56,"1",2,"",15.94,"ns","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
8,120,"2008-2","1","maize grain yield","","","1","Mg/kg","LSD","mean","0",3,NA,15.35,"1",3,"",15.59,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
9,120,"2008-2","2","maize grain yield","","","2","Mg/kg","LSD","mean","0",2,NA,13.54,"1",2,"",13.67,"ns","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
10,120,"2008-2","2","maize grain yield","","","2","Mg/kg","LSD","mean","0",3,NA,13.72,"1",3,"",13.34,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
11,120,"2008-2","3","maize grain yield","","","2","Mg/kg","LSD","mean","0",2,NA,15.88,"1",2,"",15.91,"ns","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
12,120,"2008-2","3","maize grain yield","","","2","Mg/kg","LSD","mean","0",3,NA,15.31,"1",3,"",15.37,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
13,120,"2008-2","1","maize grain nitrogen uptake","","","1","kg/ha","LSD","mean","0",2,NA,206,"1",2,"",217,"0.001","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Grain Quality","Corn nitrogen uptake","Fertilizer Placement","Nutrient Management"
14,120,"2008-2","1","maize grain nitrogen uptake","","","1","kg/ha","LSD","mean","0",3,NA,204,"1",3,"",211,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Grain Quality","Corn nitrogen uptake","Fertilizer Placement","Nutrient Management"
15,120,"2008-2","2","maize grain nitrogen uptake","","","2","kg/ha","LSD","mean","0",2,NA,176,"1",2,"",175,"ns","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Grain Quality","Corn nitrogen uptake","Fertilizer Placement","Nutrient Management"
16,120,"2008-2","2","maize grain nitrogen uptake","","","2","kg/ha","LSD","mean","0",3,NA,182,"1",3,"",174,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Grain Quality","Corn nitrogen uptake","Fertilizer Placement","Nutrient Management"
17,120,"2008-2","3","maize grain nitrogen uptake","","","2","kg/ha","LSD","mean","0",2,NA,192,"1",2,"",198,"ns","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Crop Yields","Grain Quality","Corn nitrogen uptake","Fertilizer Placement","Nutrient Management"
18,120,"2008-2","3","maize grain nitrogen uptake","","","2","kg/ha","LSD","mean","0",3,NA,192,"1",3,"",197,"ns","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Crop Yields","Grain Quality","Corn nitrogen uptake","Fertilizer Placement","Nutrient Management"
19,120,"2008-2","2,3","soil nitrate","","0-120 cm","2","kg/ha","LSD","mean","0",2,NA,32,"1",2,"",53,"<0.0001","broad_band","broadcast, UAN + Nitamin-Nfusion","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","banded, UAN + Nitamin-Nfusion","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Soil Nutrients","Nitrate","Late season (crop stages: harvest & post harvest)","Fertilizer Placement","Nutrient Management"
20,120,"2008-2","2,3","soil nitrate","","0-120 cm","2","kg/ha","LSD","mean","0",3,NA,31,"1",3,"",52,"<0.0001","broad_band","broadcast, UAN","broadcasted fertilizer (UAN)","banded, UAN","banned fertilizer (UAN)","Soil Nutrients","Nitrate","Late season (crop stages: harvest & post harvest)","Fertilizer Placement","Nutrient Management"
21,121,"2012-2","1","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,104,"1",NA,"",96,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
22,121,"2012-2","1","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,104,"2",NA,"",99,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
23,121,"2012-2","1","maize grain yield","","","1","bu/ac","","mean","1",NA,NA,96,"2",NA,"",99,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
24,121,"2012-2","2","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,141,"1",NA,"",143,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
25,121,"2012-2","2","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,141,"2",NA,"",144,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
26,121,"2012-2","2","maize grain yield","","","1","bu/ac","","mean","1",NA,NA,143,"2",NA,"",144,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
27,121,"2012-2","3","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,159,"1",NA,"",177,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
28,121,"2012-2","3","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,159,"2",NA,"",171,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
29,121,"2012-2","3","maize grain yield","","","1","bu/ac","","mean","1",NA,NA,177,"2",NA,"",171,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
30,121,"2012-2","4","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,149,"1",NA,"",160,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
31,121,"2012-2","4","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,149,"2",NA,"",171,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
32,121,"2012-2","4","maize grain yield","","","1","bu/ac","","mean","1",NA,NA,160,"2",NA,"",171,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
33,121,"2012-2","5","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,113,"1",NA,"",105,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
34,121,"2012-2","5","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,105,"2",NA,"",113,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
35,121,"2012-2","5","maize grain yield","","","1","bu/ac","","mean","1",NA,NA,113,"2",NA,"",113,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
36,121,"2012-2","6","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,72,"1",NA,"",96,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
37,121,"2012-2","6","maize grain yield","","","1","bu/ac","","mean","0",NA,NA,72,"2",NA,"",85,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
38,121,"2012-2","6","maize grain yield","","","1","bu/ac","","mean","1",NA,NA,96,"2",NA,"",85,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
39,121,"2012-2","1","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,182,"1",NA,"",166,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
40,121,"2012-2","1","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,182,"2",NA,"",172,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
41,121,"2012-2","1","maize grain yield","","","2","bu/ac","","mean","1",NA,NA,166,"2",NA,"",172,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
42,121,"2012-2","1","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,88,"1",NA,"",83,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
43,121,"2012-2","1","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,88,"2",NA,"",88,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
44,121,"2012-2","1","maize grain yield","","","2","bu/ac","","mean","1",NA,NA,83,"2",NA,"",88,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
45,121,"2012-2","2","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,197,"1",NA,"",187,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
46,121,"2012-2","2","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,197,"2",NA,"",196,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
47,121,"2012-2","2","maize grain yield","","","2","bu/ac","","mean","1",NA,NA,187,"2",NA,"",196,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
48,121,"2012-2","3","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,211,"1",NA,"",224,"0.005","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
49,121,"2012-2","3","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,211,"2",NA,"",236,"0.005","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
50,121,"2012-2","3","maize grain yield","","","2","bu/ac","","mean","1",NA,NA,224,"2",NA,"",236,"0.005","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
51,121,"2012-2","4","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,143,"1",NA,"",140,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
52,121,"2012-2","4","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,143,"2",NA,"",132,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
53,121,"2012-2","4","maize grain yield","","","2","bu/ac","","mean","1",NA,NA,140,"2",NA,"",132,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
54,121,"2012-2","5","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,165,"1",NA,"",174,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
55,121,"2012-2","5","maize grain yield","","","2","bu/ac","","mean","0",NA,NA,165,"2",NA,"",175,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn","Fertilizer Placement","Nutrient Management"
56,121,"2012-2","5","maize grain yield","","","2","bu/ac","","mean","1",NA,NA,174,"2",NA,"",175,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Grain Yields","Corn",NA,"Nutrient Management"
57,121,"2012-2","1","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.07,"1",NA,"",0.03,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
58,121,"2012-2","1","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.07,"2",NA,"",0.03,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
59,121,"2012-2","1","agronomic efficiency","","","1","bu/lb N","","mean","1",NA,NA,0.03,"2",NA,"",0.04,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
60,121,"2012-2","2","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.17,"1",NA,"",0.19,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
61,121,"2012-2","2","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.17,"2",NA,"",0.19,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
62,121,"2012-2","2","agronomic efficiency","","","1","bu/lb N","","mean","1",NA,NA,0.19,"2",NA,"",0.14,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
63,121,"2012-2","3","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.08,"1",NA,"",0.19,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
64,121,"2012-2","3","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.08,"2",NA,"",0.14,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
65,121,"2012-2","3","agronomic efficiency","","","1","bu/lb N","","mean","1",NA,NA,0.19,"2",NA,"",0.14,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
66,121,"2012-2","4","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.52,"1",NA,"",0.58,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate split application strategy","variable rate split application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
67,121,"2012-2","4","agronomic efficiency","","","1","bu/lb N","","mean","0",NA,NA,0.52,"2",NA,"",0.49,"ns","uniform_variable","spring with variable rate","spring applied fertilizer with variable rate at V10","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency","Fertilizer Placement","Nutrient Management"
68,121,"2012-2","4","agronomic efficiency","","","1","bu/lb N","","mean","1",NA,NA,0.58,"2",NA,"",0.49,"ns","variable_variable","variable rate split application strategy","variable rate split application strategy","variable rate rescue application strategy","variable rate rescue application strategy","Crop Yields","Crop Nutrient Content","Crop nitrogen use efficiency",NA,"Nutrient Management"
