"","Review_id","main_group","group_metric","Legend_1","Legend_2","Legend_3","mean_per_change","sem_per_change","num_papers","num_comparisons","Group_RV","Review","mean_abundance_change","sem_abundance_change"
"1","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Foliage","Insecticide","",-24.1176470588235,7.16021946529813,1,17,"Pest Regulation","Early Season Pest Management",-1.11764705882353,0.499134198484622
"2","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Seed","Insecticide","",-22.0833333333333,11.7672113053502,1,8,"Pest Regulation","Early Season Pest Management",-1.375,0.943729304408844
"3","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Seed & Foliage","Insecticide","",-33.3333333333333,10,1,7,"Pest Regulation","Early Season Pest Management",-1.14285714285714,0.553283335172488
"4","Seed Protection","Invertebrates","Natural Enemies (#)","Seed","Insecticide","",10.2805621632466,11.7429008081105,1,8,"Pest Regulation","Early Season Pest Management",-1.5,4.28452364413395
"5","Seed Protection","Invertebrates","Northern Corn Rootworm (#)","Soil","Insecticide","Broadcast",60.2163580304497,69.8096968962674,1,12,"Pest Regulation","Early Season Pest Management",-3.58333333333333,2.30104828987208
"6","Seed Protection","Invertebrates","Seed Corn Maggot (#)","Seed","Insecticide","",-52.6315789473684,6.44602563890309,1,4,"Pest Regulation","Early Season Pest Management",-10,1.22474487139159
"7","Seed Protection","Invertebrates","Seed Corn Maggot (#)","Soil","Insecticide","In-Row",-73.6842105263158,7.74715865467355,1,4,"Pest Regulation","Early Season Pest Management",-14,1.47196014438797
"8","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Foliage","Insecticide","",-48.9886219974716,NA,1,1,"Pest Regulation","Early Season Pest Management",-775,NA
"9","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Foliage","Insecticide-Fungicide","",-74.5891276864728,NA,1,1,"Pest Regulation","Early Season Pest Management",-1180,NA
"10","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Seed","Insecticide","",-43.4056304448849,17.891883697675,2,3,"Pest Regulation","Early Season Pest Management",NA,NA
"11","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Seed","Insecticide-Fungicide","",-70.2275600505689,NA,1,1,"Pest Regulation","Early Season Pest Management",-1111,NA
"12","Seed Protection","Invertebrates","Western Corn Rootworm (#)","Soil","Insecticide","Broadcast",-49.7661962195717,5.60603840942357,1,54,"Pest Regulation","Early Season Pest Management",-95.1851851851852,26.2300747854886
"13","Seed Protection","Invertebrates","Western Corn Rootworm (Mean Emergence Date)","Soil","Insecticide","Broadcast",1.14888175623487,0.423957479964037,1,3,"Pest Regulation","Early Season Pest Management",NA,NA
"14","Seed Protection","Pathogens","Bean Pod Mottle Virus Infections (Soybean)","Foliage","Insecticide","",0.455821863629174,2.07994277011132,2,14,"Pest Regulation","Early Season Pest Management",NA,NA
"15","Seed Protection","Pathogens","Bean Pod Mottle Virus Infections (Soybean)","Seed","Insecticide","",-13.2405869324474,5.62903159433349,2,5,"Pest Regulation","Early Season Pest Management",NA,NA
"16","Seed Protection","Pathogens","Bean Pod Mottle Virus Infections (Soybean)","Seed & Foliage","Insecticide","",-3.35455887781469,1.64842900162196,2,6,"Pest Regulation","Early Season Pest Management",NA,NA
"17","Seed Protection","Pathogens","Fusarium spp. Soil Forming Colonies (Soybean)","Seed","Fungicide-Biologic","",-5.22443455212536,7.91932559645163,1,8,"Pest Regulation","Early Season Pest Management",NA,NA
"18","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Maize)","Seed","Insecticide","",-75.2834295334295,1.13194438098047,1,84,"Pest Regulation","Early Season Pest Management",-23.1785714285714,1.84699914114522
"19","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Maize)","Seed","Insecticide-Fungicide","",-46.6666787880992,6.5288422484131,1,18,"Pest Regulation","Early Season Pest Management",NA,NA
"20","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Maize)","Soil","Insecticide","In-Row",-82.6086956521739,NA,1,1,"Pest Regulation","Early Season Pest Management",NA,NA
"21","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Soybean)","Seed","Fungicide","",NA,NA,1,1,"Pest Regulation","Early Season Pest Management",NA,NA
"22","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Soybean)","Seed","Fungicide-Biologic","",-25,0,1,2,"Pest Regulation","Early Season Pest Management",NA,NA
"23","Seed Protection","Pathogens","Pathogenic Root Injury (Maize)","Seed","Insecticide","",-11.1111111111111,7.62215933966706,1,18,"Pest Regulation","Early Season Pest Management",NA,NA
"24","Seed Protection","Pathogens","Pathogenic Root Injury (Maize)","Seed","Insecticide-Fungicide","",-5,8.02955068546966,2,20,"Pest Regulation","Early Season Pest Management",NA,NA
