"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt_1name","Trt1_details","Trt_2name","Trt2_details","group_level1","group_level2","group_level3","pm_group1","pm_group2","Review"
"585",74,"1989-2",0,"maize plant death due to black cutworms",NA,"1","#","Fisher's LSD","mean",0,NA,NA,"23.6",12,NA,NA,25,"ns","untreated_bandI","untreated","untreated maize seed","bifenthrin (Capture 2EC)","banded insecticide, bifenthrin (44.8 g ai/ha, Capture 2EC)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management"
"586",74,"1989-2",0,"maize plant death due to black cutworms",NA,"1","#","Fisher's LSD","sem",0,NA,NA,"2.7",12,NA,NA,10.6,"ns","untreated_bandI","untreated","untreated maize seed","bifenthrin (Capture 2EC)","banded insecticide, bifenthrin (44.8 g ai/ha, Capture 2EC)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management"
"587",83,"2011-3",0,"soybean stand count (2 year average)",NA,"2","plants/ha","LSD","mean",0,NA,NA,"259000",11,NA,NA,303000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Stand Count","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"588",83,"2011-3",0,"soybean yield (2 year average)",NA,"2","kg/ha","LSD","mean",0,NA,NA,"4356",11,NA,NA,4423,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Grain Production","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"589",83,"2011-3",0,"soybean stand count",NA,"3","plants/ha","LSD","mean",0,NA,NA,"220000",11,NA,NA,265000,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Stand Count","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"590",83,"2011-3",0,"soybean grain yield",NA,"3","kg/ha","LSD","mean",0,NA,NA,"4040",11,NA,NA,4235,"0.1","untreated_seedIFN","untreated","untreated soybeans","abamectin; thiamethoxam; mefenoxam; fludioxonil (Avicta Complete Beans 500)","Avicta Complete + Beans 500 (CMA)","Crop Yields","Grain Production","Soybean","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"591",87,"2007-1",1,"stalk rot index at R6 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,5,NA,"3.6",1,5,NA,2,"0.05","untreated_seedIF","untreated","untreated maize sampled at R6 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at R6 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"592",87,"2007-1",2,"stalk rot index at R6  stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,5,NA,"2.7",1,5,NA,1.8,"0.05","untreated_seedIF","untreated","untreated maize sampled at R6 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at R6 stage","Pests","Pathogens","Corn (infection of leaf tissue)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"593",87,"2007-1",1,"maize root rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,2,NA,"2",1,2,NA,0.1,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of roots)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
"594",87,"2007-1",2,"maize root rot index at V2 stage (where 0 = healthy and 5 = completely rotted tissue)",NA,"1","index (0-5)","Tukey","mean",0,2,NA,"2.2",1,2,NA,1.5,"0.05","untreated_seedIF","untreated","untreated maize sampled at V2 stage","azoxystrobin; fludioxonil; mefenoxam; thiamethoxam (Cruiser Extreme 250)","maize treated with azoxystrobin, fludioxonil, mefenoxam, and thiamethoxam (Cruiser Extreme 250) sampled at V2 stage","Pests","Pathogens","Corn (infection of roots)","Neonicotinoid & Fungicide","Seed","Early Season Pest Management"
