Paper_id,Duration,Trt_id,Year,pest_seedprotection,pest_seedprotection_tradename,pest_fungicide,pest_insecticides,pest_application
70,2012-3,0,0,untreated,,,,
70,2012-3,1,0,fungicide-insecticide seed treatment,,"ipconazole (0.055 ml / kg seed), metalaxyl (0.065 ml / kg seed), and tryfloxystrobin (0.209 ml / kg seed)",clothianidin (0.253 mg ai / seed),applied to seed
70,2012-3,2,0,fungicide-insecticide seed treatment,,"ipconazole (0.055 ml / kg seed), metalaxyl (0.065 ml / kg seed), and tryfloxystrobin (0.209 ml / kg seed)",clothianidin (1.25 mg ai / seed),
71,2012-2,0,0,untreated,,,,
71,2012-2,1,0,fungicide-insecticide seed treatment,CruiserMaxx,"mefenoxam (3.75 g / 100 seeds), fludioxonil (2.5 g / 100 seeds)",thiamethoxam (50 g / 100 seeds),applied to seed
71,2012-2,2,0,fungicide seed treatment,ApronMaxx,"mefenoxam (3.75 g / 100 seeds), fludioxonil (2.5 g / 100 seeds)",,applied to seed
71,2012-2,3,0,foliar insecticide,Warrior II or Tundra,,pyrethroid - lambda-cyhalothrin (116 - 232 mL/ha) or bifenthrin (291.4 mL/ha),applied at soybean aphid threshold of 250 soybean aphids per plant (mid August of 2013)
72,2013-2,1,0,fungicide seed treatment,ApronMaxx,"mefenoxam (7.5 g / 100 seeds), fludioxonil (2.5 g / 100 seeds)",,applied to seed
72,2013-2,2,0,fungicide seed treatment + foliar insecticide,ApronMaxx + Leverage,"mefenoxam (7.5 g / 100 seeds), fludioxonil (2.5 g / 100 seeds)","imidacloprid (239.68 g / L), ?-cyfluthrin (119.84 g / L)",applied to seed and later foliar application
72,2013-2,3,0,insecticide-fungicide seed treatment,CruiserMaxx + fungicides,"mefenoxam (7.5 g / 100 seeds), fludioxonil (2.5 g / 100 seeds)",thiamethoxam (50 g / 100 seeds),applied to seeds
72,2013-2,4,0,insecticide-fungicide seed treatment + foliar insecticide,CruiserMaxx + fungicides + Leverage,"mefenoxam (7.5 g / 100 seeds), fludioxonil (2.5 g / 100 seeds)","thiamethoxam (50 g / 100 seeds) + imidacloprid (239.68 g / L), ?-cyfluthrin (119.84 g / L)",applied to seed and later foliar application
73,2000-3,0,0,untreated,,,,
