"","X","Paper_id","Duration","Year_result","Loc_multi_results","Review_id","Group_RV","Response_var","Response_var_units","Stat_test","Stat_type","Trt_id1","Trt1_interaction","Trt1_interaction2","Trt_id1value","Trt_id2","Trt2_interaction","Trt2_interaction2","Trt_id2value","Sig_level","Effect","Effect_norm","Group_finelevel","Trt_id1name","Trt_id1description","Trt_id2name","Trt_id2description","Reviewers_results_short","Reviewers_results_long","Authors_comments","Res_key","group_metric","main_group","per_change","abundance_change","duration.yr","Legend_1","Legend_2","Legend_3"
"1",1011,"78","1991-1",1,"2","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,8,NA,3,1,8,NA,29,"0.05","",1,"untreated_furrowI","untreated, 35 g/ha herbicide","untreated maize, 35 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1011,"Reduction in Vigor (Maize)","Crop Growth",866.666666666667,NA,1,"Soil","Insecticide","In-Furrow"
"2",1017,"78","1991-1",1,"2","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,1,1,9,NA,37,"0.05","",1,"untreated_furrowI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1017,"Reduction in Vigor (Maize)","Crop Growth",3600,NA,1,"Soil","Insecticide","In-Furrow"
"3",1018,"78","1991-1",1,"2","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,1,2,9,NA,7,"ns","",0,"untreated_bandI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","T-band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","T-band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1018,"Reduction in Vigor (Maize)","Crop Growth",600,NA,1,"Soil","Insecticide","In-Row"
"4",1019,"78","1991-1",1,"2","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,1,3,9,NA,9,"ns","",0,"untreated_bandI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","surface band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1019,"Reduction in Vigor (Maize)","Crop Growth",800,NA,1,"Soil","Insecticide","In-Row"
"5",1020,"78","1991-1",1,"2","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,1,4,9,NA,10,"0.05","",1,"untreated_furrowI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1020,"Reduction in Vigor (Maize)","Crop Growth",900,NA,1,"Soil","Insecticide","In-Furrow"
"6",1021,"78","1991-1",1,"2","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,1,5,9,NA,10,"0.05","",1,"untreated_bandI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","T-band organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","T-band organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1021,"Reduction in Vigor (Maize)","Crop Growth",900,NA,1,"Soil","Insecticide","In-Row"
"7",1022,"78","1991-1",1,"2","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,1,6,9,NA,3,"ns","",0,"untreated_bandI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","surface band organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","surface band organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1022,"Reduction in Vigor (Maize)","Crop Growth",200,NA,1,"Soil","Insecticide","In-Row"
"8",1029,"78","1991-1",1,"3","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,8,NA,23,1,8,NA,85,"0.05","",1,"untreated_furrowI","untreated, 35 g/ha herbicide","untreated maize, 35 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1029,"Reduction in Vigor (Maize)","Crop Growth",269.565217391304,NA,1,"Soil","Insecticide","In-Furrow"
"9",1030,"78","1991-1",1,"3","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,8,NA,23,2,8,NA,68,"0.05","",1,"untreated_bandI","untreated, 35 g/ha herbicide","untreated maize, 35 g/ha herbicide (Nicosulfuron)","T-band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","T-band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1030,"Reduction in Vigor (Maize)","Crop Growth",195.652173913043,NA,1,"Soil","Insecticide","In-Row"
"10",1032,"78","1991-1",1,"3","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,8,NA,23,4,8,NA,75,"0.05","",1,"untreated_furrowI","untreated, 35 g/ha herbicide","untreated maize, 35 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1032,"Reduction in Vigor (Maize)","Crop Growth",226.086956521739,NA,1,"Soil","Insecticide","In-Furrow"
"11",1033,"78","1991-1",1,"3","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,8,NA,23,5,8,NA,50,"0.05","",1,"untreated_bandI","untreated, 35 g/ha herbicide","untreated maize, 35 g/ha herbicide (Nicosulfuron)","T-band organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","T-band organophosphate (20% ai controlled release granule applied at 0.11 g ai/m, Terbufos), 35 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1033,"Reduction in Vigor (Maize)","Crop Growth",117.391304347826,NA,1,"Soil","Insecticide","In-Row"
"12",1035,"78","1991-1",1,"3","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,27,1,9,NA,90,"0.05","",1,"untreated_furrowI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","in-furrow organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1035,"Reduction in Vigor (Maize)","Crop Growth",233.333333333333,NA,1,"Soil","Insecticide","In-Furrow"
"13",1036,"78","1991-1",1,"3","Seed Protection","Crop Production","maize vigor reduction (visual rating of 0 to 100, where 0 is no effect and 100 is total crop destruction)","%","LSD","mean",0,9,NA,27,2,9,NA,73,"0.05","",1,"untreated_bandI","untreated, 70 g/ha herbicide","untreated maize, 70 g/ha herbicide (Nicosulfuron)","T-band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","T-band organophosphate (15% ai granule applied at 0.11 g ai/m, Terbufos), 70 g/ha herbicide (Nicosulfuron)","","","Terbufos in the absence of nicosulfuron did not cause any corn injury at any location. In Minnesota, nicosulfuron did not reduce corn vigor, grain yield, or height regardless of terbufos formulation or placement method. In Michigan, nicosulfuron did not reduce corn vigor, grain yield, or height in the absence of terbufos. Neither vigor nor grain yield was affected by nicosulfuron within each terbufos formulation and placement method, except for nicosulfuron following I-F terbufos 15G. In Wisconsin, nicosulfuron applied in the absence of terbufos suppressed corn vigor and height, but not grain yield. Terbufos 15G placement affected the corn vigor response to nicosulfuron in the Michigan experiment and both Wisconsin experiments.  Corn vigor reduction from nicosulfuron was greatest with terbufos applied I-F and the least with S-B placement, whereas the T-B placement was intermediate.",1036,"Reduction in Vigor (Maize)","Crop Growth",170.37037037037,NA,1,"Soil","Insecticide","In-Row"
