"Paper_id","Duration","Year_result","Loc_multi_results","Review_id","Group_RV","Response_var","RV_depth","RV_year","RV_trtspecifics","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt1_name","Trt1_description","Trt2_name","Trt2_description","Tillage_1","Tillage_2","Res_key","group_metric","main_group","per_change","actual_diff","sample_depth","sample_year","Tillage_1name","Tillage_2name","Tillage_compare"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",33,"","# seeds/sq m","","mean",0,NA,NA,169,2,NA,NA,2324,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7612,"Community (Abundance)","Weeds",1275.14792899408,2155,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",34,"","# seeds/sq m","","mean",0,NA,NA,169,2,NA,NA,2324,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7612,"Community (Abundance)","Weeds",1275.14792899408,2155,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",35,"","# seeds/sq m","","mean",0,NA,NA,169,2,NA,NA,2324,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7612,"Community (Abundance)","Weeds",1275.14792899408,2155,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",36,"","# seeds/sq m","","mean",0,NA,NA,169,2,NA,NA,2324,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7612,"Community (Abundance)","Weeds",1275.14792899408,2155,"0-25 cm","Years 36-40","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",33,"","# seeds/sq m","","mean",1,NA,NA,271,2,NA,NA,2324,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7631,"Community (Abundance)","Weeds",757.564575645756,2053,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",34,"","# seeds/sq m","","mean",1,NA,NA,271,2,NA,NA,2324,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7631,"Community (Abundance)","Weeds",757.564575645756,2053,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",35,"","# seeds/sq m","","mean",1,NA,NA,271,2,NA,NA,2324,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7631,"Community (Abundance)","Weeds",757.564575645756,2053,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","2","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",36,"","# seeds/sq m","","mean",1,NA,NA,271,2,NA,NA,2324,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7631,"Community (Abundance)","Weeds",757.564575645756,2053,"0-25 cm","Years 36-40","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",33,"","# seeds/sq m","","mean",0,NA,NA,376,2,NA,NA,1952,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7644,"Community (Abundance)","Weeds",419.148936170213,1576,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",34,"","# seeds/sq m","","mean",0,NA,NA,376,2,NA,NA,1952,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7644,"Community (Abundance)","Weeds",419.148936170213,1576,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",35,"","# seeds/sq m","","mean",0,NA,NA,376,2,NA,NA,1952,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7644,"Community (Abundance)","Weeds",419.148936170213,1576,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",36,"","# seeds/sq m","","mean",0,NA,NA,376,2,NA,NA,1952,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7644,"Community (Abundance)","Weeds",419.148936170213,1576,"0-25 cm","Years 36-40","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",33,"","# seeds/sq m","","mean",0,NA,NA,400,2,NA,NA,6981,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7646,"Community (Abundance)","Weeds",1645.25,6581,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",34,"","# seeds/sq m","","mean",0,NA,NA,400,2,NA,NA,6981,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7646,"Community (Abundance)","Weeds",1645.25,6581,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",35,"","# seeds/sq m","","mean",0,NA,NA,400,2,NA,NA,6981,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7646,"Community (Abundance)","Weeds",1645.25,6581,"0-25 cm","Years 31-35","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",36,"","# seeds/sq m","","mean",0,NA,NA,400,2,NA,NA,6981,"","MP_NT","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","moldboard plow (20-25 cm) followed by two secondary tillage operations (10 cm deep) [timing varied by site]","no-tillage","no-tillage",1,16,7646,"Community (Abundance)","Weeds",1645.25,6581,"0-25 cm","Years 36-40","Moldboard plow","No tillage","Moldboard plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",33,"","# seeds/sq m","","mean",1,NA,NA,776,2,NA,NA,1952,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7711,"Community (Abundance)","Weeds",151.546391752577,1176,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",34,"","# seeds/sq m","","mean",1,NA,NA,776,2,NA,NA,1952,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7711,"Community (Abundance)","Weeds",151.546391752577,1176,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",35,"","# seeds/sq m","","mean",1,NA,NA,776,2,NA,NA,1952,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7711,"Community (Abundance)","Weeds",151.546391752577,1176,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","5-10 cm",36,"","# seeds/sq m","","mean",1,NA,NA,776,2,NA,NA,1952,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7711,"Community (Abundance)","Weeds",151.546391752577,1176,"0-25 cm","Years 36-40","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",33,"","# seeds/sq m","","mean",1,NA,NA,1091,2,NA,NA,6981,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7712,"Community (Abundance)","Weeds",539.87167736022,5890,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",34,"","# seeds/sq m","","mean",1,NA,NA,1091,2,NA,NA,6981,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7712,"Community (Abundance)","Weeds",539.87167736022,5890,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",35,"","# seeds/sq m","","mean",1,NA,NA,1091,2,NA,NA,6981,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7712,"Community (Abundance)","Weeds",539.87167736022,5890,"0-25 cm","Years 31-35","Chisel plow","No tillage","Chisel plow - No tillage"
222,"1963-36","36","1","Tillage","Pest Regulation","total number of germinable seeds ","0-5 cm",36,"","# seeds/sq m","","mean",1,NA,NA,1091,2,NA,NA,6981,"","CP_NT","chisel plow [timing varied by site]","chisel plow [timing varied by site]","no-tillage","no-tillage",6,16,7712,"Community (Abundance)","Weeds",539.87167736022,5890,"0-25 cm","Years 36-40","Chisel plow","No tillage","Chisel plow - No tillage"
166,"1962-25","25","1","Tillage","Pest Regulation","number of weed seeds","0-15 cm",25,"","#/m^2","LSD","mean",0,1,NA,400,1,NA,NA,4800,"0.05","MP_MP","moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring","moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring","moldboard plow with no further tillage events in spring (1983, paraplow to 35 cm depth)","moldboard plow with no further tillage events in spring (1983, paraplow to 35 cm depth)",1,1,13601,"Community (Abundance)","Weeds",1100,4400,"0-25 cm","Years 21-25","Moldboard plow","Moldboard plow","Moldboard plow - Moldboard plow"
166,"1962-25","25","1","Tillage","Pest Regulation","number of weed seeds","0-15 cm",25,"","#/m^2","LSD","mean",0,NA,NA,400,2,NA,NA,8400,"0.05","MP_NT","moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring","moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring","no-tillage","no-tillage",1,16,13602,"Community (Abundance)","Weeds",2000,8000,"0-25 cm","Years 21-25","Moldboard plow","No tillage","Moldboard plow - No tillage"
166,"1962-25","25","3","Tillage","Pest Regulation","number of weed seeds","0-15 cm",25,"","#/m^2","LSD","mean",1,NA,NA,400,2,NA,NA,2100,"0.05","MP_NT","moldboard plow with no further tillage events in spring (1983, paraplow to 35 cm depth)","moldboard plow with no further tillage events in spring (1983, paraplow to 35 cm depth)","no-tillage","no-tillage",1,16,13603,"Community (Abundance)","Weeds",425,1700,"0-25 cm","Years 21-25","Moldboard plow","No tillage","Moldboard plow - No tillage"
166,"1962-25","25","3","Tillage","Pest Regulation","number of weed seeds","0-15 cm",25,"","#/m^2","LSD","mean",0,NA,NA,900,2,NA,NA,2100,"ns","MP_NT","moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring","moldboard plow (20-25 cm deep) followed by at least two other 10 cm deep secondary tillage events in spring","no-tillage","no-tillage",1,16,13886,"Community (Abundance)","Weeds",133.333333333333,1200,"0-25 cm","Years 21-25","Moldboard plow","No tillage","Moldboard plow - No tillage"
258,"1995-4","3","0","Tillage","Pest Regulation","population density of soybean cyst nematodes (Heterodera glycines)","",3,"artifical infestations in spring in 1995","eggs/100/cm^3 soil","LSD","mean",1,NA,NA,1212,2,NA,NA,138,"0.05","disc_RT","disked in spring (10 cm) followed by shallow cultivation (5 cm)","disked in spring (10 cm) followed by shallow cultivation (5 cm)","ridge-tillage","ridge-tillage",2,8,13935,"Soybean Cyst Nematode (#)","Nematodes",-88.6138613861386,-1074,NA,"Years 2-5","Disc plow","Ridge till","Disc plow - Ridge till"
