"Paper_id","Duration","Year_result","Loc_multi_results","Review_id","Group_RV","Response_var","RV_depth","RV_year","RV_trtspecifics","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt1_name","Trt1_description","Trt2_name","Trt2_description","Tillage_1","Tillage_2","Res_key","group_metric","main_group","per_change","actual_diff","sample_depth","sample_year","Tillage_1name","Tillage_2name","Tillage_compare"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",1,"","Cmax, kg/ha","LSD","mean",1,NA,NA,1010,4,NA,NA,435,"","CP_NT","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","no-tillage","no-tillage",6,16,8447,"Organic Carbon (Total)","Chemical",-56.9306930693069,-575,NA,"Year 1","Chisel plow","No tillage","Chisel plow - No tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",2,"","Cmax, kg/ha","LSD","mean",1,NA,NA,1010,4,NA,NA,435,"","CP_NT","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","no-tillage","no-tillage",6,16,8447,"Organic Carbon (Total)","Chemical",-56.9306930693069,-575,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",3,"","Cmax, kg/ha","LSD","mean",1,NA,NA,1010,4,NA,NA,435,"","CP_NT","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","no-tillage","no-tillage",6,16,8447,"Organic Carbon (Total)","Chemical",-56.9306930693069,-575,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",4,"","Cmax, kg/ha","LSD","mean",1,NA,NA,1010,4,NA,NA,435,"","CP_NT","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","chisel plow (22-25 cm deep) in fall with spring cultivation (10 cm deep)","no-tillage","no-tillage",6,16,8447,"Organic Carbon (Total)","Chemical",-56.9306930693069,-575,NA,"Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",1,"","Cmax, kg/ha","LSD","mean",0,NA,NA,1294,3,NA,NA,629,"","MP_ST","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","strip tillage (20 cm deep)","strip tillage (20 cm deep)",1,14,8458,"Organic Carbon (Total)","Chemical",-51.3910355486862,-665,NA,"Year 1","Moldboard plow","Strip tillage","Moldboard plow - Strip tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",2,"","Cmax, kg/ha","LSD","mean",0,NA,NA,1294,3,NA,NA,629,"","MP_ST","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","strip tillage (20 cm deep)","strip tillage (20 cm deep)",1,14,8458,"Organic Carbon (Total)","Chemical",-51.3910355486862,-665,NA,"Years 2-5","Moldboard plow","Strip tillage","Moldboard plow - Strip tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",3,"","Cmax, kg/ha","LSD","mean",0,NA,NA,1294,3,NA,NA,629,"","MP_ST","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","strip tillage (20 cm deep)","strip tillage (20 cm deep)",1,14,8458,"Organic Carbon (Total)","Chemical",-51.3910355486862,-665,NA,"Years 2-5","Moldboard plow","Strip tillage","Moldboard plow - Strip tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",4,"","Cmax, kg/ha","LSD","mean",0,NA,NA,1294,3,NA,NA,629,"","MP_ST","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","strip tillage (20 cm deep)","strip tillage (20 cm deep)",1,14,8458,"Organic Carbon (Total)","Chemical",-51.3910355486862,-665,NA,"Years 2-5","Moldboard plow","Strip tillage","Moldboard plow - Strip tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",1,"","Cmax, kg/ha","LSD","mean",0,NA,NA,1294,4,NA,NA,435,"","MP_NT","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","no-tillage","no-tillage",1,16,8462,"Organic Carbon (Total)","Chemical",-66.3833075734158,-859,NA,"Year 1","Moldboard plow","No tillage","Moldboard plow - No tillage"
241,"1998-4","0","0","Tillage","Soil","maximum mineralizable soil carbon (Michaelis-Menten equation)","",2,"","Cmax, kg/ha","LSD","mean",0,NA,NA,1294,4,NA,NA,435,"","MP_NT","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","moldboard plow (25 cm deep) in fall with one spring cultivation (10 cm deep)","no-tillage","no-tillage",1,16,8462,"Organic Carbon (Total)","Chemical",-66.3833075734158,-859,NA,"Years 2-5","Moldboard plow","No tillage","Moldboard plow - No tillage"
