"Paper_id","Duration","Year_result","Loc_multi_results","Review_id","Group_RV","Response_var","RV_depth","RV_year","RV_trtspecifics","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt1_name","Trt1_description","Trt2_name","Trt2_description","Tillage_1","Tillage_2","Res_key","group_metric","main_group","per_change","actual_diff","sample_depth","sample_year","Tillage_1name","Tillage_2name","Tillage_compare"
226,"1995-5","3","0","Tillage","Soil","net N-mineralization","0-20 cm",3,"(5/29-6/26)","kg N/ha","","mean",0,NA,NA,-1,1,NA,NA,4,"ns","CP_NT","chisel plow","chisel plow","no-tillage","no-tillage",6,16,65,"Nitrogen (Total)","Chemical",-500,5,"0-25 cm","Years 2-5","Chisel plow","No tillage","Chisel plow - No tillage"
272,"1962-43","43","0","Tillage","Soil","methane emission flux from soil (summer)","",43,"","mg C/m^2/d","LSD","mean",1,NA,NA,-2.68,2,NA,NA,-8.2,"ns","CP_NT","chisel plow (20-25 cm) in spring","chisel plow (20-25 cm) in spring","no-tillage","no-tillage",6,16,101,"Methane Emissions","Climate Mitigation",205.970149253731,-5.52,NA,"Years 41-45","Chisel plow","No tillage","Chisel plow - No tillage"
259,"1975-30","30","0","Tillage","Soil","average annual soil methane emissions","",30,"","mg/m^2/h","","mean",0,NA,NA,-0.0076,2,NA,NA,0.0111,"ns","MP_NT","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","no-tillage","no-tillage",1,16,107,"Methane Emissions","Climate Mitigation",-246.052631578947,0.0187,NA,"Years 26-30","Moldboard plow","No tillage","Moldboard plow - No tillage"
259,"1975-30","29","0","Tillage","Soil","average annual soil methane emissions","",29,"","mg/m^2/h","","mean",1,NA,NA,-0.0016,2,NA,NA,0.004,"ns","CP_NT","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","no-tillage","no-tillage",6,16,108,"Methane Emissions","Climate Mitigation",-350,0.0056,NA,"Years 26-30","Chisel plow","No tillage","Chisel plow - No tillage"
188,"1977-16","14","0","Tillage","Soil","soil nitrate 25 September","0-100 cm",14,"maize year of maize/soybean rotation","","","mean",0,4,NA,0,1,4,NA,9.218,"","MP_CP","moldboard plow in fall","moldboard plow in fall","chisel plown in fall","chisel plown in fall",1,6,121,"Nitrate","Chemical",921.8,9.218,"0-120 cm","Years 11-15","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
188,"1977-16","14","0","Tillage","Soil","soil nitrate 25 September","0-100 cm",14,"maize year of maize/soybean rotation","","","mean",0,4,NA,0,2,4,NA,9.799,"","MP_RT","moldboard plow in fall","moldboard plow in fall","ridge-tillage","ridge-tillage",1,8,122,"Nitrate","Chemical",979.9,9.799,"0-120 cm","Years 11-15","Moldboard plow","Ridge till","Moldboard plow - Ridge till"
259,"1975-30","30","0","Tillage","Soil","soil methane emissions","",30,"48 hrs after fall tilling","mg/m^2/h","","mean",0,NA,NA,-0.00029,1,NA,NA,0.00069,"","MP_CP","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator",1,6,124,"Methane Emissions","Climate Mitigation",-337.931034482759,0.00098,NA,"Years 26-30","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
259,"1975-30","30","0","Tillage","Soil","soil methane emissions before fall tilling","",30,"","mg/m^2/h","","mean",0,NA,NA,-0.00018,1,NA,NA,0.00022,"","MP_CP","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator",1,6,125,"Methane Emissions","Climate Mitigation",-222.222222222222,4e-04,NA,"Years 26-30","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
286,"1962-49","47","2","Tillage","Soil","soil macropores","20-30 cm",47,"","m^3/m^3","ANOVA","mean",0,NA,NA,0.0052,1,NA,NA,0.0167,"ns","MP_CP","moldboard plow (20-25 cm) in spring (Wooster) or autumn (Hoytville) with disk or field cultivator (10 cm) before planting","moldboard plow (20-25 cm) in spring (Wooster) or autumn (Hoytville) with disk or field cultivator (10 cm) before planting","chisel plow (20-25 cm) in fall (Hoytville) or spring (Wooster) with one pass of cultivator disk (10 cm) before planting","chisel plow (20-25 cm) in fall (Hoytville) or spring (Wooster) with one pass of cultivator disk (10 cm) before planting",1,6,181,"Pore Space (Total)","Physical",221.153846153846,0.0115,"25-60 cm","Years 46-50","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
286,"1962-49","47","2","Tillage","Soil","soil coarse mesopores","10-20 cm",47,"","m^3/m^3","ANOVA","mean",1,NA,NA,0.0132,2,NA,NA,0.053,"ns","CP_NT","chisel plow (20-25 cm) in fall (Hoytville) or spring (Wooster) with one pass of cultivator disk (10 cm) before planting","chisel plow (20-25 cm) in fall (Hoytville) or spring (Wooster) with one pass of cultivator disk (10 cm) before planting","no-tillage","no-tillage",6,16,228,"Pore Space (Total)","Physical",301.515151515152,0.0398,"10-25 cm","Years 46-50","Chisel plow","No tillage","Chisel plow - No tillage"
152,"1989-8","8","0","Tillage","Soil","cone penetration resistance adjusted for soil moisture at planting","0-8 cm",8,"","MPa","LSM","mean",0,NA,NA,0.02,2,NA,NA,0.89,"0.05","MP_NT","moldboard plow and three diskings in spring","moldboard plow and three diskings in spring","no-tillage","no-tillage",1,16,240,"Compaction","Physical",4350,0.87,"0-25 cm","Years 6-10","Moldboard plow","No tillage","Moldboard plow - No tillage"
259,"1975-30","30","0","Tillage","Soil","soil methane emissions","",30,"1 hrs after fall tilling","mg/m^2/h","","mean",0,NA,NA,2e-05,1,NA,NA,-1e-04,"","MP_CP","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator",1,6,245,"Methane Emissions","Climate Mitigation",-600,-0.00012,NA,"Years 26-30","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
259,"1975-30","30","0","Tillage","Soil","soil methane emissions","",30,"24 hrs after fall tilling","mg/m^2/h","","mean",0,NA,NA,3e-05,1,NA,NA,-0.00019,"","MP_CP","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator",1,6,246,"Methane Emissions","Climate Mitigation",-733.333333333333,-0.00022,NA,"Years 26-30","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
259,"1975-30","30","0","Tillage","Soil","soil carbon dioxide emissions","",30,"24 hrs after fall tilling","g/m^2/h","","mean",0,NA,NA,0.005,1,NA,NA,0.018,"","MP_CP","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator",1,6,278,"Carbon Dioxide Emissions","Climate Mitigation",260,0.013,NA,"Years 26-30","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
152,"1989-8","8","0","Tillage","Soil","cone penetration resistance adjusted for soil moisture at planting","0-8 cm",8,"","MPa","LSM","mean",1,NA,NA,0.05,2,NA,NA,0.89,"0.05","CP_NT","chisel plow and three diskings in spring","chisel plow and three diskings in spring","no-tillage","no-tillage",6,16,302,"Compaction","Physical",1680,0.84,"0-25 cm","Years 6-10","Chisel plow","No tillage","Chisel plow - No tillage"
259,"1975-30","30","0","Tillage","Soil","soil carbon dioxide emissions","",30,"48 hrs after fall tilling","g/m^2/h","","mean",0,NA,NA,0.006,1,NA,NA,0.019,"","MP_CP","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator","chisel plow in fall (15-20 cm depth) with spring pass of tandem disk and field cultivator",1,6,305,"Carbon Dioxide Emissions","Climate Mitigation",216.666666666667,0.013,NA,"Years 26-30","Moldboard plow","Chisel plow","Moldboard plow - Chisel plow"
259,"1975-30","30","0","Tillage","Soil","soil carbon dioxide emissions","",30,"168 hrs after fall tilling","g/m^2/h","","mean",0,NA,NA,0.009,2,NA,NA,0.027,"","MP_NT","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","moldboard plow in fall (20-25 cm depth) with spring pass of tandem disk and field cultivator","no-tillage","no-tillage",1,16,339,"Carbon Dioxide Emissions","Climate Mitigation",200,0.018,NA,"Years 26-30","Moldboard plow","No tillage","Moldboard plow - No tillage"
293,"1962-48","13","2","Tillage","Soil","soil methane oxidation (CH4-C) in in August","0-5 cm",13,"","ug CH4-C/kg/d","ANOVA (6 psuedoreplicates)","mean",0,NA,NA,0.14,1,NA,NA,1.6,"0.05","MP_NT","moldboard plow (20-25 cm) in fall with surface disking (7.5-10 cm) in spring","moldboard plow (20-25 cm) in fall with surface disking (7.5-10 cm) in spring","no-tillage","no-tillage",1,16,444,"Methane Emissions","Climate Mitigation",1042.85714285714,1.46,"0-25 cm","Years 11-15","Moldboard plow","No tillage","Moldboard plow - No tillage"
293,"1962-48","13","2","Tillage","Soil","soil methane oxidation (CH4-C) in in August ","10-20 cm",13,"","ug CH4-C/kg/d","ANOVA (6 psuedoreplicates)","mean",0,NA,NA,0.15,1,NA,NA,2,"0.05","MP_NT","moldboard plow (20-25 cm) in fall with surface disking (7.5-10 cm) in spring","moldboard plow (20-25 cm) in fall with surface disking (7.5-10 cm) in spring","no-tillage","no-tillage",1,16,453,"Methane Emissions","Climate Mitigation",1233.33333333333,1.85,"10-25 cm","Years 11-15","Moldboard plow","No tillage","Moldboard plow - No tillage"
