Paper_id,Duration,Cash_tillage,Cash_seeddensity,Cash_species,Cash_cultivar,Cash_genetics,,,,,,,,,,,,,,,,,,,,
150,1989-3,variable,"65,000/438,000",maize/soybean,"Maize: Pioneer H3379 or H3317, Soybean: Pioneer 9442",,,,,,,,,,,,,,,,,,,,,
151,1989-4,variable,"65,000/438,000",maize/soybean,"Maize: Pioneer H3379 or H3317, Soybean: Pioneer 9442",,,,,,,,,,,,,,,,,,,,,
152,1989-8,variable,"65,000/438,000",maize/soybean,"Maize: Pioneer H3379 or H3317, Soybean: Pioneer 9442",,,,,,,,,,,,,,,,,,,,,
153,1995-2,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
154,1989-8,variable,"65,000/438,000",maize/soybean,"Maize: Pioneer H3379 or H3317, Soybean: Pioneer 9442",,,,,,,,,,,,,,,,,,,,,
155,1989-8,variable,"65,000/438,000",maize/soybean,"Maize: Pioneer H3379 or H3317, Soybean: Pioneer 9442",,,,,,,,,,,,,,,,,,,,,
156,1989-12,variable,"65,000/438,000",maize/soybean,"Maize: Pioneer H3379 or H3317, Soybean: Pioneer 9442",,,,,,,,,,,,,,,,,,,,,
157,1994-4,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
158,1995-3,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
159,1998-16,variable,"75-85,000/340-350,000",maize/soybean,,,,,,,,,,,,,,,,,,,,,,
160,2007-6,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
161,1970-45,variable,,maize-maize/maize-soybean,,,,,,,,,,,,,,,,,,,,,,
162,1970-45,variable,,maize-maize/maize-soybean,,,,,,,,,,,,,,,,,,,,,,
163,1967-7,variable,,maize-maize/maize-soybean/soybean-soybean,,,,,,,,,,,,,,,,,,,,,,
164,1985-3,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
165,1977-13,variable,,maize-maize/maize-soybean,"Maize: Pioneer (2) 3780 between 1977 and 1983, Ames Best SX37 in 1984, Pioneer 3747 in 1985 and 1986, Pioneer 3782 in 1987, and Golden Harvest H2343 in 1988 and 1989. Soybean varieties include Corsoy in 1977 and 1978, Harcor in 1979 and 1980, Vickery in 1981, Corsoy 79 in 1982 through 1986, Elgin in 1987, and Hardin in 1988 and 1989",,,,,,,,,,,,,,,,,,,,,
166,1962-25,variable,,maize-maize,,,,,,,,,,,,,,,,,,,,,,
167,1985-2,variable,,maize-maize/maize-soybean,,,,,,,,,,,,,,,,,,,,,,
168,1975-11,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
169,1988-3,variable,,maize-maize/soybean-soybean/maize-soybean intercropping,,,,,,,,,,,,,,,,,,,,,,
170,1985-3,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
171,1975-13,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
172,1978-10,variable,,maize (rotation variable),,,,,,,,,,,,,,,,,,,,,,
173,1982-4,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
174,1985-4,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
175,1987-3,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
176,1962-30,variable,,maize-maize,,,,,,,,,,,,,,,,,,,,,,
177,1984-7,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
178,1988-3,variable,,maize-maize/soybean-soybean/maize-soybean intercropping,,,,,,,,,,,,,,,,,,,,,,
179,1988-3,variable,,maize-maize/soybean-soybean/maize-soybean intercropping,,,,,,,,,,,,,,,,,,,,,,
180,1962-30,variable,,maize (rotation variable),,,,,,,,,,,,,,,,,,,,,,
181,1982-9,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
182,1982-9,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
183,1987-4,variable,,maize-maize/maize-soybean,,,,,,,,,,,,,,,,,,,,,,
184,1982-12,variable,,continuous maize,,,,,,,,,,,,,,,,,,,,,,
185,1975-20,variable,,maize-soybean/continuous maize,,,,,,,,,,,,,,,,,,,,,,
186,1987-8,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
187,1982-12,variable,,continuous maize or continuous soybean,,,,,,,,,,,,,,,,,,,,,,
188,1977-16,variable,,maize-maize/maize-soybean,,,,,,,,,,,,,,,,,,,,,,
189,1989-5,variable,,maize-soybean/continuous maize/maize-soybean with winter rye,,,,,,,,,,,,,,,,,,,,,,
190,1991-3,variable,,maize-soybean/continuous maize/continuous soybean,,,,,,,,,,,,,,,,,,,,,,
191,1994-1,variable,,maize or soybean or CRP,,,,,,,,,,,,,,,,,,,,,,
192,1984-12,variable,,maize or soybean,,,,,,,,,,,,,,,,,,,,,,
193,1962-30,variable,,continuous maize,,,,,,,,,,,,,,,,,,,,,,
194,1987-10,variable,,soybean (part of a soybean/wheat rotation),,,,,,,,,,,,,,,,,,,,,,
195,1990-5,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
196,1995-1,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
197,1993-3,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
198,1986-3,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
199,1989-6,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
200,1992-4,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
201,1995-2,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
202,1962-26,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
203,1987-7,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
204,1986-9,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
205,1976-17,variable,,continuous maize,,,,,,,,,,,,,,,,,,,,,,
206,1994-4,variable,,continuous maize or maize/soybean,,,,,,,,,,,,,,,,,,,,,,
207,1995-2,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
208,1994-4,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
209,1994-3,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
210,1988-12,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
211,1980-13,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
212,1980-13,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
213,1993-6,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
214,1997-1,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
215,1993-4,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
216,1990-11,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
217,1994-4,variable,,continuous soybean,,,,,,,,,,,,,,,,,,,,,,
218,1994-4,variable,,continuous maize/maize-soybean-maize/soybean-maize-soybean/sorghum-soybean-maize,,,,,,,,,,,,,,,,,,,,,,
219,1989-1,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
220,1999-2,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
221,1995-6,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
222,1963-36,variable,,continuous maize/maize-soybean/maize-oats-hay,,,,,,,,,,,,,,,,,,,,,,
223,1993-6,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
224,1971-18,variable,,continuous maize,,,,,,,,,,,,,,,,,,,,,,
225,1980-18,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
226,1995-4,variable,,maize,105 day maturity hybrid maize,,,,,,,,,,,,,,,,,,,,,
227,1995-5,variable,,maize,105 day maturity hybrid maize,,,,,,,,,,,,,,,,,,,,,
228,1993-8,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
229,1997-4,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
230,1993-8,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
231,1996-4,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
232,1986-16,variable,,continuous maize/continuous soybean/maize-soybean/soybean-maize,,,,,,,,,,,,,,,,,,,,,,
233,1978-24,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
234,1994-8,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
235,1978-24,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
236,2001-2,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
237,1995-7,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
238,2001-2,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
239,1993-9,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
240,1981-11,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
241,1998-4,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
242,1994-7,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
243,2001-3,variable,,maize/soybean,,all glyphosate resistant,,,,,,,,,,,,,,,,,,,,
244,1994-7,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
245,1996-4,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
246,1990-13,variable,,continuous maize,,,,,,,,,,,,,,,,,,,,,,
247,1980-24,variable,,continuous maize/ soybean-maize,,,,,,,,,,,,,,,,,,,,,,
248,2002-3,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
249,1998-1,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
250,1962-35,variable,,continuous maize,,,,,,,,,,,,,,,,,,,,,,
251,1995-10,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
252,2003-1,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
253,1980-23,variable,,maize,,,,,,,,,,,,,,,,,,,,,,
254,1998-1,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
255,1990-16,variable,,continuous maize/ soybean-maize-soybean/maize-soybean-maize,,,,,,,,,,,,,,,,,,,,,,
256,1997-8,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
257,1996-8,variable,,maize/soybean,,,,,,,,,,,,,,,,,,,,,,
258,1995-4,variable,,soybean,,,,,,,,,,,,,,,,,,,,,,
