Paper_id,Duration,Trt_id,Year,Till_type,Till_depth_cm,Till_numpasses,Till_dates,Trt_name,Trt_other_description,,,,,,,,,,,,,,,,,
150,1989-3,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",MP,,,,,,,,,,,,,,,,,,
150,1989-3,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",CP,,,,,,,,,,,,,,,,,,
150,1989-3,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
151,1989-4,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",MP,,,,,,,,,,,,,,,,,,
151,1989-4,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991)",CP,,,,,,,,,,,,,,,,,,
151,1989-4,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
152,1989-8,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",MP,,,,,,,,,,,,,,,,,,
152,1989-8,1,0,"chisel plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",CP,,,,,,,,,,,,,,,,,,
152,1989-8,2,0,no-tillage,0,0,,NT,,,,,,,,,,,,,,,,,,
153,1995-2,0,,"Moldboard plowed (20-25 cm deep) after maize harvest, followed by spring disking (7.5-10 cm deep). After soybean, plots were fall chisel plowed (30-35 cm deep), followed by spring disking.",35,2,,MP,,,,,,,,,,,,,,,,,,
153,1995-2,1,,Disk/field cultivation included fall disking (7.5-10 cm deep) after maize followed by spring field cultivation after soybean production.,10,2,,DT,,,,,,,,,,,,,,,,,,
153,1995-2,2,,No-tillage prior to or post planting,0,0,,NT,,,,,,,,,,,,,,,,,,
154,1989-8,0,0,"moldboard plow and three diskings in spring (15-20 inches, disking at 10 inches)",20,4,"late April - early May (1989), early June (1990), early May (1991), all other years undescribed",MP,,,,,,,,,,,,,,,,,,
