Change Status,Paper_id,Duration,Year_result,Loc_multi_results,Review_id,Group_RV,Response_var,RV_depth,RV_year,RV_trtspecifics,Response_var_units,Stat_test,Stat_type,Trt1,Trt1_int,Trt1_int2,Trt1_value,Trt2,Trt2_int,Trt2_int2,Trt2_value,significance,finelevel_group,Trt1_name,Trt1_description,Trt2_name,Trt2_description,Tillage_1,Tillage_2,Res_key,group_metric,main_group,per_change,actual_diff,sample_depth,sample_year,Tillage_1name,Tillage_2name,Tillage_compare
ok,150,1989-3,2,0,Tillage,Crop Production,soybean grain yield,,2,,kg/ha,LSM,mean,0,NA,NA,2600,2,NA,NA,2400,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,14157,Soybean,Yield,-7.692307692,-200,NA,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,150,1989-3,2,0,Tillage,Crop Production,soybean grain yield,,2,,kg/ha,LSM,mean,1,NA,NA,2700,2,NA,NA,2400,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,14165,Soybean,Yield,-11.11111111,-300,NA,Years 2-5,Chisel plow,No tillage,Chisel plow - No tillage
ok,150,1989-3,3,0,Tillage,Crop Production,maize grain yield,,3,,kg/ha,LSM,mean,1,NA,NA,5700,2,NA,NA,6100,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,14270,Corn,Yield,7.01754386,400,NA,Years 2-5,Chisel plow,No tillage,Chisel plow - No tillage
ok,150,1989-3,3,0,Tillage,Crop Production,maize grain yield,,3,,kg/ha,LSM,mean,0,NA,NA,6100,1,NA,NA,5700,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,14277,Corn,Yield,-6.557377049,-400,NA,Years 2-5,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,150,1989-3,1,0,Tillage,Crop Production,maize grain yield,,1,,kg/ha,LSM,mean,1,NA,NA,9300,2,NA,NA,8400,0.05,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,14317,Corn,Yield,-9.677419355,-900,NA,Year 1,Chisel plow,No tillage,Chisel plow - No tillage
ok,150,1989-3,1,0,Tillage,Crop Production,maize grain yield,,1,,kg/ha,LSM,mean,0,NA,NA,10500,1,NA,NA,9300,0.05,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,14352,Corn,Yield,-11.42857143,-1200,NA,Year 1,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,150,1989-3,1,0,Tillage,Crop Production,maize grain yield,,1,,kg/ha,LSM,mean,0,NA,NA,10500,2,NA,NA,8400,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,14353,Corn,Yield,-20,-2100,NA,Year 1,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,151,1989-4,3,0,Tillage,Crop Production,soybean grain yield,,3,,kg/ha,LSM,mean,1,NA,NA,3500,2,NA,NA,3900,ns,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,14221,Soybean,Yield,11.42857143,400,NA,Years 2-5,Chisel plow,No tillage,Chisel plow - No tillage
ok,151,1989-4,3,0,Tillage,Crop Production,soybean grain yield,,3,,kg/ha,LSM,mean,0,NA,NA,3700,1,NA,NA,3500,ns,MP_CP,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,chisel plow and three diskings in spring,chisel plow and three diskings in spring,1,6,14231,Soybean,Yield,-5.405405405,-200,NA,Years 2-5,Moldboard plow,Chisel plow,Moldboard plow - Chisel plow
ok,151,1989-4,3,0,Tillage,Crop Production,soybean grain yield,,3,,kg/ha,LSM,mean,0,NA,NA,3700,2,NA,NA,3900,ns,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,14232,Soybean,Yield,5.405405405,200,NA,Years 2-5,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,152,1989-8,8,0,Tillage,Soil,cone penetration resistance adjusted for soil moisture at planting,0-8 cm,8,,MPa,LSM,mean,0,NA,NA,0.02,2,NA,NA,0.89,0.05,MP_NT,moldboard plow and three diskings in spring,moldboard plow and three diskings in spring,no-tillage,no-tillage,1,16,240,Compaction,Physical,4350,0.87,0-25 cm,Years 6-10,Moldboard plow,No tillage,Moldboard plow - No tillage
ok,152,1989-8,8,0,Tillage,Soil,cone penetration resistance adjusted for soil moisture at planting,0-8 cm,8,,MPa,LSM,mean,1,NA,NA,0.05,2,NA,NA,0.89,0.05,CP_NT,chisel plow and three diskings in spring,chisel plow and three diskings in spring,no-tillage,no-tillage,6,16,302,Compaction,Physical,1680,0.84,0-25 cm,Years 6-10,Chisel plow,No tillage,Chisel plow - No tillage
