review,uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,title_lower
cc,WOS:000500213400005,Effects of intercropping and soil properties on root functional traits of cover crops,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,285,,DEC 1,2019,"Bukovsky-Reyes, Santiago | Isaac, Marney E. | Blesh, Jennifer",Cover crop | Grass | Legume | Nutrient acquisition strategies | Particulate organic matter | Root functional traits,10.1016/j.agee.2019.106614,NA,JS3MQ,0167-8809,NA,effects of intercropping and soil properties on root functional traits of cover crops
cc,WOS:000498751000012,Rapid and distinct responses of particulate and mineral-associated organic nitrogen to conservation tillage and cover crops,GEODERMA,NA,359,,FEB 1,2020,"Jilling, Andrea | Kane, Daniel | Williams, Alwyn | Yannarell, Anthony C. | Davis, Adam | Jordan, Nicholas R. | Koide, Roger T. | Mortensen, David A. | Smith, Richard G. | Snapp, Sieglinde S. | Spokas, Kurt A. | Grandy, A. Stuart",Soil organic matter fractions | Tillage | Cover crops | Nitrogen availability | Particulate organic matter | Mineral-associated organic matter,10.1016/j.geoderma.2019.114001,NA,JQ1ZJ,0016-7061,NA,rapid and distinct responses of particulate and mineral-associated organic nitrogen to conservation tillage and cover crops
cc,WOS:000497245500001,Flood Risk Reduction from Agricultural Best Management Practices,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,NA,NA,,NOV 20,2019,"Antolini, Federico | Tate, Eric | Dalzell, Brent | Young, Nathan | Johnson, Kris | Hawthorne, Peter L.",agricultural BMPs | flood loss estimation | flood damage | wetlands | rural,10.1111/1752-1688.12812,NA,JN9YS,1093-474X,NA,flood risk reduction from agricultural best management practices
cc,WOS:000499482000007,Development of the DNDC model to improve soil hydrology and incorporate mechanistic tile drainage: A comparative analysis with RZWQM2,ENVIRONMENTAL MODELLING & SOFTWARE,NA,123,,JAN,2020,"Smith, Ward | Grant, Brian | Qi, Zhiming | He, Wentian | VanderZaag, Andrew | Drury, Craig F. | Helmers, Matthew",,10.1016/j.envsoft.2019.104577,NA,JR2ST,1364-8152,NA,development of the dndc model to improve soil hydrology and incorporate mechanistic tile drainage: a comparative analysis with rzwqm2
cc,WOS:000500371200014,Impacts of environmental stressors on nonpoint source pollution in intensively managed hydrologic systems,JOURNAL OF HYDROLOGY,NA,579,,DEC,2019,"Botero-Acosta, A. | Chu, M. L. | Huang, C.",Hydrologic model | Transport model | Water management practices | Nonpoint source pollution | Advection-dispersion equation | MUSLE | MIKE-SHE | MIKE 11,10.1016/j.jhydrol.2019.124056,NA,JS5UK,0022-1694,NA,impacts of environmental stressors on nonpoint source pollution in intensively managed hydrologic systems
tillage,WOS:000498751000012,Rapid and distinct responses of particulate and mineral-associated organic nitrogen to conservation tillage and cover crops,GEODERMA,NA,359,,FEB 1,2020,"Jilling, Andrea | Kane, Daniel | Williams, Alwyn | Yannarell, Anthony C. | Davis, Adam | Jordan, Nicholas R. | Koide, Roger T. | Mortensen, David A. | Smith, Richard G. | Snapp, Sieglinde S. | Spokas, Kurt A. | Grandy, A. Stuart",Soil organic matter fractions | Tillage | Cover crops | Nitrogen availability | Particulate organic matter | Mineral-associated organic matter,10.1016/j.geoderma.2019.114001,NA,JQ1ZJ,0016-7061,NA,rapid and distinct responses of particulate and mineral-associated organic nitrogen to conservation tillage and cover crops
tillage,WOS:000497245500001,Flood Risk Reduction from Agricultural Best Management Practices,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,NA,NA,,NOV 20,2019,"Antolini, Federico | Tate, Eric | Dalzell, Brent | Young, Nathan | Johnson, Kris | Hawthorne, Peter L.",agricultural BMPs | flood loss estimation | flood damage | wetlands | rural,10.1111/1752-1688.12812,NA,JN9YS,1093-474X,NA,flood risk reduction from agricultural best management practices
tillage,WOS:000502983600019,Nitrogen-15 Evaluation of Fall-Applied Anhydrous Ammonia: I. Efficiency of Nitrogen Uptake by Corn,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,6,83,1809-1818,NOV-DEC,2019,"Griesheim, Kelsey L. | Mulvaney, Richard L. | Smith, Tim J. | Henning, Shelby W. | Hertzberger, Allan J.",,10.2136/sssaj2019.04.0098,NA,JW3VT,0361-5995,NA,nitrogen-15 evaluation of fall-applied anhydrous ammonia: i. efficiency of nitrogen uptake by corn
tillage,WOS:000502954900007,Scouringrush (Equisetum spp.) control in dryland winter wheat,WEED TECHNOLOGY,6,33,808-814,DEC,2019,"Kerbs, Blake D. | Hulting, Andrew G. | Lyon, Drew J.",Amit Jhala | University of Nebraska | Lincoln | Chlorsulfuron | MCPA | intermediate scouringrush | Equisetum x ferrissii Clute | smooth scouringrush | Equisetum laevigatum A | Braun | winter wheat | Triticum aestivum L | Chemical fallow | mowing | scouringrush control,10.1017/wet.2019.45,NA,JW3KT,0890-037X,NA,scouringrush (equisetum spp.) control in dryland winter wheat
pest,WOS:000500216600013,Reduced species richness of native bees in field margins associated with neonicotinoid concentrations in non-target soils,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,287,,JAN 1,2020,"Main, Anson R. | Webb, Elisabeth B. | Goyne, Keith W. | Mengel, Doreen",Biodiversity | Ecosystem services | Field margin | Pesticide impacts | Pollinators,10.1016/j.agee.2019.106693,NA,JS3NW,0167-8809,NA,reduced species richness of native bees in field margins associated with neonicotinoid concentrations in non-target soils
pest,WOS:000500216600003,Neonicotinoid insecticide concentrations in agricultural wetlands and associations with aquatic invertebrate communities,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,287,,JAN 1,2020,"Schepker, Travis J. | Webb, Elisabeth B. | Tillitt, Donald | LaGrange, Ted",Neonicotinoid | Vegetative buffers | Wetlands | Aquatic invertebrates,10.1016/j.agee.2019.106678,NA,JS3NW,0167-8809,NA,neonicotinoid insecticide concentrations in agricultural wetlands and associations with aquatic invertebrate communities
pest,WOS:000502418500013,Synergistic Lemna Duckweed and Microbial Transformation of Imidacloprid and Thiacloprid Neonicotinoids,ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS,12,6,761-767,DEC,2019,"Muerdter, Claire P. | LeFeyre, Gregory H.",,10.1021/acs.estlett.9b00638,NA,JV5PY,2328-8930,NA,synergistic lemna duckweed and microbial transformation of imidacloprid and thiacloprid neonicotinoids
nutrient,WOS:000500371200014,Impacts of environmental stressors on nonpoint source pollution in intensively managed hydrologic systems,JOURNAL OF HYDROLOGY,NA,579,,DEC,2019,"Botero-Acosta, A. | Chu, M. L. | Huang, C.",Hydrologic model | Transport model | Water management practices | Nonpoint source pollution | Advection-dispersion equation | MUSLE | MIKE-SHE | MIKE 11,10.1016/j.jhydrol.2019.124056,NA,JS5UK,0022-1694,NA,impacts of environmental stressors on nonpoint source pollution in intensively managed hydrologic systems
nutrient,WOS:000502983600019,Nitrogen-15 Evaluation of Fall-Applied Anhydrous Ammonia: I. Efficiency of Nitrogen Uptake by Corn,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,6,83,1809-1818,NOV-DEC,2019,"Griesheim, Kelsey L. | Mulvaney, Richard L. | Smith, Tim J. | Henning, Shelby W. | Hertzberger, Allan J.",,10.2136/sssaj2019.04.0098,NA,JW3VT,0361-5995,NA,nitrogen-15 evaluation of fall-applied anhydrous ammonia: i. efficiency of nitrogen uptake by corn
nutrient,WOS:000500213400005,Effects of intercropping and soil properties on root functional traits of cover crops,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,285,,DEC 1,2019,"Bukovsky-Reyes, Santiago | Isaac, Marney E. | Blesh, Jennifer",Cover crop | Grass | Legume | Nutrient acquisition strategies | Particulate organic matter | Root functional traits,10.1016/j.agee.2019.106614,NA,JS3MQ,0167-8809,NA,effects of intercropping and soil properties on root functional traits of cover crops
nutrient,WOS:000499482000007,Development of the DNDC model to improve soil hydrology and incorporate mechanistic tile drainage: A comparative analysis with RZWQM2,ENVIRONMENTAL MODELLING & SOFTWARE,NA,123,,JAN,2020,"Smith, Ward | Grant, Brian | Qi, Zhiming | He, Wentian | VanderZaag, Andrew | Drury, Craig F. | Helmers, Matthew",,10.1016/j.envsoft.2019.104577,NA,JR2ST,1364-8152,NA,development of the dndc model to improve soil hydrology and incorporate mechanistic tile drainage: a comparative analysis with rzwqm2
