review,uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,title_lower
cc,WOS:000364958900006,A survey of cover crop practices and perceptions of sustainable farmers in North Carolina and the surrounding region,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,6,30,550-562,DEC,2015,"O'Connell, S. | Grossman, J. M. | Hoyt, G. D. | Shi, W. | Bowen, S. | Marticorena, D. C. | Fager, K. L. | Creamer, N. G.",cover crop | green manure | sustainable | organic | survey | residue management | no-till,10.1017/S1742170514000398,NA,CW4JZ,1742-1705,NA,a survey of cover crop practices and perceptions of sustainable farmers in north carolina and the surrounding region
cc,WOS:000384984200006,"Summer Cover Crops and Lettuce Planting Time Influence Weed Population, Soil Nitrogen Concentration, and Lettuce Yields",HORTTECHNOLOGY,4,26,409-416,AUG,2016,"Kruse, Raymond | Nair, Ajay",allelopathy | biomass | C:N ratio | cowpea | sorghum-sudangrass | sustainable vegetable production | weed suppression,NA,NA,DY3IH,1063-0198,NA,"summer cover crops and lettuce planting time influence weed population, soil nitrogen concentration, and lettuce yields"
cc,WOS:000456501400008,Soils Determine Early Revegetation Establishment with and without Cover Crops in Northern Mixed Grass Prairie after Energy Development,ECOLOGICAL RESTORATION,4,35,311-319,DEC,2017,"Espeland, Erin K. | Hendrickson, John | Toledo, David | West, Natalie M. | Rand, Tatyana A.",calcareous soils | grassland ecology | phosphorous limitation | seedling establishment | soil health,10.3368/er.35.4.311,NA,VH8QW,1543-4060,NA,soils determine early revegetation establishment with and without cover crops in northern mixed grass prairie after energy development
cc,WOS:000416630200005,"Soil-Water Dynamics, Evapotranspiration, and Crop Coefficients of Cover-Crop Mixtures in Seed Maize Cover-Crop Rotation Fields. II: Grass-Reference and Alfalfa-Reference Single (Normal) and Basal Crop Coefficients",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,9,143,,SEP,2017,"Sharma, Vasudha | Irmak, Suat",Basal crop coefficient | Cover crops | Evapotranspiration | Single crop coefficient,10.1061/(ASCE)IR.1943-4774.0001215,NA,FO2SA,0733-9437,NA,"soil-water dynamics, evapotranspiration, and crop coefficients of cover-crop mixtures in seed maize cover-crop rotation fields. ii: grass-reference and alfalfa-reference single (normal) and basal crop coefficients"
cc,WOS:000075961100018,Oat and rye overseeded into soybean as fall cover crops in the upper Midwest,JOURNAL OF SOIL AND WATER CONSERVATION,3,53,276-279,NA,1998,"Johnson, TJ | Kaspar, TC | Kohler, KA | Corak, SJ | Logsdon, SD",corn | cover crops | dry matter | no-till | residue cover | yields,NA,NA,120MX,0022-4561,NA,oat and rye overseeded into soybean as fall cover crops in the upper midwest
cc,WOS:000384384900011,Cover crops have neutral effects on predator communities and biological control services in annual cellulosic bioenergy cropping systems,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,232,101-109,SEP 16,2016,"Fox, Aaron F. | Kim, Tania N. | Bahlai, Christine A. | Woltz, J. Megan | Gratton, Claudio | Landis, Douglas A.",Cellulosic bioenergy | Cover crops | Natural enemies | Biocontrol services,10.1016/j.agee.2016.07.003,NA,DX4XR,0167-8809,NA,cover crops have neutral effects on predator communities and biological control services in annual cellulosic bioenergy cropping systems
cc,WOS:000401472000014,"Limited Impact of a Fall-Seeded, Spring-Terminated Rye Cover Crop on Beneficial Arthropods",ENVIRONMENTAL ENTOMOLOGY,2,46,284-290,APR,2017,"Dunbar, Mike W. | Gassmann, Aaron J. | O'Neal, Matthew E.",community composition | IPM | natural enemy | nonmetric multidimensional scaling | pitfall trap,10.1093/ee/nvw177,NA,EV0YA,0046-225X,NA,"limited impact of a fall-seeded, spring-terminated rye cover crop on beneficial arthropods"
cc,WOS:000175780900007,The use of winter annual legume cover crops in a wheat-grain sorghum rotation in south central Kansas,JOURNAL OF SUSTAINABLE AGRICULTURE,2,20,69-88,NA,2002,"Janke, RR | Claassen, MM | Heer, WF | Jost, J | Freyenberger, S | Norman, D",legume cover crops | hairy vetch | Austrian winter pea | on-farm research | nitrogen,NA,NA,555EM,1044-0046,NA,the use of winter annual legume cover crops in a wheat-grain sorghum rotation in south central kansas
cc,WOS:000338718300007,Cover crops in the upper midwestern United States: Potential adoption and reduction of nitrate leaching in the Mississippi River Basin,JOURNAL OF SOIL AND WATER CONSERVATION,4,69,279-291,JUL-AUG,2014,"Kladivko, E. J. | Kaspar, T. C. | Jaynes, D. B. | Malone, R. W. | Singer, J. | Morin, X. K. | Searchinger, T.",adoption | cover crops | hypoxia | Mississippi River | nitrate leaching | water quality,10.2489/jswc.69.4.279,NA,AK8ZW,0022-4561,NA,cover crops in the upper midwestern united states: potential adoption and reduction of nitrate leaching in the mississippi river basin
cc,WOS:000249806500021,Are cover crops being used in the US corn belt?,JOURNAL OF SOIL AND WATER CONSERVATION,5,62,353-358,SEP-OCT,2007,"Singer, J. W. | Nusser, S. M.",conservation practices | cover crops | US corn belt,NA,NA,215KF,0022-4561,NA,are cover crops being used in the us corn belt?
