uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,title_lower
WOS:000433653300012,Rye cover crop retains nitrogen and doesn't reduce corn yields,SOIL & TILLAGE RESEARCH,NA,180,107-115,AUG,2018,"Snapp, Sieglinde | Surapur, Sowmya",Cover crop | Nitrogen | Corn,10.1016/j.still.2018.02.018,NA,GH7SI,0167-1987,NA,rye cover crop retains nitrogen and doesn't reduce corn yields
WOS:000473796300012,"Assessment of Cover Crop Management Strategies in Nebraska, US",AGRICULTURE-BASEL,6,9,,JUN,2019,"Oliveira, Maxwel C. | Butts, Liberty | Werle, Rodrigo",cereal rye (Secale cereale L.) | corn (Zea Mays L.) | conservation agriculture | soybean (Glycine max [L.] Merr.) | weed suppression,10.3390/agriculture9060124,NA,IG4TO,NA,NA,"assessment of cover crop management strategies in nebraska, us"
WOS:000475329400052,Cover Crop Effectiveness Varies in Cover Crop-Based Rotational Tillage Organic Soybean Systems Depending on Species and Environment,AGRONOMY-BASEL,6,9,,JUN,2019,"Vincent-Caboud, Laura | Vereecke, Lea | Silva, Erin | Peigne, Josephine",weed management | organic farming | mulch | weed dynamic | cereal grain cover crop | roller-crimper,10.3390/agronomy9060319,NA,II6US,2073-4395,NA,cover crop effectiveness varies in cover crop-based rotational tillage organic soybean systems depending on species and environment
WOS:000450600000007,Weed interference with no-till soyabeans influenced by fine-scale covariation between soil properties and cover crop performance,WEED RESEARCH,6,58,463-474,DEC,2018,"Eslami, S. V. | Davis, A. S.",precision agriculture | roller-crimper | structural equation modelling | ecological weed management | Secale cereale | Glycine max,10.1111/wre.12334,NA,HA9ER,0043-1737,NA,weed interference with no-till soyabeans influenced by fine-scale covariation between soil properties and cover crop performance
WOS:000449284900007,"Effects of cover crops on soil quality: Part I. Soil chemical properties-organic carbon, total nitrogen, pH, electrical conductivity, organic matter content, nitrate-nitrogen, and phosphorus",JOURNAL OF SOIL AND WATER CONSERVATION,6,73,637-651,NOV-DEC,2018,"Sharma, V | Irmak, S. | Padhi, J.",cover crops | soil chemical properties | soil conservation,10.2489/jswc.73.6.637,NA,GZ3KG,0022-4561,NA,"effects of cover crops on soil quality: part i. soil chemical properties-organic carbon, total nitrogen, ph, electrical conductivity, organic matter content, nitrate-nitrogen, and phosphorus"
WOS:000449284900008,"Effects of cover crops on soil quality: Part II. Soil exchangeable bases (potassium, magnesium, sodium, and calcium), cation exchange capacity, and soil micronutrients (zinc, manganese, iron, copper, and boron)",JOURNAL OF SOIL AND WATER CONSERVATION,6,73,652-668,NOV-DEC,2018,"Sharma, V | Irmak, S. | Padhi, J.",cover crops | micronutrients | soil exchangeable bases | soil quality,10.2489/jswc.73.6.652,NA,GZ3KG,0022-4561,NA,"effects of cover crops on soil quality: part ii. soil exchangeable bases (potassium, magnesium, sodium, and calcium), cation exchange capacity, and soil micronutrients (zinc, manganese, iron, copper, and boron)"
WOS:000429460300037,Establishment and Function of Cover Crops Interseeded into Corn,CROP SCIENCE,2,58,863-873,MAR-APR,2018,"Noland, Reagan L. | Wells, M. Scott | Sheaffer, Craig C. | Baker, John M. | Martinson, Krishona L. | Coulter, Jeffrey A.",,10.2135/cropsci2017.06.0375,NA,GC0IF,0011-183X,NA,establishment and function of cover crops interseeded into corn
WOS:000435213400001,Satellite detection of cover crops and their effects on crop yield in the Midwestern United States,ENVIRONMENTAL RESEARCH LETTERS,6,13,,JUN,2018,"Seifert, Christopher A. | Azzari, George | Lobell, David B.",agriculture | remote sensing | cover crops | soybean | maize | classification,10.1088/1748-9326/aac4c8,NA,GJ3RD,1748-9326,NA,satellite detection of cover crops and their effects on crop yield in the midwestern united states
WOS:000443266100009,Cover Crops have Negligible Impact on Soil Water in Nebraska Maize-Soybean Rotation,AGRONOMY JOURNAL,5,110,1718-1730,SEP-OCT,2018,"Barker, J. Burdette | Heeren, Derek M. | Koehler-Cole, Katja | Shapiro, Charles A. | Blanco-Canqui, Humberto | Elmore, Roger W. | Proctor, Christopher A. | Irmak, Suat | Francis, Charles A. | Shaver, Tim M. | Mohammed, Ali T.",,10.2134/agronj2017.12.0739,NA,GS1GI,0002-1962,NA,cover crops have negligible impact on soil water in nebraska maize-soybean rotation
WOS:000416616100005,Use of cover crop fields by migratory and resident birds,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,252,42-50,JAN 15,2018,"Wilcoxen, Cassandra A. | Walk, Jeffery W. | Ward, Michael P.",Cover crop | Eastern meadowlark | Stopover | Spring migration | Cereal rye | Migratory | Grassland,10.1016/j.agee.2017.09.039,NA,FO2NN,0167-8809,NA,use of cover crop fields by migratory and resident birds
WOS:000463304300023,Effect of cover crop management on soil hydraulic properties,GEODERMA,NA,343,247-253,JUN 1,2019,"Cercioglu, Melis | Anderson, Stephen H. | Udawatta, Ranjith P. | Alagele, Salah",Bulk density | Cover crop | Pore-size distribution | Saturated hydraulic conductivity | Water retention,10.1016/j.geoderma.2019.02.027,NA,HR7AM,0016-7061,NA,effect of cover crop management on soil hydraulic properties
WOS:000472668300053,Intersowing Cover Crops into Standing Soybean in the US Upper Midwest,AGRONOMY-BASEL,5,9,,MAY,2019,"Peterson, Alan T. | Berti, Marisol T. | Samarappuli, Dulan",winter camelina | winter pea | radish | winter rye | intersowing | nitrogen-accumulation: cover crop | soil nitrate,10.3390/agronomy9050264,NA,IE9BG,2073-4395,NA,intersowing cover crops into standing soybean in the us upper midwest
WOS:000462993000006,Legume nitrogen credits for sugarcane production: implications for soil N availability and ratoon yield,NUTRIENT CYCLING IN AGROECOSYSTEMS,3,113,307-322,APR,2019,"Tenelli, Sarah | Otto, Rafael | Quassi de Castro, Saulo Augusto | Bohorquez Sanchez, Camilo Ernesto | Schmiedt Sattolo, Thales Meinl | Kamogawa, Marcos Yassuo | Pagliari, Paulo Humberto | Nunes Carvalho, Joao Luis",Crotalaria spectabilis | Biological N fixation | Illinois soil nitrogen test | Inorganic N | Cover crop | Saccharum spp,10.1007/s10705-019-09979-y,NA,HR2UN,1385-1314,NA,legume nitrogen credits for sugarcane production: implications for soil n availability and ratoon yield
WOS:000437916100002,The trouble with cover crops: Farmers' experiences with overcoming barriers to adoption,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,4,33,322-333,AUG,2018,"Roesch-McNally, Gabrielle E. | Basche, Andrea D. | Arbuckle, J. G. | Tyndall, John C. | Miguez, Fernando E. | Bowman, Troy | Clay, Rebecca",cover crops | agency and structure | U.S Corn Belt | conservation decision making,10.1017/S1742170517000096,NA,GM2LC,1742-1705,NA,the trouble with cover crops: farmers' experiences with overcoming barriers to adoption
WOS:000443664900052,Winter cover crops reduce nitrate loss in an agricultural watershed in the central U.S,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,265,513-523,OCT 1,2018,"Hanrahan, Brittany R. | Tank, Jennifer L. | Christopher, Sheila F. | Mahl, Ursula H. | Trentman, Matt T. | Royer, Todd V.",Water quality | Agriculture | Land use | Conservation | Watershed-scale,10.1016/j.agee.2018.07.004,NA,GS4YX,0167-8809,NA,winter cover crops reduce nitrate loss in an agricultural watershed in the central u.s
WOS:000449284900010,The feasibility of satellite remote sensing and spatial interpolation to estimate cover crop biomass and nitrogen uptake in a small watershed,JOURNAL OF SOIL AND WATER CONSERVATION,6,73,682-692,NOV-DEC,2018,"Xu, M. | Lacey, C. G. | Armstrong, S. D.",cover crop biomass | cover crop nitrogen uptake | remote sensing | spatial interpolation | vegetation indices | watershed conservation,10.2489/jswc.73.6.682,NA,GZ3KG,0022-4561,NA,the feasibility of satellite remote sensing and spatial interpolation to estimate cover crop biomass and nitrogen uptake in a small watershed
WOS:000466840400028,Economics and Agronomics of Relay-Cropping Pennycress and Camelina with Soybean in Minnesota,AGRONOMY JOURNAL,3,111,1281-1292,MAY-JUN,2019,"Ott, Matthew A. | Eberle, Carrie A. | Thom, Matt D. | Archer, David W. | Forcella, Frank | Gesch, Russell W. | Wyse, Donald L.",,10.2134/agronj2018.04.0277,NA,HW6ZV,0002-1962,NA,economics and agronomics of relay-cropping pennycress and camelina with soybean in minnesota
WOS:000434954900175,Cover Crops for Managing Stream Water Quantity and Improving Stream Water Quality of Non-Tile Drained Paired Watersheds,WATER,4,10,,APR,2018,"Singh, Gurbir | Schoonover, Jon E. | Williard, Karl W. J.",headwater streams | residual nutrient management | sediment export | cereal rye | hairy vetch,10.3390/w10040521,NA,GJ0OY,2073-4441,NA,cover crops for managing stream water quantity and improving stream water quality of non-tile drained paired watersheds
WOS:000473737000006,Unmanned aerial vehicle-based assessment of cover crop biomass and nitrogen uptake variability,JOURNAL OF SOIL AND WATER CONSERVATION,4,74,350-359,JUL-AUG,2019,"Yuan, M. | Burjel, J. C. | Isermann, J. | Goeser, N. J. | Pittelkow, C. M.",cereal rye | cover crops | Normalized Difference Vegetation Index (NDVI) | remote sensing | unmanned aerial vehicle (UAV) | vegetation indices,10.2489/jswc.74.4.350,NA,IG3WV,0022-4561,NA,unmanned aerial vehicle-based assessment of cover crop biomass and nitrogen uptake variability
WOS:000466151100009,Effects of Farmers' Yield-Risk Perceptions on Conservation Practice Adoption in Kansas,JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,2,44,380-403,MAY,2019,"Ramsey, Steven M. | Bergtold, Jason S. | Canales, Elizabeth | Williams, Jeffery R.",bivariate probit | conservation agriculture | yield risk,NA,NA,HV7HC,1068-5502,NA,effects of farmers' yield-risk perceptions on conservation practice adoption in kansas
WOS:000449139500009,Impacts of nitrogen application timing and cover crop inclusion on subsurface drainage water quality,AGRICULTURAL WATER MANAGEMENT,NA,211,81-88,JAN 1,2019,"Ruffatti, Michael D. | Roth, Richard T. | Lacey, Corey G. | Armstrong, Shalamar D.",In-field conservation practices | Nutrient loss reductions | Cereal rye | Daikon radish | Nitrate leaching | Unfertilized control,10.1016/j.agwat.2018.09.016,NA,GZ1PH,0378-3774,NA,impacts of nitrogen application timing and cover crop inclusion on subsurface drainage water quality
WOS:000453369400054,"Conditional Causal Mediation Analysis of Factors Associated With Cover Crop Adoption in Iowa, USA",WATER RESOURCES RESEARCH,11,54,9566-9584,NOV,2018,"Lee, Danhyang | Arbuckle, J. Gordon | Zhu, Zhengyuan | Nowatzke, Laurie",agriculture | water quality | hypoxia | cover crops | adoption,10.1029/2017WR022385,NA,HE4WJ,0043-1397,NA,"conditional causal mediation analysis of factors associated with cover crop adoption in iowa, usa"
WOS:000471010300053,"Tillage, Cover Crop and Crop Rotation Effects on Selected Soil Chemical Properties",SUSTAINABILITY,10,11,,MAY 2,2019,"Haruna, Samuel, I | Nkongolo, Nsalambi, V",tillage | cover crop | crop rotation | soil organic matter,10.3390/su11102770,NA,IC5LV,2071-1050,NA,"tillage, cover crop and crop rotation effects on selected soil chemical properties"
WOS:000455895800022,EFFECTS OF COVER CROPS ON TWO HETERODERA GLYCINES POPULATIONS FROM TWO FIELDS OF NORTH DAKOTA,JOURNAL OF NEMATOLOGY,4,50,624-624,DEC,2018,"Acharya, Krishna | Yan, G. P.",,NA,NA,HH7FJ,0022-300X,NA,effects of cover crops on two heterodera glycines populations from two fields of north dakota
WOS:000459315800024,Cover Crops and Corn Residue Removal: impacts on Soil Hydraulic Properties and Their Relationships with Carbon,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,1,83,221-231,JAN-FEB,2019,"Sindelar, Michael | Blanco-Canqui, Humberto | Jin, Virginia L. | Ferguson, Richard",,10.2136/sssaj2018.06.0225,NA,HM2RE,0361-5995,NA,cover crops and corn residue removal: impacts on soil hydraulic properties and their relationships with carbon
WOS:000443266100027,"Do Tillage, Cover Crops, and Compost Management within Organic Grain Cropping Affect Greenhouse Gas Emissions?",AGRONOMY JOURNAL,5,110,1893-1904,SEP-OCT,2018,"Boardman, Dara L. | Easterby, Steven | Clark, Kerry M. | Kitchen, Newell R. | Staples, Jill S. | Reinbott, Timothy M. | Kremer, Robert J.",,10.2134/agronj2018.01.0023,NA,GS1GI,0002-1962,NA,"do tillage, cover crops, and compost management within organic grain cropping affect greenhouse gas emissions?"
WOS:000460656500007,"Soil health indicator responses on Missouri claypan soils affected by landscape position, depth, and management practices",JOURNAL OF SOIL AND WATER CONSERVATION,2,74,126-137,MAR-APR,2019,"VeVerka, J. S. | Udawatta, R. P. | Kremer, R. J.",Chariton County Soil Health Farm | conservation practices | cover crops | soil biological indicators | soil enzymes,10.2489/jswc.74.2.126,NA,HO1HP,0022-4561,NA,"soil health indicator responses on missouri claypan soils affected by landscape position, depth, and management practices"
WOS:000476472300015,Cover Crops on Temporal and Spatial Variations in Soil Microbial Communities by Phospholipid Fatty Acid Profiling,AGRONOMY JOURNAL,4,111,1693-1703,JUL-AUG,2019,"Rankoth, Lalith M. | Udawatta, Ranjith P. | Gantzer, Clark J. | Jose, Shibu | Veum, Kristen | Dewanto, Haryo A.",,10.2134/agronj2018.12.0789,NA,IK3EM,0002-1962,NA,cover crops on temporal and spatial variations in soil microbial communities by phospholipid fatty acid profiling
WOS:000484872000026,"Cover crop rotations affect greenhouse gas emissions and crop production in Illinois, USA",FIELD CROPS RESEARCH,NA,241,,SEP 1,2019,"Behnke, Gevan D. | Villamil, Maria B.",Greenhouse gas emissions | Nitrous oxide | Carbon dioxide | Methane | Cover crops | Midwest,10.1016/j.fcr.2019.107580,NA,IW3HV,0378-4290,NA,"cover crop rotations affect greenhouse gas emissions and crop production in illinois, usa"
WOS:000459315800022,Structural Stability Conditions Soil Carbon Gains from Compost Management and Rotational Diversity,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,1,83,203-211,JAN-FEB,2019,"Mpeketula, Placid M. G. | Snapp, Sieglinde S.",,10.2136/sssaj2017.03.0076,NA,HM2RE,0361-5995,NA,structural stability conditions soil carbon gains from compost management and rotational diversity
WOS:000453215800004,"Spatiotemporal Magnitudes and Trends of Cover-Crop Evapotranspiration in Nebraska, Iowa, and Kansas",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,2,145,,FEB,2019,"Sharma, Vasudha | Irmak, Suat",,10.1061/(ASCE)IR.1943-4774.0001367,NA,HE2XZ,0733-9437,NA,"spatiotemporal magnitudes and trends of cover-crop evapotranspiration in nebraska, iowa, and kansas"
WOS:000465097400018,"Network-based approaches for soil health research and extension programming in North Dakota, USA",SOIL USE AND MANAGEMENT,1,35,177-184,MAR,2019,"Wick, Abbey F. | Haley, Jean | Gasch, Caley | Wehlander, Terry | Briese, Lee | Samson-Liebig, Susan",collaborative | linear model | on-farm | whole systems,10.1111/sum.12444,NA,HU2JO,0266-0032,NA,"network-based approaches for soil health research and extension programming in north dakota, usa"
WOS:000473796300013,Cover Crop Influence on Soil Enzymes and Selected Chemical Parameters for a Claypan Corn-Soybean Rotation,AGRICULTURE-BASEL,6,9,,JUN,2019,"Rankoth, Lalith M. | Udawatta, Ranjith P. | Veum, Kristen S. | Jose, Shibu | Alagele, Salah",cover crops | soil pH | soil enzymes | soil organic matter | soil quality,10.3390/agriculture9060125,NA,IG4TO,NA,NA,cover crop influence on soil enzymes and selected chemical parameters for a claypan corn-soybean rotation
WOS:000437987000009,The influence of demonstration sites and field days on adoption of conservation practices,JOURNAL OF SOIL AND WATER CONSERVATION,3,73,276-283,MAY-JUN,2018,"Singh, A. | MacGowan, B. | O'Donnell, M. | Overstreet, B. | Ulrich-Schad, J. | Dunn, M. | Klotz, H. | Prokopy, L.",adoption of conservation practices | agricultural producers | cover crops | demonstration projects | field days | nutrient management,10.2489/jswc.73.3.276,NA,GM3FN,0022-4561,NA,the influence of demonstration sites and field days on adoption of conservation practices
WOS:000443953300042,Forages and pastures symposium: cover crops in livestock production: whole-system approach. Can cover crops pull double duty: conservation and profitable forage production in the Midwestern United States?,JOURNAL OF ANIMAL SCIENCE,8,96,3503-3512,AUG,2018,"Drewnoski, Mary | Parsons, Jay | Blanco, Humberto | Redfearn, Daren | Hales, Kristin | MacDonald, Jim",brassicas | cereal rye | cover crop | forage | oats,10.1093/jas/sky026,NA,GS8IR,0021-8812,NA,forages and pastures symposium: cover crops in livestock production: whole-system approach. can cover crops pull double duty: conservation and profitable forage production in the midwestern united states?
WOS:000484542300036,Cover Crop Effects on Corn Plant Sap Flow Rates and Soil Water Dynamics,CROP SCIENCE,5,59,2227-2236,SEP-OCT,2019,"Rankoth, Lalith M. | Udawatta, Ranjith P. | Gantzer, Clark J. | Jose, Shibu | Nelson, Kelly A.",,10.2135/cropsci2019.04.0234,NA,IV8VE,0011-183X,NA,cover crop effects on corn plant sap flow rates and soil water dynamics
WOS:000424130500102,N loss to drain flow and N2O emissions from a corn-soybean rotation with winter rye,SCIENCE OF THE TOTAL ENVIRONMENT,NA,618,982-997,MAR 15,2018,"Gillette, K. | Malone, R. W. | Kaspar, T. C. | Ma, L. | Parkin, T. B. | Jaynes, D. B. | Fang, Q. X. | Hatfield, J. L. | Feyereisen, G. W. | Kersebaum, K. C.",,10.1016/j.scitotenv.2017.09.054,NA,FU8UD,0048-9697,NA,n loss to drain flow and n2o emissions from a corn-soybean rotation with winter rye
WOS:000433653300011,"Rye cover crop increases earthworm populations and reduces losses of broadcast, fall-applied, fertilizers in surface runoff",SOIL & TILLAGE RESEARCH,NA,180,99-106,AUG,2018,"Korucu, Tayfun | Shipitalo, Martin J. | Kaspar, Thomas C.",No-till | Simulated rainfall | Water quality,10.1016/j.still.2018.03.004,NA,GH7SI,0167-1987,NA,"rye cover crop increases earthworm populations and reduces losses of broadcast, fall-applied, fertilizers in surface runoff"
WOS:000433653300029,Evaluation of disruption of sediment connectivity and herbicide transport across a slope by grass strips using a magnetic iron oxide tracer,SOIL & TILLAGE RESEARCH,NA,180,268-281,AUG,2018,"Burguet, Maria | Guzman, Gema | de Luna, Elena | Taguas, Encarnacion V. | Alfonso Gomez, Jose",Vegetation strips | Magnetic tracer | Herbicides | Connectivity | Selective transport | Rainfall simulations | Soil loss,10.1016/j.still.2018.02.014,NA,GH7SI,0167-1987,NA,evaluation of disruption of sediment connectivity and herbicide transport across a slope by grass strips using a magnetic iron oxide tracer
WOS:000451602600001,Cover crop species and termination method effects on organic maize and soybean,BIOLOGICAL AGRICULTURE & HORTICULTURE,1,35,1-20,JAN 2,2019,"Bavougian, Christina M. | Sarno, Elizabeth | Knezevic, Stevan | Shapiro, Charles A.",Cover crop | termination | crop rotation | roller/crimper | flame | no-till,10.1080/01448765.2018.1455607,NA,HC1ZT,0144-8765,NA,cover crop species and termination method effects on organic maize and soybean
WOS:000419415700008,A cost analysis approach to valuing cover crop environmental and nitrogen cycling benefits: A central Illinois on farm case study,AGRICULTURAL SYSTEMS,NA,159,69-77,JAN,2018,"Roth, Richard T. | Ruffatti, Michael D. | O'Rourke, Patrick D. | Armstrong, Shalamar D.",Economics of cover crops | Nitrogen loss reductions | Cover crop residue nitrogen release | Tile drainage | Nitrogen application timing,10.1016/j.agsy.2017.10.007,NA,FR9TJ,0308-521X,NA,a cost analysis approach to valuing cover crop environmental and nitrogen cycling benefits: a central illinois on farm case study
WOS:000443263200033,Does Cover Crop Radish Supply Nitrogen to Corn?,AGRONOMY JOURNAL,4,110,1513-1522,JUL-AUG,2018,"Ruark, Matthew D. | Chawner, Megan M. | Ballweg, Michael J. | Proost, Richard T. | Arriaga, Francisco J. | Stute, James K.",,10.2134/agronj2017.06.0352,NA,GS1FR,0002-1962,NA,does cover crop radish supply nitrogen to corn?
WOS:000457270700013,Strip Intercropping of Rye-Vetch Mixtures: Effects on Weed Growth and Competition in Strip-Tilled Sweet Corn,WEED SCIENCE,1,67,114-125,FEB,2019,"Lowry, Carolyn J. | Brainard, Daniel C.",Cover crop | nitrogen placement | organic cropping system | reduced tillage | weed competition | zonal management,10.1017/wsc.2018.83,NA,HJ6CI,0043-1745,NA,strip intercropping of rye-vetch mixtures: effects on weed growth and competition in strip-tilled sweet corn
WOS:000466157500020,Do Cover Crops and Corn Residue Removal Affect Soil Thermal Properties?,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,2,83,448-457,MAR-APR,2019,"Sindelar, Michael | Blanco-Canqui, Humberto | Jin, Virginia L. | Ferguson, Richard",,10.2136/sssaj2018.06.0239,NA,HV7JO,0361-5995,NA,do cover crops and corn residue removal affect soil thermal properties?
