review,uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,title_lower
cc,WOS:000741415700001,Exploring Overwintered Cover Crops as a Soil Management Tool in Upper-midwest High Tunnels,HORTSCIENCE,2,57,171-180,FEB,2022,"Perkus, Elizabeth A. | Grossman, Julie M. | Pfeiffer, Anne | Rogers, Mary A. | Rosen, Carl J.",legume | nitrogen | organic agriculture | Pisum sativum | Trifolium pratense | Vicia villosa,10.21273/HORTSCI15987-21,NA,YE9CN,0018-5345,NA,exploring overwintered cover crops as a soil management tool in upper-midwest high tunnels
cc,WOS:000771546600001,Cover crops in a Wisconsin annual cropping system: Feasibility and yield effects,AGRONOMY JOURNAL,2,114,1052-1067,MAR,2022,"Malone, Lindsay Chamberlain | Mourtzinis, Spyridon | Gaska, John M. | Lauer, Joseph G. | Ruark, Matthew D. | Conley, Shawn P.",,10.1002/agj2.21029,NA,0N8OA,0002-1962,NA,cover crops in a wisconsin annual cropping system: feasibility and yield effects
cc,WOS:000709261800001,Cover Crop Effects on Cash Crops in Northern Great Plains No-till Systems Are Annually Variable and Possibly Delayed,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,2,53,153-169,JAN 19,2022,"Chim, Bee Khim | Osborne, Shannon L. | Lehman, R. Michael | Schneider, Sharon K.",Cover crop | crop grow | crop yield | no-tillage | nutrient uptake | soil nutrient,10.1080/00103624.2021.1984512,NA,XU5NQ,0010-3624,NA,cover crop effects on cash crops in northern great plains no-till systems are annually variable and possibly delayed
cc,WOS:000786865900008,"Assessing Direct and Residual Effects of Cover Crops on the Soybean Cyst Nematode, Heterodera glycines",PLANT DISEASE,5,106,1486-1491,MAY 2,2022,"Harbach, Chelsea J. | Tylka, Gregory L.",cover crops | Heterodera glycines | soybean cyst nematode,10.1094/PDIS-12-20-2581-RE,NA,0V7LG,0191-2917,NA,"assessing direct and residual effects of cover crops on the soybean cyst nematode, heterodera glycines"
cc,WOS:000820593100001,Impact of Cover Crop Planting and Termination Dates on Arthropod Activity in the Following Corn,JOURNAL OF ECONOMIC ENTOMOLOGY,4,115,1177-1190,AUG 10,2022,"Carmona, Gabriela Inveninato | Robinson, Emily | Rosa, Alexandre Tonon | Proctor, Christopher A. | McMechan, Anthony Justin",cover crop | planting date | termination date | arthropod | corn,10.1093/jee/toac090,NA,3R3MQ,0022-0493,NA,impact of cover crop planting and termination dates on arthropod activity in the following corn
cc,WOS:000769542600015,"Effect of Planting into a Green Winter Cereal Rye Cover Crop on Growth and Development, Seedling Disease, and Yield of Corn",PLANT DISEASE,1,106,114-120,JAN,2022,"Acharya, J. | Moorman, T. B. | Kaspar, T. C. | Lenssen, A. W. | Gailans, S. | Robertson, A. E.",cereal rye | cover crop | disease management | field crop | Pythium | seedling disease,10.1094/PDIS-04-21-0836-RE,NA,ZU0NH,0191-2917,NA,"effect of planting into a green winter cereal rye cover crop on growth and development, seedling disease, and yield of corn"
cc,WOS:000835728700010,Cover crops and specialty crop agriculture: Exploring cover crop use among vegetable and fruit growers in Michigan and Ohio,JOURNAL OF SOIL AND WATER CONSERVATION,4,77,403-417,JUL-AUG,2022,"Schoolman, E. D. | Arbuckle, J. G., Jr.",cover crops | crop consultants | organic farming | specialty crops,10.2489/jSWC.2022.00006,NA,3M8TB,0022-4561,NA,cover crops and specialty crop agriculture: exploring cover crop use among vegetable and fruit growers in michigan and ohio
cc,WOS:000792650100001,Legume Cover Crop Contributions to Ecological Nutrient Management in Upper Midwest Vegetable Systems,FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,NA,6,,APR 15,2022,"Perrone, Sharon | Grossman, Julie | Liebman, Alexander | Wells, Samantha | Sooksa-nguan, Thanwalee | Jordan, Nicholas",cover crops | legumes | nutrient cycling | organic cropping systems | soil organic matter,10.3389/fsufs.2022.712152,NA,1B7YY,NA,NA,legume cover crop contributions to ecological nutrient management in upper midwest vegetable systems
cc,WOS:000761810300001,Evaluation of potentially available nitrogen by biological and chemical methods in soil cultivated with maize in succession to cover crops,JOURNAL OF PLANT NUTRITION,13,45,1919-1932,AUG 9,2022,"Trombeta Bettiol, Aline Carla | Braos, Lucas Boscov | Lopes, Iva Guidini | Andriolli, Itamar | Ferreira, Manoel Evaristo | Pessoa da Cruz, Mara Cristina",soil fertility | winter crops | N dynamics | mineralization,10.1080/01904167.2022.2044488,NA,1U8IE,0190-4167,NA,evaluation of potentially available nitrogen by biological and chemical methods in soil cultivated with maize in succession to cover crops
cc,WOS:000821136900001,Episodic N2O emissions following tillage of a legume-grass cover crop mixture,BIOGEOSCIENCES,13,19,3169-3184,JUL 6,2022,"Bressler, Alison | Blesh, Jennifer",,10.5194/bg-19-3169-2022,NA,2R5FE,1726-4170,NA,episodic n2o emissions following tillage of a legume-grass cover crop mixture
cc,WOS:000793183600004,Cover crops control nitrogen and phosphorus transport from two agricultural watersheds at multiple measurement scales,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,326,,MAR 1,2022,"Speir, Shannon L. | Tank, Jennifer L. | Trentman, Matt T. | Mahl, Ursula H. | Sethna, Lienne R. | Hanrahan, Brittany R. | Royer, Todd, V",Water quality | Agriculture | Conservation | Watershed-scale | Spatiotemporal heterogeneity | Land use,10.1016/j.agee.2021.107765,NA,1C5UJ,0167-8809,NA,cover crops control nitrogen and phosphorus transport from two agricultural watersheds at multiple measurement scales
cc,WOS:000769298400004,Barriers to cover crop adoption: Evidence from parallel surveys in Maryland and Ohio,JOURNAL OF SOIL AND WATER CONSERVATION,2,77,198-211,MAR-APR,2022,"Duke, J. M. | Johnston, R. J. | Shober, A. L. | Liu, Z.",conservation agriculture | conservation policy | cost-share | EQIP,10.2489/jswc.2022.00062,NA,ZT6YC,0022-4561,NA,barriers to cover crop adoption: evidence from parallel surveys in maryland and ohio
cc,WOS:000843546900001,Assessing how cover crops close the soil health gap in on-farm experiments,AGRICULTURAL & ENVIRONMENTAL LETTERS,2,7,,NA,2022,"Krupek, Fernanda Souza | Mizero, Steven Mugisha | Redfearn, Daren | Basche, Andrea",,10.1002/ael2.20088,NA,3Y2GP,NA,NA,assessing how cover crops close the soil health gap in on-farm experiments
cc,WOS:000835797500001,Cover crop management practices to promote soil health and climate adaptation: Grappling with varied success from farmer and researcher observations,JOURNAL OF ENVIRONMENTAL QUALITY,NA,NA,,AUG 3,2022,"Gutknecht, Jessica | Journey, Ann | Peterson, Hikaru | Blair, Hava | Cates, Anna",,10.1002/jeq2.20383,NA,3M9SW,0047-2425,NA,cover crop management practices to promote soil health and climate adaptation: grappling with varied success from farmer and researcher observations
cc,WOS:000736077000001,Cover crop grazing impacts on soil properties and crop yields under irrigated no-till corn-soybean management,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,1,86,118-133,JAN,2022,"Anderson, Lindsey K. | Blanco-Canqui, Humberto | Drewnoski, Mary E. | MacDonald, James C. | Carlson, Zachary | Hansen, Ben H. | Brinton, McKenna M. | Ulmer, Kristen M. | Calus, Kallie J.",,10.1002/saj2.20358,NA,YI7LX,0361-5995,NA,cover crop grazing impacts on soil properties and crop yields under irrigated no-till corn-soybean management
