"","Paper_id","Group_RV","main_group","group_metric","Group_finelevel","summary_statement2"
"1",1,"Crop Production","Stand Count","Seedling Density","mono","1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).  1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m. Average maize and soybean seedling densities were unaffected by both cereal rye and hairy vetch cover crops from 2002 to 2009."
"2",1,"Crop Production","Yields","Grain (Maize)","mono","1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).  1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m. ""Based on 8 years of crop yield measurements (4 years corn and 4 years soybean) for three tillage systems with and without cover crops, cover crops did not affect plant populations or crop yields."""
"3",1,"Crop Production","Yields","Grain (Soybean)","mono","1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).  1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m. ""Based on 8 years of crop yield measurements (4 years corn and 4 years soybean) for three tillage systems with and without cover crops, cover crops did not affect plant populations or crop yields."""
"4",1,"Soil","Chemical","Soil Carbon, 0-20 cm depth","mono","1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).  1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m. For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000."
"5",1,"Soil","Chemical","Soil Carbon, 0-75 cm depth","mono","1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).  1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m. For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000."
"6",1,"Soil","Physical","Erosion","mono","1 A split-plot latin square (3 randomizations) study with 6 replications was conducted at 1 site from 2001-2005 at Dixon Spring Agricultural Research Center, IL investigating the effects of tillage and cover crops in a maize/soybean system (Olson et al., 2010).  1 Plots received one of the following cover crop treatments: winter fallow (control), hairy vetch, cereal rye.  1 Plots were 20.25 sq m. For each tillage treatment with cover crops, there was no observable net increase in soil carbon sequestration when compared with the soil organic carbon levels for each tillage treatment without cover crops in 2000."
"7",2,"Crop Production","Crop Nitrogen Uptake","Stalk/Stover (Maize)","mono","2 A randomized complete block design study with 4 replications was conducted at 1 site from 2006-2011 in Ames, IA investigating the effects of cover crops species in a maize/soybean system (Kaspar et al., 2012).  2 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 2.5 x 10^6 seeds/ha, oat @ 3.7 x 10^6 seeds/ha. 2 Cover crops were no-till drilled between September-October and between August-September. 2 Plots were 930.25 sq m. ""Corn yields in 2006 and 2008 were much higher than in 2010, which would have resulted in greater plant demand for nitrogen and likely contributed to the low stalk nitrate values in those years."""
"8",2,"Crop Production","Yields","Grain (Maize)","mono","2 A randomized complete block design study with 4 replications was conducted at 1 site from 2006-2011 in Ames, IA investigating the effects of cover crops species in a maize/soybean system (Kaspar et al., 2012).  2 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 2.5 x 10^6 seeds/ha, oat @ 3.7 x 10^6 seeds/ha. 2 Cover crops were no-till drilled between September-October and between August-September. 2 Plots were 930.25 sq m. The effect of cover crops on maize and soybean yields was dependent on the cover crop. Rye cover crops had no effect on soybean or maize yields from 2005 to 2010 compared to winter fallow. Oat cover crops, alternatively, reduced maize and soybean yields from 2005 to 2008 compared to winter fallow. Cash crop yields were unaffected by oat cover crops in 2009 and 2010. 2 A randomized complete block design study with 4 replications was conducted at 1 site from 2006-2011 in Ames, IA investigating the effects of cover crops species in a maize/soybean system (Kaspar et al., 2012).  2 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 2.5 x 10^6 seeds/ha, oat @ 3.7 x 10^6 seeds/ha. 2 Cover crops were no-till drilled between September-October and between August-September. 2 Plots were 930.25 sq m. The effect of cover crops on maize and soybean yields was dependent on the cover crop. Rye cover crops had no affect on soybean or maize yields from 2005 to 2010 compared to winter fallow. Oat cover crops, alternatively, reduced maize and soybean yields from 2005 to 2008 compared to winter fallow. Cash crop yields were unaffected by oat cover crops in 2009 and 2010."
"9",2,"Crop Production","Yields","Grain (Soybean)","mono","2 A randomized complete block design study with 4 replications was conducted at 1 site from 2006-2011 in Ames, IA investigating the effects of cover crops species in a maize/soybean system (Kaspar et al., 2012).  2 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 2.5 x 10^6 seeds/ha, oat @ 3.7 x 10^6 seeds/ha. 2 Cover crops were no-till drilled between September-October and between August-September. 2 Plots were 930.25 sq m. The effect of cover crops on maize and soybean yields was dependent on the cover crop. Rye cover crops had no effect on soybean or maize yields from 2005 to 2010 compared to winter fallow. Oat cover crops, alternatively, reduced maize and soybean yields from 2005 to 2008 compared to winter fallow. Cash crop yields were unaffected by oat cover crops in 2009 and 2010. 2 A randomized complete block design study with 4 replications was conducted at 1 site from 2006-2011 in Ames, IA investigating the effects of cover crops species in a maize/soybean system (Kaspar et al., 2012).  2 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 2.5 x 10^6 seeds/ha, oat @ 3.7 x 10^6 seeds/ha. 2 Cover crops were no-till drilled between September-October and between August-September. 2 Plots were 930.25 sq m. The effect of cover crops on maize and soybean yields was dependent on the cover crop. Rye cover crops had no affect on soybean or maize yields from 2005 to 2010 compared to winter fallow. Oat cover crops, alternatively, reduced maize and soybean yields from 2005 to 2008 compared to winter fallow. Cash crop yields were unaffected by oat cover crops in 2009 and 2010."
"10",2,"Water","Drainage","Drainage","mono","2 A randomized complete block design study with 4 replications was conducted at 1 site from 2006-2011 in Ames, IA investigating the effects of cover crops species in a maize/soybean system (Kaspar et al., 2012).  2 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye @ 2.5 x 10^6 seeds/ha, oat @ 3.7 x 10^6 seeds/ha. 2 Cover crops were no-till drilled between September-October and between August-September. 2 Plots were 930.25 sq m. ""In all 5 years a large part of the drainage occurred in spring and early summer. There were no significant differences among treatments for annual cumulative drainage. In general, the large variability in cumulative drainage among replications within treatments made it difficult to detect treatment differences if they existed."""
"11",2,"Water","Runoff","Nitrate","mono","NA"
"12",3,"Soil","Chemical","Soil Carbon, 0-20 cm depth","mono","3 A randomized complete block design study with 3 replications was conducted at 1 site from 2012-2015 in Lexington, IL investigating the effects of cover crops species + management in a maize system (Grebliunas et al., 2016).  3 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye + oilseed radish cv. Tillage Radish. 3Cover crops were terminated with herbicide. 3 Plots were 1 sq m. ""Within three years of cover crop implementation, cereal rye, and tillage radish residues have not increased the water extractable organic content in soils relative to the other treatments. The lack of difference may be attributed to the relatively short time period that cover crops were planted within this site."""
"13",3,"Soil","Chemical","Total Nitrogen","mono","3 A randomized complete block design study with 3 replications was conducted at 1 site from 2012-2015 in Lexington, IL investigating the effects of cover crops species + management in a maize system (Grebliunas et al., 2016).  3 Plots received one of the following cover crop treatments: winter fallow (control), cereal rye + oilseed radish cv. Tillage Radish. 3Cover crops were terminated with herbicide. 3 Plots were 1 sq m. A slight decrease (not significant) in denitrification rates was observed with rye cover crop compared to winter fallow."
"14",4,"Crop Production","Yields","Grain (Maize)","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""Cash crop yields were not different between field areas [headland and non-headland] nor did the cover crop treatments affect soybean or corn production."""
"15",4,"Crop Production","Yields","Grain (Maize)","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""Cash crop yields were not different between field areas [headland and non-headland] nor did the cover crop treatments affect soybean or corn production."""
"16",4,"Crop Production","Yields","Grain (Maize)","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. ""Cash crop yields were not different between field areas [headland and non-headland] nor did the cover crop treatments affect soybean or corn production."""
"17",4,"Crop Production","Yields","Grain (Soybean)","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Maize and soybean yields were unaffected by winter cover crops compared to winter fallow in both headlands and non-headland field areas."
"18",4,"Crop Production","Yields","Grain (Soybean)","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Maize and soybean yields were unaffected by winter cover crops compared to winter fallow in both headlands and non-headland field areas."
"19",4,"Crop Production","Yields","Grain (Soybean)","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Maize and soybean yields were unaffected by winter cover crops compared to winter fallow in both headlands and non-headland field areas."
"20",4,"Pest Regulation","Weeds","Aboveground growth of weed community","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Weed biomass was reduced when forage radish was grown alone or grown with buckwheat compared to winter fallow, but this reduction was not statistically significant. When forage radish, hairy vetch, and cereal rye were mixed weed biomass decreased by more than two-thirds compared to winter fallow."
"21",4,"Pest Regulation","Weeds","Aboveground growth of weed community","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Weed biomass was reduced when forage radish was grown alone or grown with buckwheat compared to winter fallow, but this reduction was not statistically significant. When forage radish, hairy vetch, and cereal rye were mixed weed biomass decreased by more than two-thirds compared to winter fallow."
"22",4,"Pest Regulation","Weeds","Aboveground growth of weed community","mono","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. Weed biomass was reduced when forage radish was grown alone or grown with buckwheat compared to winter fallow, but this reduction was not statistically significant. When forage radish, hairy vetch, and cereal rye were mixed weed biomass decreased by more than two-thirds compared to winter fallow."
"23",4,"Pest Regulation","Weeds","Weed community (abundance of weeds)","mix_2","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. The cover crop treatments tested had no effect on weed density in either the headlands or non-headlands compared to winter fallow."
"24",4,"Pest Regulation","Weeds","Weed community (abundance of weeds)","mix_3","4 A split-plot randomized complete block design study with 2 replications was conducted at 4 sites from 2011-2013 in Cerro Gordo, IL, Malta, IL, Pana, IL investigating the effects of field area and cover crops in a maize/soybean system (Welch et al., 2016).  4 Plots received one of the following cover crop treatments: winter fallow (control), forage radish @ 12.3 kg/ha, forage radish + buckwheat @ 12.3 and 67.2 kg/ha, forage radish + hairy vetch + cereal rye @ 12.3, 16.8, and 56 kg/ha. 4Cover crops were broadcasted. 4 Plots were 36 sq m. The cover crop treatments tested had no effect on weed density in either the headlands or non-headlands compared to winter fallow."
