"Review_id","group_level1","group_level2","group_level3","unit_list","Review"
"Tillage","Other Soil Properties","Physical Properties","Compaction","MPa; kPa; penetration ratio; proctor density ratio",NA
"Tillage","Other Soil Properties","Abiotic Factors","Moisture content","cm water/cm soil; g water/100 g soil; Celcius; ; mg/kg; cm; %v/v; g water/g soil; %; g/100 g; % by weight; g/kg; theta; moisture ratio; g/g; mm; cm^3/cm^3; cm^3/cm^3/min; index; m^3/m^3; kg water/ kg soil; g H2O/ g soil",NA
"Tillage","Other Soil Properties","Physical Properties","Bulk density","Mg/m^3; Mg/M^3; Mg/ha; g/cm^3; Mg/m; g/kg; g.cm^3; g soil/cm^3; kg/m^2",NA
"Tillage","Other Soil Properties","Physical Properties","Aggregate stability","Mg/m^3; %; kg/kg; J; mm; rating; % > 0.25 mm; g/kg; g/cm^3; kPa; Mg/ha; kg C/ha",NA
"Tillage","Other Soil Properties","Physical Properties","Air-filled pore space","%; micrograms/m sq/sec; cm^3/cm^3; ; m^3/m^3; Dp/Do(x10^3)",NA
"Tillage","Other Soil Properties","Abiotic Factors","Water-filled pore space","%",NA
"Tillage","Crop Yields","Grain Yields","Soybean","kg/ha; Mg/ha; bu/acre; kg/sq m; Mg/ha/yr; kg dry grain/ha; t/ha",NA
"Tillage","Crop Yields","Grain Yields","Corn","kg/ha; Mg/ha; mg/L; bu/acre; kg/sq m; kg-N/ha; Mg/ha/yr; LSD; index; kg dry grain/ha; t/ha; kg N/ha; kg dyr matter/ha grain yield/kg total aboveground dry matter/ha; DM/ha; L/ha; ; Mg DM/ha",NA
"Tillage","Climate Mitigation","Carbon Mitigation","Soil organic carbon","g/100 g; g C/kg soil; %; kg C/ soil layer; Mt/ha; Mg C/ha in depth; mg C in fraction/kg soil; Mg/ha; Mg/m; g/kg; kg/sq m; 0/00; Cmax, kg/ha; t/ha; Mg/kg; g/kg soil; o/oo; Mg C/ha; g C/kg; kg C/ha; SOC flux; kg/ha; C/N; passive carbon/active carbon; mg C/kg; kg/m^2; g soil/cm^2; g C/ kg soil",NA
"Tillage","Soil Nutrients","N","Ammonium (NH4)","mg/kg; kg/ha; mg N/kg; mg N/kg soil",NA
"Tillage","Soil Nutrients","P & K","Phosphorus","mg/kg; mmol/kg; ppm; kg/ha; mg/L; ug/g; g/m^2",NA
"Tillage","Soil Nutrients","N","Nitrate (NO3)","mg/kg; ; kg/ha; ppm; C/N; g/kg soil; mg N/kg; g N/kg day; mg N/kg soil",NA
"Tillage","Other Soil Properties","Chemical Properties","pH","; pH; g/kg",NA
"Tillage","Other Soil Properties","Chemical Properties","CEC","meq/100 g; cmole/kg; CEC; cmol/kg; ; cmolc/kg; dS/m; Cmol/kg; microsec/cm; us/cm; uS/m; uS/cm",NA
"Tillage","Soil Nutrients","P & K","Potassium","mg/kg; mmol/kg; ppm; cmolc/kg; %; kg/ha; ug/g; g/kg; g/m^2",NA
"Tillage","Soil Nutrients","Micro-nutrients","Magnesium","mg/kg; mmol/kg; cmol/kg; cmolc/kg; %; g/kg",NA
"Tillage","Soil Nutrients","Micro-nutrients","Calcium","mg/kg; mmol/kg; cmol/kg; cmolc/kg; %; g/kg",NA
"Tillage","Other Soil Properties","Physical Properties","Surface residue coverage","%; kg/sq m",NA
"Tillage","Other Soil Properties","Physical Properties","Erosion","Mt/ha; Mg/ha; kg/m^2",NA
"Tillage","Other Soil Properties","Physical Properties","Total pore space","%; m/d; v/v; ; cm^3/cm^3; cm/h; cm/g; micrometers; m^3/m^3; mm/h^0.5; m^2/s/m^2/s; m/m",NA
"Tillage","Crop Yields","Stand Count","Corn","plants/ha; % emergence/day; # x 1000/ha; # plants/acre; plants/ha x 10^3; 10^3 plants/acre; 10^3 plants/hectare; # plants/ha x 10^3; %; ERI",NA
"Tillage","Crop Yields","Stand Count","Soybean","plants/ha; bu/acre; plants/sq m; 1000 plants/acre; %; # plants/ha x 10^3; rating of 1-5",NA
"Tillage","Other Soil Properties","Physical Properties","Aggregate size","mm; %; micro-m",NA
"Tillage","Crop Yields","Crop Growth","Soybean (height)","m; bu/acre; cm",NA
"Tillage","Crop Yields","Crop Growth","Corn (height)","m; # days; in; cm; %",NA
"Tillage","Other Soil Properties","Abiotic Factors","Temperature","degrees Celcius; Celcius; C; degrees C",NA
"Tillage","Crop Yields","Corn Nutrient Content","Stover nitrogen","g/kg; g N/kg; %; kg/ha; kg N/ha; kg N/ha/yr; Mg/ha; index; g N/plant; kg/kg; NDVI",NA
"Tillage","Crop Yields","Soybean Nutrient Content","Tissue nitrogen","g/kg",NA
"Tillage","Soil Nutrients","N","N content of soil organic matter","g C/kg soil; %; Mg/ha; C/N; C:N; g/kg; g/kg soil; g N/kg; g N/ kg soil",NA
"Tillage","Soil Nutrients","N","Total N","g C/kg soil; Mg/ha; g/kg; kg/ha; C/N; kg N/ha; t/ha; Mg/kg; g N/kg day; mg/kg; mg/g; Mg N/ha; mg N/kg soil; g N/kg; kg/m^2; ug N/cm^2/37 days; g N/ kg soil",NA
"Tillage","Soil Nutrients","N","C to N ratio","; C:N; C/N ratio; C/N of humic acid",NA
"Tillage","Other Soil Properties","Physical Properties","Clay content","cmole/kg; g/kg; %",NA
"Tillage","Other Soil Properties","Physical Properties","Soil organic matter content","delta 13-C; mg C in fraction/kg soil; %; g/kg; Mg/ha; g/kg soil; mg/kg; Mg N/ha; Mg C/ha; g soil/cm^2; g C/ kg soil",NA
"Tillage","Other Soil Properties","Abiotic Factors","Water infiltration","cm/hr; minutes; mm; mm/h; cm/h; cm h^-0.5; cm; s; cm/min; cm/h^1/2",NA
"Tillage","Pests","Invertebrate Pests","Corn borer (#)","# larvae/100 plants; # larvae/injured plant; # larvae/10 plants; #/100 plants; %",NA
"Tillage","Crop Yields","Crop Damage","Corn (stand count)","#; %",NA
"Tillage","Pests","Weeds","Amaranthus (#)","#/m^2; ranking scale (1 = low cover, 2 = 5-25% cover, 3 = 25-50% cover, 4 = 50-75%; # seeds/sq m; plants/m^2",NA
"Tillage","Pests","Weeds","Fall Panicum (#)","#/m^2; ranking scale (1 = low cover, 2 = 5-25% cover, 3 = 25-50% cover, 4 = 50-75%",NA
"Tillage","Pests","Weeds","Velvetleaf (#)","#/m^2",NA
"Tillage","Pests","Weeds","Lambsquarters (#)","#/m^2; ranking scale (1 = low cover, 2 = 5-25% cover, 3 = 25-50% cover, 4 = 50-75%; # seeds/sq m",NA
"Tillage","Pests","Weeds","Weed community (diversity)","D; H; # of species",NA
"Tillage","Pests","Weeds","Weed community (#)","%; #/m^2; # weeds/ sq m; # seeds/sq m; # weeds/m^2",NA
"Tillage","Pests","Pathogens","Corn infections","%; % of leaf discs colonized; % occurrence; # (arcsine); % fields with P. sojae; % fields with BSR",NA
"Tillage","Crop Yields","Crop Growth","Corn stover (biomass)","Mg/ha; Mg/ha/yr; DM/ha; Mg DM/ha",NA
"Tillage","Crop Yields","Corn Nutrient Content","Grain nitrogen","g N/kg; kg/ha; Mg/ha",NA
"Tillage","Crop Yields","Crop Damage","Invertebrate damage","# damaged plants/20 plants; # damaged plants/ row meter; root damage scale (0=low, 5 = high)",NA
"Tillage","Pests","Invertebrate Pests","Corn rootworm (#)","# beetles/plant",NA
"Tillage","Pests","Pest Natural Enemies","Natural enemy (activity)","%",NA
"Tillage","Pests","Pest Natural Enemies","Natural enemy (#)","#/100 plants; #; # insects/50 sweps; #/sq m; #/sample",NA
"Tillage","Crop Yields","Crop Growth","Corn root (biomass)","cm/cm^3; Mg/ha/yr; mm; m/g; g/m^2/0.25m",NA
"Tillage","Crop Yields","Grain Quality","Corn","%; Mg/ha; g/kg; in",NA
"Tillage","Water Quality","Nutrient Runoff","Nitrate","kg/ha; mg/L; kg-N/ha; kg N/ha; mg/kg",NA
"Tillage","Pests","Weeds","Broadleafs","ranking scale (1 = low cover, 2 = 5-25% cover, 3 = 25-50% cover, 4 = 50-75%; # weeds/ sq m; # seeds/sq m",NA
"Tillage","Pests","Invertebrate Pests","General pests (#)","#; # insects/50 sweps",NA
"Tillage","Water Quality","Flow Quantity","Water","mm; cm of water; m^3; s",NA
"Tillage","Pests","Non-Predators & Pests","Earthworms (#)","# worms/m^2",NA
"Tillage","Water Quality","Sediment Runoff","Sediment Runoff","t/ha; ppm x 10^3; g/L; mg/L",NA
"Tillage","Other Soil Properties","Biotic Factors","Respiration","kg C/ha/day; g CO2-C/sq m/day; mg/kg/d; ug/mg/d; mg CO2-C/kg/d",NA
"Tillage","Other Soil Properties","Biotic Factors","Microbial biomass","kg/ha; microgram/g dry soil; g/100 g; ug/mg/d; mg/kg; kg C/ha; ug/g; ug/g soil",NA
"Tillage","Pests","Invertebrate Pests","Seedcorn maggot (#)","#; # insects/50 sweps",NA
