"review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","cc_group1","cc_group2","per_change","actual_diff"
"Cover crop",1,"2001-8",1,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",2,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",3,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",4,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",5,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",6,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",7,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",8,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,2,NA,30.1,1,2,NA,24.3,"ns",0,"mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops",-19.2691029900332,-5.8
"Cover crop",1,"2001-8",1,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
"Cover crop",1,"2001-8",2,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
"Cover crop",1,"2001-8",3,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
"Cover crop",1,"2001-8",4,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
"Cover crop",1,"2001-8",5,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
"Cover crop",1,"2001-8",6,0,"Other Soil Properties","Physical Properties","Erosion","soil loss","",NA,"Mt/ha/yr","LSD","mean",0,3,NA,22.4,1,3,NA,28.6,"ns",0,"mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops",27.6785714285714,6.2
