"","main_group","group_metric","Cover_crop_diversity2","mean_per_change","sem_per_change","num_papers","num_comparisons"
"1","Biological","Microbial Biomass","Monoculture",21.1411148462315,24.7964944199071,3,9
"2","Biological","Microbial Biomass","Mixture (2 Spp.)",114.320728291317,95.203081232493,1,2
"3","Chemical","Ammonium (Preplant)","Monoculture",17.2302546230062,11.3095665297859,6,23
"4","Chemical","Ammonium (Preplant)","Mixture (2 Spp.)",17.5164175164175,9.70085923468873,1,6
"5","Chemical","Ammonium (Preplant)","Mixture (3+ Spp.)",0.608737431842124,7.00496651014805,1,6
"6","Chemical","Nitrate (Maize)","Monoculture",-1.62932164765201,7.5406836511723,4,19
"7","Chemical","Nitrate (Maize)","Mixture (2 Spp.)",-60.4819986726793,8.12294807995757,1,4
"8","Chemical","Nitrate (Post Harvest)","Monoculture",10.7585886409081,10.9270752618509,2,13
"9","Chemical","Nitrate (Preplant)","Monoculture",-14.7906441446098,4.39613074170553,12,53
"10","Chemical","Nitrate (Preplant)","Mixture (2 Spp.)",-13.651686866452,11.9334532855394,2,10
"11","Chemical","Nitrate (Preplant)","Mixture (3+ Spp.)",0.591920157137547,7.00493230347203,1,6
"12","Chemical","Nitrate (Soybean)","Monoculture",-5.32049868128098,13.1227810226824,1,3
"13","Chemical","pH","Monoculture",-0.299367151545718,0.282463797580893,3,17
"14","Chemical","pH","Mixture (2 Spp.)",0.252525252525254,0.252525252525254,1,6
"15","Chemical","pH","Mixture (3+ Spp.)",-0.528260546642898,0.646776201397225,1,6
"16","Chemical","Phosphorous","Monoculture",-1.74842264346404,1.80528573685291,5,23
"17","Chemical","Phosphorous","Mixture (2 Spp.)",7.08719396407972,2.92986642214378,2,10
"18","Chemical","Phosphorous","Mixture (3+ Spp.)",-5.51886527040085,2.97365330443654,1,6
"19","Chemical","Postassium","Monoculture",-0.865889306943771,0.683042465673059,2,12
"20","Chemical","Soil Carbon, 0-20 cm depth","Monoculture",-5.11431198741982,3.32640680104439,8,37
"21","Chemical","Soil Carbon, 0-20 cm depth","Mixture (2 Spp.)",1.54241645244217,NA,1,1
"22","Chemical","Soil Carbon, 0-75 cm depth","Monoculture",5.93525661863109,10.9829330233855,6,23
"23","Chemical","Soil Carbon, 0-75 cm depth","Mixture (2 Spp.)",-2.6656828731048,4.03783170480476,2,10
"24","Chemical","Soil Carbon, 0-75 cm depth","Mixture (3+ Spp.)",-1.31860027676271,0.593608663159299,1,6
"25","Chemical","Soil Carbon, 20-60 cm depth","Monoculture",NA,NA,1,2
"26","Chemical","Soil Organic Matter","Monoculture",7.01844969395577,1.3061002317336,6,35
"27","Chemical","Soil Organic Matter","Mixture (2 Spp.)",23.6933797909408,NA,1,1
"28","Chemical","Total Nitrogen","Monoculture",9.29065548550236,7.19961116163128,10,47
"29","Chemical","Total Nitrogen","Mixture (2 Spp.)",-24.2440354991544,10.531834016671,2,8
"30","Environmental","Carbon Dioxide Emissions","Monoculture",8.16614802920578,2.38445052343602,1,6
"31","Environmental","Nitrous Oxide Emissions","Monoculture",12.8193811815574,14.654856597589,3,20
"32","Environmental","Nitrous Oxide Emissions","Mixture (2 Spp.)",7.09065275216884,20.5448076758169,1,8
"33","Environmental","Soil Temperature","Monoculture",0.298236486285728,0.688602599211558,1,6
"34","Physical","Compaction","Monoculture",2.27072785927908,0.667181920028049,3,18
"35","Physical","Compaction","Mixture (2 Spp.)",6.60639651966181,2.20348044903915,2,9
"36","Physical","Compaction","Mixture (3+ Spp.)",4.79183532327715,3.70123429390553,1,6
"37","Physical","Erosion","Monoculture",-46.4950543939957,5.67319862333853,3,21
"38","Physical","Soil Aggregates","Monoculture",4.24370365432534,3.16264666370462,7,44
"39","Physical","Soil Aggregates","Mixture (2 Spp.)",1.33524391603709,0.513318380223401,2,10
"40","Physical","Soil Aggregates","Mixture (3+ Spp.)",-0.459943297039105,0.873749009222357,1,6
"41","Physical","Soil Bulk Density","Monoculture",-0.280285131651172,0.403545015753199,8,38
"42","Physical","Soil Bulk Density","Mixture (2 Spp.)",0.0567356358485166,0.394527363767688,2,7
"43","Physical","Soil Bulk Density","Mixture (3+ Spp.)",0.26246719160105,0.26246719160105,1,6
"44","Physical","Soil Pores","Monoculture",3.13851542261393,2.20128147241686,1,12
"45","Physical","Soil Texture","Monoculture",0.292708487379681,1.45417374089814,1,12
"46","Physical","Soil Water Content","Monoculture",1.5347559323909,0.922622929133902,7,90
