"","main_group","group_metric","Cover_crop_diversity2","mean_per_change","sem_per_change","num_papers","num_comparisons"
"1","Crop Nitrogen Uptake","Grain (Maize)","Monoculture",-13.3005180707488,3.58949765986292,4,16
"2","Crop Nitrogen Uptake","Grain (Soybean)","Monoculture",-18.1286549707602,NA,1,1
"3","Crop Nitrogen Uptake","Stalk/Stover (Maize)","Monoculture",-9.00142153590654,3.69485179762036,6,16
"4","Stand Count","Seedling Density","Monoculture",6.49977199123263,5.32273615972109,5,78
"5","Stand Count","Seedling Density","Mixture (2 Spp.)",-8.9642820866718,4.55722147210507,1,4
"6","Yields","Grain (Maize)","Monoculture",0.0360826352488511,1.70948039333034,25,174
"7","Yields","Grain (Maize)","Mixture (2 Spp.)",-3.54200833207938,1.54087557271806,4,12
"8","Yields","Grain (Maize)","Mixture (3+ Spp.)",-1.46407637892403,1.359623853809,1,6
"9","Yields","Grain (Soybean)","Monoculture",-0.894667907036326,2.64098131715919,19,110
"10","Yields","Grain (Soybean)","Mixture (2 Spp.)",-1.40889909094261,1.208181924781,5,13
"11","Yields","Grain (Soybean)","Mixture (3+ Spp.)",-4.84503605787791,4.96517498671153,1,6
"12","Yields","Root biomass","Monoculture",4.03691735213474,24.2742840296696,1,4
"13","Yields","Stover Biomass","Monoculture",-5.48074650083216,3.76161341664138,6,19
"14","Yields","Stover Biomass","Mixture (2 Spp.)",-7.63041494942876,3.72121455704682,2,4
