Res_key,Review_id,Paper_id,Duration,Loc_multi_results,Response_var,RV_trtspecifics,RV_depth,RV_year,Response_var_units,Stat_test,Stat_type,Trt1,Trt1_int,Trt1_int2,Trt1_value,Trt2,Trt2_int,Trt2_int2,Trt2_value,significance,finelevel_group,Trt1_name,Trt1_details,Trt2_name,Trt2_details,Tillage_1,Tillage_2,group_level1,group_level2,group_level3,per_change,actual_diff,sample_depth,sample_year,nutrient_groups,Trt_1name,Trt_2name,Trt_compare,Review
Res_key,,Paper_id,Duration,Loc_multi_results,Response_var,RV_trtspecifics,RV_depth,RV_year,Response_var_units,Stat_test,Stat_type,Trt1,Trt1_int,Trt1_int2,Trt1_value,Trt2,Trt2_int,Trt2_int2,Trt2_value,significance,finelevel_group,Trt1_name,Trt1_details,Trt2_name,Trt2_details,,,group_level1,group_level2,group_level3,per_change,actual_diff,sample_depth,,nutrient_groups,trt_1name,trt_2name,,Review
1,,120,2008-2,1,stalk nitrate,,,1,mg/kg,LSD,mean,0,2,NA,4190,1,2,,5684,0.011,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,35.65632458,1494,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
2,,120,2008-2,1,stalk nitrate,,,1,mg/kg,LSD,mean,0,3,NA,3514,1,3,,4784,0.011,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,36.14114969,1270,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
3,,120,2008-2,2,stalk nitrate,,,2,mg/kg,LSD,mean,0,2,NA,1151,1,2,,2198,ns,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,90.9643788,1047,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
4,,120,2008-2,2,stalk nitrate,,,2,mg/kg,LSD,mean,0,3,NA,1501,1,3,,1410,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-6.062624917,-91,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
5,,120,2008-2,3,stalk nitrate,,,2,mg/kg,LSD,mean,0,2,NA,2984,1,2,,2869,ns,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,-3.853887399,-115,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
6,,120,2008-2,3,stalk nitrate,,,2,mg/kg,LSD,mean,0,3,NA,2293,1,3,,2672,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Crop Nutrient Content,Corn nitrogen content of aboveground biomass,16.5285652,379,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
7,,120,2008-2,1,maize grain yield,,,1,Mg/kg,LSD,mean,0,2,NA,15.56,1,2,,15.94,ns,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Grain Yields,Corn,2.442159383,0.38,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
8,,120,2008-2,1,maize grain yield,,,1,Mg/kg,LSD,mean,0,3,NA,15.35,1,3,,15.59,ns,broad_band,"broadcast, UAN",broadcasted fertilizer (UAN),"banded, UAN",banned fertilizer (UAN),,,Crop Yields,Grain Yields,Corn,1.563517915,0.24,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
9,,120,2008-2,2,maize grain yield,,,2,Mg/kg,LSD,mean,0,2,NA,13.54,1,2,,13.67,ns,broad_band,"broadcast, UAN + Nitamin-Nfusion",broadcasted fertilizer (UAN mixed with Nitamin-Nfusion),"banded, UAN + Nitamin-Nfusion",banned fertilizer (UAN mixed with Nitamin-Nfusion),,,Crop Yields,Grain Yields,Corn,0.960118168,0.13,NA,,Fertilizer Placement,Broadcast,Banded,,Nutrient Management
