"Review_id","main_group","group_metric","Legend_1","mean_per_change1","sem_per_change1","num_papers1","num_comparisons1","paper_id_list1","Group_RV","Review","Review2"
"Nutrient","Chemical","Ammonium (harvest) ","Preplanting / Planting & Early Season",4.46428571428571,0,1,2,"136","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Ammonium (midseason)","Planting / Planting & Early Season",9.81012658227846,2.00976359528034,1,4,"132","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Ammonium (preplanting) ","Planting / Planting & Early Season",-17.0588235294118,1.69808902702832,1,4,"132","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Nitrate (harvest)","Planting / Planting & Early Season",18.6429576116606,9.62811556420269,1,8,"133","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Nitrate (harvest)","Preplanting / Planting & Early Season",-1.30718954248366,5.60340790832753,2,5,"136,144","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Nitrate (harvest)","Preplanting / Planting & Mid Season",43.1372549019608,0,1,3,"144","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Nitrate (midseason)","Planting / Planting & Early Season",0.751427195818152,0.960644459247072,1,8,"132","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Nitrate (preplanting)","Planting / Planting & Early Season",-2.1585625901928,6.27886281659748,2,12,"132,133","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Total Nitrogen (0-60+ cm) ","Preplanting / Planting & Early Season",-6.79245283018868,0,1,2,"136","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Environmental","Nitrous oxide emissions","Preplanting / Planting & Early Season",-24.4035863346649,1.98471488153117,1,6,"136","Soil","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (maize)","Preplanting / Planting & Early Season",-1.09983382597175,3.98506994780705,2,10,"136,144","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (maize)","Preplanting / Planting & Mid Season",-0.66946002142272,2.19436448551189,1,6,"144","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Crop Nitrogen Uptake","Grain (maize)","Preplanting / Planting & Early Season",18.5163996948894,15.2484767892378,1,4,"136","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Stand Count","Stand count (maize)","Preplanting / Planting & Early Season",1.88679245283019,0,1,3,"144","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Stand Count","Stand count (maize)","Preplanting / Planting & Mid Season",1.50943396226415,0,1,3,"144","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Yields","Aboveground biomass (maize)","Preplanting / Planting & Early Season",1.19047619047619,0,1,2,"136","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Yields","Grain (maize)","Planting / Planting & Early Season",0.837700091259088,3.4605712028669,1,8,"133","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Yields","Grain (maize)","Preplanting / Planting & Early Season",-0.737799859963169,0.872265746701183,3,42,"136,140,144","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Yields","Grain (maize)","Preplanting / Planting & Mid Season",3.68378128033547,4.99825404936835,2,11,"144,145","Crop Production","Fertilizer","Fertilizer Application (Split)"
"Nutrient","Chemical","Nitrate (harvest)","Variable Rate Application",-7.20280956244692,2.04530701873052,2,40,"127,143","Soil","Fertilizer","Fertilizer Application (Variable Rate)"
"Nutrient","Crop Nitrogen Uptake","Nitrogen use efficiency","Variable Rate Application",-4.21044166215647,7.93745007311741,2,28,"121,135","Crop Production","Fertilizer","Fertilizer Application (Variable Rate)"
"Nutrient","Yields","Grain (maize)","Variable Rate Application",0.399278656943616,0.697852805043463,6,80,"121,127,131,134,135,143","Crop Production","Fertilizer","Fertilizer Application (Variable Rate)"
"Nutrient","Yields","Grain (soybean)","Variable Rate Application",-0.470481973574045,1.2970498160756,2,13,"131,134","Crop Production","Fertilizer","Fertilizer Application (Variable Rate)"
"Nutrient","Chemical","Nitrate (harvest)","In-Row",28.4355728178368,8.73457834480892,2,8,"120,144","Soil","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Chemical","Nitrate (harvest)","Interrow",-1.96078431372549,0,1,3,"144","Soil","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (maize)","In-Row",15.3843952330021,5.13644532154047,2,18,"120,144","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (maize)","Interrow",5.4864217755655,0.957348743438416,1,6,"144","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (soybean)","Interrow",0.018940158930861,0.493667601922125,1,16,"126","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Crop Nitrogen Uptake","Grain (maize)","In-Row",1.58942647119046,1.4297046593205,1,6,"120","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Crop Nitrogen Uptake","Grain (soybean)","Interrow",0.686012320692889,0.340139194334209,1,16,"126","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Stand Count","Stand count (maize)","In-Row",0,0.675039389433898,1,6,"144","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Stand Count","Stand count (maize)","Interrow",2.26415094339623,0,1,3,"144","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Yields","Aboveground biomass (soybean)","Interrow",1.64869722867506,0.934082343322401,1,8,"126","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Yields","Grain (maize)","In-Row",6.32472751421834,1.41829223459112,3,36,"120,142,144","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Yields","Grain (maize)","Interrow",5.14556533513881,0,1,3,"144","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Yields","Grain (soybean)","Interrow",-0.352856484242276,0.126161334671612,1,8,"126","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Yields","Grain quality (soybean)","Interrow",-0.0592737594159087,0.0563913901344691,1,24,"126","Crop Production","Fertilizer","Fertilizer Placement (Banding)"
"Nutrient","Chemical","Ammonium (harvest) ","Injection",-31.25,18.75,1,2,"139","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Chemical","Ammonium (harvest) ","Knife",7.84313725490196,4.15088428829143,1,4,"125","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Chemical","Nitrate (harvest)","Injection",2.45398773006136,6.13496932515337,1,2,"139","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Chemical","Nitrate (harvest)","Knife",1.15384615384615,6.88379167110709,1,4,"125","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Chemical","Total Nitrogen (0-60+ cm) ","Injection",0.319237906071143,6.30657891409274,1,4,"139","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Chemical","Total Nitrogen (0-60+ cm) ","Knife",4.59363957597172,5.71229948314823,1,4,"125","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Environmental","Nitric oxide emissions","Knife",-58.5714285714285,4.12393049421161,1,4,"125","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Environmental","Nitrous oxide emissions","Knife",104.396495440281,31.7522745105886,1,12,"125","Soil","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Crop Nitrogen Uptake","Aboveground biomass (maize)","Knife",-1.08748778103616,2.70838823365125,1,8,"125","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Crop Nitrogen Uptake","Grain (maize)","Injection",3.54261909494468,2.00609175889543,1,6,"139","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Crop Nitrogen Uptake","Grain (maize)","Knife",0.813868854628465,2.02370948059109,1,8,"125","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Crop Nitrogen Uptake","Nitrogen use efficiency","Knife",2.27272727272728,5.71424386661287,1,4,"125","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
"Nutrient","Stand Count","Stand count (maize)","Injection",-11.3852294753441,1.56559019678699,1,2,"130","Crop Production","Fertilizer","Fertilizer Placement (Subsurface)"
