"Res_key","Paper_id","Duration","Loc_multi_results","Response_var","RV_depth","RV_year","Response_var_units","Stat_test","Stat_type","Trt1","Trt1_int","Trt1_int2","Trt1_value","Trt2","Trt2_int","Trt2_int2","Trt2_value","significance","finelevel_group","Trt_1name","Trt1_details","Trt_2name","Trt2_details","group_level1","group_level2","group_level3","pm_group1","pm_group2","Review","per_change","actual_diff"
925,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,1,"%","LSD","mean",0,NA,NA,4.9,2,NA,NA,5.4,"ns","untreated_seedF","untreated","untreated soybean","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",10.2040816326531,0.5
934,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,2,"%","LSD","mean",0,5,NA,3.8,2,5,NA,4.9,"ns","untreated_seedF","untreated","untreated soybean, fumigated soil","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment, fumigated soil","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",28.9473684210526,1.1
935,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,2,"%","LSD","mean",0,4,NA,2.9,2,4,NA,6.1,"0.05","untreated_seedF","untreated","untreated soybean, nonfumigated soil","fludioxonil","soybean with fludioxonil (0.07 g a.i. kg/seed) seed treatment, non-fumigated soil","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",110.344827586207,3.2
1122,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,1,"%","LSD","mean",0,NA,NA,4.9,1,NA,NA,5.9,"ns","untreated_seedF","untreated","untreated soybean","mefenoxam","soybean with mefenoxam (0.05 g a.i. kg/seed) seed treatment","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",20.4081632653061,1
1131,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,2,"%","LSD","mean",0,5,NA,3.8,1,5,NA,1.2,"0.05","untreated_seedF","untreated","untreated soybean, fumigated soil","mefenoxam","soybean with mefenoxam (0.05 g a.i. kg/seed) seed treatment, fumigated soil","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",-68.4210526315789,-2.6
1132,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,2,"%","LSD","mean",0,4,NA,2.9,1,4,NA,1.1,"ns","untreated_seedF","untreated","untreated soybean, nonfumigated soil","mefenoxam","soybean with mefenoxam (0.05 g a.i. kg/seed) seed treatment, non-fumigated soil","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",-62.0689655172414,-1.8
1183,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,1,"%","LSD","mean",0,NA,NA,4.9,3,NA,NA,5.9,"ns","untreated_seedF","untreated","untreated soybean","mefenoxam; fludioxonil","soybean with fludioxonil (0.037 g a.i. kg/seed) and mefenoxam (0.025 g a.i. kg/seed) seed treatment","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",20.4081632653061,1
1192,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,2,"%","LSD","mean",0,5,NA,3.8,3,5,NA,1.4,"ns","untreated_seedF","untreated","untreated soybean, fumigated soil","mefenoxam; fludioxonil","soybean with fludioxonil (0.037 g a.i. kg/seed) and mefenoxam (0.025 g a.i. kg/seed) seed treatment, fumigated soil","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",-63.1578947368421,-2.4
1193,90,"2004-2",0,"soybean root mycorrhizal colonization (arbuscular mycorrhizae)",NA,2,"%","LSD","mean",0,4,NA,2.9,3,4,NA,5.6,"0.05","untreated_seedF","untreated","untreated soybean, nonfumigated soil","mefenoxam; fludioxonil","soybean with fludioxonil (0.037 g a.i. kg/seed) and mefenoxam (0.025 g a.i. kg/seed) seed treatment, non-fumigated soil","Other Soil Properties","Biotic Factors","Soybean root mycorrhizal colonization","Fungicide","Seed","Early Season Pest Management",93.1034482758621,2.7
585,74,"1989-2",0,"maize plant death due to black cutworms",NA,1,"#","Fisher's LSD","mean",0,NA,NA,23.6,12,NA,NA,25,"ns","untreated_bandI","untreated","untreated maize seed","bifenthrin (Capture 2EC)","banded insecticide, bifenthrin (44.8 g ai/ha, Capture 2EC)","Crop Yields","Crop Damage","Invertebrate damage in corn","Pyrethroid (Insecticide)","Soil","Early Season Pest Management",5.9322033898305,1.4
