"","Review_id","main_group","group_metric","Legend_1","mean_per_change1","sem_per_change1","num_papers1","num_comparisons1","Legend_2","mean_per_change2","sem_per_change2","num_papers2","num_comparisons2","Legend_3","mean_per_change3","sem_per_change3","num_papers3","num_comparisons3","Group_RV","Review"
"1","Seed Protection","Biological","Root Mycorrhizal Colonization (Arbuscular)","Seed",30.5555555555555,30.8383379321868,1,9,"Fungicide",30.5555555555555,30.8383379321868,1,9,NA,30.5555555555555,30.8383379321868,1,9,"Soil","Early Season Pest Management"
"2","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Foliage",-24.1176470588235,7.16021946529813,1,17,"Insecticide",-24.1176470588235,7.16021946529813,1,17,NA,-24.1176470588235,7.16021946529813,1,17,"Pest Regulation","Early Season Pest Management"
"3","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Seed",-22.0833333333333,11.7672113053502,1,8,"Insecticide",-22.0833333333333,11.7672113053502,1,8,NA,-22.0833333333333,11.7672113053502,1,8,"Pest Regulation","Early Season Pest Management"
"4","Seed Protection","Invertebrates","Bean Leaf Beetles (#)","Seed & Foliage",-33.3333333333333,10,1,7,"Insecticide",-33.3333333333333,10,1,7,NA,-33.3333333333333,10,1,7,"Pest Regulation","Early Season Pest Management"
"5","Seed Protection","Invertebrates","Natural Enemies (#)","Seed",10.2805621632466,11.7429008081105,1,8,"Insecticide",10.2805621632466,11.7429008081105,1,8,NA,10.2805621632466,11.7429008081105,1,8,"Pest Regulation","Early Season Pest Management"
"6","Seed Protection","Invertebrates","Northern Corn Rootworm (#)","Soil",60.2163580304497,69.8096968962674,1,12,"Insecticide",60.2163580304497,69.8096968962674,1,12,"Broadcast",60.2163580304497,69.8096968962674,1,12,"Pest Regulation","Early Season Pest Management"
"7","Seed Protection","Invertebrates","Seed Corn Maggot (#)","Seed",-52.6315789473684,6.44602563890309,1,4,"Insecticide",-52.6315789473684,6.44602563890309,1,4,NA,-52.6315789473684,6.44602563890309,1,4,"Pest Regulation","Early Season Pest Management"
"8","Seed Protection","Invertebrates","Seed Corn Maggot (#)","Soil",-73.6842105263158,7.74715865467355,1,4,"Insecticide",-73.6842105263158,7.74715865467355,1,4,"In-Row",-73.6842105263158,7.74715865467355,1,4,"Pest Regulation","Early Season Pest Management"
"9","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Foliage",-61.7888748419722,12.8002528445006,1,2,"Insecticide",-48.9886219974716,NA,1,1,NA,-48.9886219974716,NA,1,1,"Pest Regulation","Early Season Pest Management"
"10","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Foliage",-61.7888748419722,12.8002528445006,1,2,"Insecticide-Fungicide",-74.5891276864728,NA,1,1,NA,-74.5891276864728,NA,1,1,"Pest Regulation","Early Season Pest Management"
"11","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Seed",-50.1111128463059,14.3186328034952,3,4,"Insecticide",-43.4056304448849,17.891883697675,2,3,NA,-43.4056304448849,17.891883697675,2,3,"Pest Regulation","Early Season Pest Management"
"12","Seed Protection","Invertebrates","Soybean Aphids (Cumulative Aphid Days)","Seed",-50.1111128463059,14.3186328034952,3,4,"Insecticide-Fungicide",-70.2275600505689,NA,1,1,NA,-70.2275600505689,NA,1,1,"Pest Regulation","Early Season Pest Management"
"13","Seed Protection","Invertebrates","Western Corn Rootworm (#)","Soil",-49.7661962195717,5.60603840942357,1,54,"Insecticide",-49.7661962195717,5.60603840942357,1,54,"Broadcast",-49.7661962195717,5.60603840942357,1,54,"Pest Regulation","Early Season Pest Management"
"14","Seed Protection","Invertebrates","Western Corn Rootworm (Mean Emergence Date)","Soil",1.14888175623487,0.423957479964037,1,3,"Insecticide",1.14888175623487,0.423957479964037,1,3,"Broadcast",1.14888175623487,0.423957479964037,1,3,"Pest Regulation","Early Season Pest Management"
"15","Seed Protection","Pathogens","Bean Pod Mottle Virus Infections (Soybean)","Foliage",0.455821863629174,2.07994277011132,2,14,"Insecticide",0.455821863629174,2.07994277011132,2,14,NA,0.455821863629174,2.07994277011132,2,14,"Pest Regulation","Early Season Pest Management"
"16","Seed Protection","Pathogens","Bean Pod Mottle Virus Infections (Soybean)","Seed",-13.2405869324474,5.62903159433349,2,5,"Insecticide",-13.2405869324474,5.62903159433349,2,5,NA,-13.2405869324474,5.62903159433349,2,5,"Pest Regulation","Early Season Pest Management"
"17","Seed Protection","Pathogens","Bean Pod Mottle Virus Infections (Soybean)","Seed & Foliage",-3.35455887781469,1.64842900162196,2,6,"Insecticide",-3.35455887781469,1.64842900162196,2,6,NA,-3.35455887781469,1.64842900162196,2,6,"Pest Regulation","Early Season Pest Management"
"18","Seed Protection","Pathogens","Fusarium spp. Soil Forming Colonies (Soybean)","Seed",-5.22443455212536,7.91932559645163,1,8,"Fungicide-Biologic",-5.22443455212536,7.91932559645163,1,8,NA,-5.22443455212536,7.91932559645163,1,8,"Pest Regulation","Early Season Pest Management"
"19","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Maize)","Seed",-70.2334146960183,1.81977640265522,2,102,"Insecticide",-75.2834295334295,1.13194438098047,1,84,NA,-75.2834295334295,1.13194438098047,1,84,"Pest Regulation","Early Season Pest Management"
"20","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Maize)","Seed",-70.2334146960183,1.81977640265522,2,102,"Insecticide-Fungicide",-46.6666787880992,6.5288422484131,1,18,NA,-46.6666787880992,6.5288422484131,1,18,"Pest Regulation","Early Season Pest Management"
"21","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Maize)","Soil",-82.6086956521739,NA,1,1,"Insecticide",-82.6086956521739,NA,1,1,"In-Row",-82.6086956521739,NA,1,1,"Pest Regulation","Early Season Pest Management"
"22","Seed Protection","Pathogens","Pathogenic Injury to Leaf Tissue (Soybean)","Seed",-25,0,1,2,"Fungicide-Biologic",-25,0,1,2,NA,-25,0,1,2,"Pest Regulation","Early Season Pest Management"
"23","Seed Protection","Pathogens","Pathogenic Root Injury (Maize)","Seed",-7.89473684210526,5.50646709839144,3,38,"Insecticide",-11.1111111111111,7.62215933966706,1,18,NA,-11.1111111111111,7.62215933966706,1,18,"Pest Regulation","Early Season Pest Management"
"24","Seed Protection","Pathogens","Pathogenic Root Injury (Maize)","Seed",-7.89473684210526,5.50646709839144,3,38,"Insecticide-Fungicide",-5,8.02955068546966,2,20,NA,-5,8.02955068546966,2,20,"Pest Regulation","Early Season Pest Management"
"25",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,"Pest Regulation","Early Season Pest Management"
"26","Seed Protection","Crop Growth","Damage to Plant due to Black Cutworms (Maize)","Soil",-65.0961791831357,5.23123155969236,1,33,"Insecticide",-65.0961791831357,5.23123155969236,1,33,"Broadcast",-100,0,1,2,"Crop Production","Early Season Pest Management"
"27","Seed Protection","Crop Growth","Damage to Plant due to Black Cutworms (Maize)","Soil",-65.0961791831357,5.23123155969236,1,33,"Insecticide",-65.0961791831357,5.23123155969236,1,33,"In-Furrow",-58.5652173913044,16.3432579186368,1,4,"Crop Production","Early Season Pest Management"
"28","Seed Protection","Crop Growth","Damage to Plant due to Black Cutworms (Maize)","Soil",-65.0961791831357,5.23123155969236,1,33,"Insecticide",-65.0961791831357,5.23123155969236,1,33,"In-Row",-63.4782608695652,5.7258347016771,1,27,"Crop Production","Early Season Pest Management"
"29","Seed Protection","Crop Growth","Plant Height (Maize)","Seed",-1.72413793103449,3.05193518329926,1,6,"Fungicide",-1.72413793103449,3.05193518329926,1,6,NA,-1.72413793103449,3.05193518329926,1,6,"Crop Production","Early Season Pest Management"
"30","Seed Protection","Crop Growth","Plant Height (Soybean)","Seed",2.7027027027027,2.7027027027027,2,5,"Fungicide",0,0,1,3,NA,0,0,1,3,"Crop Production","Early Season Pest Management"
"31","Seed Protection","Crop Growth","Plant Height (Soybean)","Seed",2.7027027027027,2.7027027027027,2,5,"Fungicide-Biologic",6.75675675675675,6.75675675675675,1,2,NA,6.75675675675675,6.75675675675675,1,2,"Crop Production","Early Season Pest Management"
"32","Seed Protection","Crop Growth","Reduction in Vigor (Maize)","Soil",96.60037834373,23.4601732542151,1,103,"Insecticide",96.60037834373,23.4601732542151,1,103,"In-Furrow",154.59133576843,44.734094008646,1,41,"Crop Production","Early Season Pest Management"
"33","Seed Protection","Crop Growth","Reduction in Vigor (Maize)","Soil",96.60037834373,23.4601732542151,1,103,"Insecticide",96.60037834373,23.4601732542151,1,103,"In-Row",58.2515194015895,24.5065572271849,1,62,"Crop Production","Early Season Pest Management"
"34","Seed Protection","Crop Growth","Soybean Growth (including photosynthetic capacity and leaf area index)","Seed",4.01880127634137,2.60601110435608,2,18,"Fungicide-Biologic",11.3526570048309,7.1824880841529,1,6,NA,11.3526570048309,7.1824880841529,1,6,"Crop Production","Early Season Pest Management"
"35","Seed Protection","Crop Growth","Soybean Growth (including photosynthetic capacity and leaf area index)","Seed",4.01880127634137,2.60601110435608,2,18,"Insecticide",0.0311819402015938,0.757409232687384,1,9,NA,0.0311819402015938,0.757409232687384,1,9,"Crop Production","Early Season Pest Management"
"36","Seed Protection","Crop Growth","Soybean Growth (including photosynthetic capacity and leaf area index)","Seed",4.01880127634137,2.60601110435608,2,18,"Insecticide-Fungicide",1.31394782778162,0.485869779826247,1,3,NA,1.31394782778162,0.485869779826247,1,3,"Crop Production","Early Season Pest Management"
"37","Seed Protection","Crop Growth","Soybean Seedling Development","Foliage",-1.24691358024691,0.815546457552679,1,15,"Insecticide",-1.24691358024691,0.815546457552679,1,15,NA,-1.24691358024691,0.815546457552679,1,15,"Crop Production","Early Season Pest Management"
"38","Seed Protection","Crop Growth","Soybean Seedling Development","Seed",-66.7932615629984,14.3043709567739,1,12,"Insecticide",-66.7932615629984,14.3043709567739,1,12,NA,-66.7932615629984,14.3043709567739,1,12,"Crop Production","Early Season Pest Management"
"39","Seed Protection","Crop Growth","Soybean Seedling Development","Soil",-17.775451887294,20.1446545943639,1,12,"Insecticide",-17.775451887294,20.1446545943639,1,12,"In-Row",-17.775451887294,20.1446545943639,1,12,"Crop Production","Early Season Pest Management"
"40","Seed Protection","Crop Yield","Grain Quality (Soybean)","Foliage",-7.14285714285715,7.14285714285715,1,2,"Insecticide",-7.14285714285715,7.14285714285715,1,2,NA,-7.14285714285715,7.14285714285715,1,2,"Crop Production","Early Season Pest Management"
"41","Seed Protection","Crop Yield","Grain Quality (Soybean)","Seed",-1.93272079605481,1.20915877805118,2,16,"Fungicide",-0.196008680454034,0.124250626403353,1,12,NA,-0.196008680454034,0.124250626403353,1,12,"Crop Production","Early Season Pest Management"
"42","Seed Protection","Crop Yield","Grain Quality (Soybean)","Seed",-1.93272079605481,1.20915877805118,2,16,"Insecticide",-7.14285714285715,4.12393049421162,1,4,NA,-7.14285714285715,4.12393049421162,1,4,"Crop Production","Early Season Pest Management"
"43","Seed Protection","Crop Yield","Grain Yield (Maize)","Foliage",8.90122519498569,2.74980842398137,2,6,"Insecticide",8.9662853401984,3.36687099829436,2,5,NA,8.9662853401984,3.36687099829436,2,5,"Crop Production","Early Season Pest Management"
"44","Seed Protection","Crop Yield","Grain Yield (Maize)","Foliage",8.90122519498569,2.74980842398137,2,6,"Insecticide-Fungicide",8.57592446892211,NA,1,1,NA,8.57592446892211,NA,1,1,"Crop Production","Early Season Pest Management"
"45","Seed Protection","Crop Yield","Grain Yield (Maize)","Seed",-0.740357289373813,1.9170116610151,5,44,"Fungicide",0,0,1,5,NA,0,0,1,5,"Crop Production","Early Season Pest Management"
"46","Seed Protection","Crop Yield","Grain Yield (Maize)","Seed",-0.740357289373813,1.9170116610151,5,44,"Insecticide",-2.92428478017443,3.72047860162881,2,22,NA,-2.92428478017443,3.72047860162881,2,22,"Crop Production","Early Season Pest Management"
"47","Seed Protection","Crop Yield","Grain Yield (Maize)","Seed",-0.740357289373813,1.9170116610151,5,44,"Insecticide-Fungicide",1.86814967243469,1.10919424293957,2,17,NA,1.86814967243469,1.10919424293957,2,17,"Crop Production","Early Season Pest Management"
"48","Seed Protection","Crop Yield","Grain Yield (Maize)","Soil",-1.17314642408722,0.798906618697495,1,81,"Insecticide",-1.17314642408722,0.798906618697495,1,81,"In-Furrow",-4.18782645549388,2.64972206244215,1,18,"Crop Production","Early Season Pest Management"
"49","Seed Protection","Crop Yield","Grain Yield (Maize)","Soil",-1.17314642408722,0.798906618697495,1,81,"Insecticide",-1.17314642408722,0.798906618697495,1,81,"In-Row",-0.311809272256743,0.674513758986756,1,63,"Crop Production","Early Season Pest Management"
"50","Seed Protection","Crop Yield","Grain Yield (Soybean)","Foliage",0.0199227807987656,1.16741579514362,5,40,"Insecticide",0.0199227807987656,1.16741579514362,5,40,NA,0.0199227807987656,1.16741579514362,5,40,"Crop Production","Early Season Pest Management"
"51","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed",4.03614057068009,2.3146552449132,12,151,"Fungicide",3.41203850093487,2.03584260622575,5,81,NA,3.41203850093487,2.03584260622575,5,81,"Crop Production","Early Season Pest Management"
"52","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed",4.03614057068009,2.3146552449132,12,151,"Fungicide-Biologic",14.6577255153704,16.5297472988967,1,2,NA,14.6577255153704,16.5297472988967,1,2,"Crop Production","Early Season Pest Management"
"53","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed",4.03614057068009,2.3146552449132,12,151,"Insecticide",7.56593981564714,9.99113698834023,6,31,NA,7.56593981564714,9.99113698834023,6,31,"Crop Production","Early Season Pest Management"
"54","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed",4.03614057068009,2.3146552449132,12,151,"Insecticide-Fungicide",1.79504203951613,0.519032266098327,4,33,NA,1.79504203951613,0.519032266098327,4,33,"Crop Production","Early Season Pest Management"
"55","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed",4.03614057068009,2.3146552449132,12,151,"Insecticide-Fungicide-Nematicide",2.49653374428352,0.821994460487461,1,4,NA,2.49653374428352,0.821994460487461,1,4,"Crop Production","Early Season Pest Management"
"56","Seed Protection","Crop Yield","Grain Yield (Soybean)","Seed & Foliage",0.675936884069495,2.10512050856056,2,10,"Insecticide",0.675936884069495,2.10512050856056,2,10,NA,0.675936884069495,2.10512050856056,2,10,"Crop Production","Early Season Pest Management"
"57","Seed Protection","Crop Yield","Grain Yield (Soybean)","Soil",2.15754552726931,2.09593885723268,1,4,"Insecticide",2.15754552726931,2.09593885723268,1,4,"In-Row",2.15754552726931,2.09593885723268,1,4,"Crop Production","Early Season Pest Management"
"58","Seed Protection","Stand Density","Maize Lodging (#)","Seed",-33.3333333333333,21.0818510677892,1,6,"Insecticide",-33.3333333333333,21.0818510677892,1,6,NA,-33.3333333333333,21.0818510677892,1,6,"Crop Production","Early Season Pest Management"
"59","Seed Protection","Stand Density","Soybean Lodging (Scored 1 = no lodging to 5 = completely lodged)","Seed",0,0,1,3,"Fungicide",0,0,1,3,NA,0,0,1,3,"Crop Production","Early Season Pest Management"
"60","Seed Protection","Stand Density","Stand Count (Maize)","Seed",-0.369528718863116,3.05146106540121,3,27,"Fungicide",-2.72294901459198,7.20866991414032,2,11,NA,-2.72294901459198,7.20866991414032,2,11,"Crop Production","Early Season Pest Management"
"61","Seed Protection","Stand Density","Stand Count (Maize)","Seed",-0.369528718863116,3.05146106540121,3,27,"Insecticide-Fungicide",1.24844773445048,1.72923590735425,1,16,NA,1.24844773445048,1.72923590735425,1,16,"Crop Production","Early Season Pest Management"
"62","Seed Protection","Stand Density","Stand Count (Soybean)","Seed",11.2742521494009,3.71488382402428,5,108,"Fungicide",11.318267442169,4.5665488882528,4,84,NA,11.318267442169,4.5665488882528,4,84,"Crop Production","Early Season Pest Management"
"63","Seed Protection","Stand Density","Stand Count (Soybean)","Seed",11.2742521494009,3.71488382402428,5,108,"Fungicide-Biologic",15.3847599990516,9.65821455080434,1,12,NA,15.3847599990516,9.65821455080434,1,12,"Crop Production","Early Season Pest Management"
"64","Seed Protection","Stand Density","Stand Count (Soybean)","Seed",11.2742521494009,3.71488382402428,5,108,"Insecticide",-6.00995732574679,2.99149874384408,1,4,NA,-6.00995732574679,2.99149874384408,1,4,"Crop Production","Early Season Pest Management"
"65","Seed Protection","Stand Density","Stand Count (Soybean)","Seed",11.2742521494009,3.71488382402428,5,108,"Insecticide-Fungicide",10.195243945244,3.04306131874618,1,4,NA,10.195243945244,3.04306131874618,1,4,"Crop Production","Early Season Pest Management"
"66","Seed Protection","Stand Density","Stand Count (Soybean)","Seed",11.2742521494009,3.71488382402428,5,108,"Insecticide-Fungicide-Nematicide",16.3816251316251,2.01628601511942,1,4,NA,16.3816251316251,2.01628601511942,1,4,"Crop Production","Early Season Pest Management"
"67","Seed Protection","Stand Density","Stand Count (Soybean)","Soil",-14.0469416785206,2.36435232612397,1,4,"Insecticide",-14.0469416785206,2.36435232612397,1,4,"In-Row",-14.0469416785206,2.36435232612397,1,4,"Crop Production","Early Season Pest Management"
"68",NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,1,6,NA,NA,NA,1,6,"Crop Production","Early Season Pest Management"
