Paper_id,DOI,Authors,Authors_abbrev,PubYear,Journal,Volume_issue,Title,Pages,ReaderName,DateRead
70,10.1111/1365-2664.12924,"Krupke, C.H., Holland, J.D., Long, E.Y., & Eitzer, B.D",Krupke et al.,2017,Journal of Applied Ecology,54,Planting of neonicotinoid-treated maize poses risks for honey bees and other non-target organisms over a wide area without consistent crop yield benefit,1449-1458,LWA,43368
71,10.1002/ps.4602,"Krupke, C.H., Alford, A.M., Cullen, E.M., Hodgson, E.W., Knodel, J.J., McCornack, B., Potter, B.D., Spigler, M.I., Tilmon, K., & Welch, K.",Krupke et al.,2017,Pest Management Science,73,Assessing the value and pest management window provided by neonicotinoid seed treatments for management of soybean aphid (Aphis glycines Matsumura) in the Upper Midwestern United States,2184-2193,LWA,43369
72,10.1016/j.cropro.2017.03.004,"Regan, K., Ordosch, D., Glover, K.D., Tilmon, K.J., & Szczepaniec A.",Regan et al.,2017,Crop Protection,98,Effects of a pyrethroid and two neonicotinoid insecticides on population dynamics of key pests of soybean and abundance of their natural enemies,24-32,LWA,43370
73,10.1094/PD-89-0262,"Pataky, J.K., Michener, P.M., Freeman, N.D.,  Hawk, J.A., Weldekidan, T., & Teyker, R.H.",Pataky et al.,2005,Plant Disease,89(3),Rates of seed treatment insecticides and control of stewart's wilt in sweet corn,262-268,LWA/CB,43385
74,10.1016/0261-2194(92)90057-C,"Oloumi-Sadeghi, H., Levine, E., Steffey, K.L., & Gray, M.E.",Oloumi-Sadeghi et al.,1992,Crop Protection,11,Black cutworm damage and recovery of corn plants: influence of pyrethroid and organophosphate soil insecticide treatments,323-328,CB,43399
75,10.1016/j.cropro.2005.03.013 ,"Bierman, R. E., Riechers, D. E., Sprague, C. L., Bollero, G., & Pedersen W. L.",Bierman et al.,2006,Crop Protection,25,Fungicide-herbicide interaction in soybean (Glycine max),134-139,CB,43406
76,10.1111/j.1439-0418.2011.01656.x ,"Tinsley, N. A., Steffey, K. L., Estes, R. E., Heeren, J. R., Gray, M. E., & Diers, B. W.",Tinsley et al.,2012,Journal of Applied Entomology,136,Field-level effects of preventative management tactics on soybean aphids (Aphis glycines Matsumura) and their predators,361-371,CB,43412
77,10.1016/0261-2194(93)90096-2,"Hammond, R. B. & Cooper, R. L., ",Hammond & Cooper,1993,Crop Protection,12(7),"Interaction of planting times following the incorporaiton of a living, green cover crop and control measures on seedcorn maggot populations in soybean",539-543,CB,43412
78,10.1017/S0890037X00038793,"Morton, C.A., Harvey, R.G., Wedberg, J.L., Kells, J.J., Landis, D.A., & Lueschen, W.E.",Morton et al.,1994,Weed Technology,8(2),Influence of corn rootworm insecticides on response of field corn (Zea mays) to Nicosulfuron,289-295,LWA/CB,43419
79,10.1093/jee/92.4.954,"Haile, F.J., Peterson, R.K.D., & Higley, L.G.",Haile et al.,1999,Journal of Economic Entomology,92(4),Gas-exchange responses of alfalfa and soybean treated with insecticides,954-959,LWA/CB,43422
80,10.1093/jee/tov081,"Frank, D.L., Kurtz, R., Tinsley, N.A., Gassmann, A.J., Meinke, L.J., Moellenbeck, D., Gray, M.E., Bledsoe, L.W., Krupke, C.H., estes, R.E., Weber, P., & Hibbards, B.E.",Frank et al.,2015,Journal of Economic Entomology,108(3),Effect of seed blends and soil-insecticide on Western and Northern Corn Rootworm emergence from mCry3A + eCry3.1Ab Bt maize,1260-1270,LWA/CB,43425
81,10.2135/cropsci2014.02.0114,"Gaspar, A.P., Mitchell, P.D., & Conley, S.P.",Gaspar et al.,2015,Crop Science,55,Economic risk and profitability of soybean fungicide and insecticide seed treatments at reduced seeding rates,924-933,LWA/CB,43434
82,10.2135/cropsci2014.03.0200,"Gaspar, A.P., & Conley, S.P.",Gaspar & Conley,2015,Crop Science,55,"Responses of canopy reflectance, light interception, and soybean seed yield to replanting suboptimal stands",377-385,LWA/CB,43434
83,10.2134/agronj14.0277,"Gaspar, A.P., Marburger, D.A., Mourtzinis, S., & Conley, S.",Gaspar et al.,2014,Agronomy Journal,106,Soybean seed yield response to multiple seed treatment components across diverse environments,1955-1962,LWA/CB,43434
84,10.1603/EC14047,"McCarville, M.T., O'Neal, M.E., Potter, B.D., Tilmon, K.J., Cullen, E.M., McCornack, B.P., Tooker, J.F., & Prischmann-Voldseth, D.A.",McCarville et al.,2014,Journal of Economic Entomology,107(4),One gene versus two: A regional study on the efficacy of single gene versus pyramided resistance for soybean aphid management,1680-1687,LWA/CB,43446
85,10.1111/j.1439-0418.2012.01716.x,"Obopile, M., Hammond, R.B., & Thomison, P.R.",Obopile et al.,2013,Journal of Applied Entomology,137,"Interaction among planting dates, transgenic maize, seed treatment, corn rootworm damage and grain yield",45-55,LWA/CB,43446
86,10.2135/cropsci2011.06.0311,"Esker, P.D., & Conley, S.P.",Esker & Conley,2012,Crop Science,52,Probability of yield response and breaking even for soybean seed treatments,351-359,LWA/CB,43447
87,10.1007/s10658-009-9545-9,"Rodriguez-Brljevich, C., Kanobe, C., Shanahan, J.F., & Robertson, A.E.",Rodriguez-Brljevich et al.,2010,European Journal of Plant Pathology,126,Seed treatments enhance photosynthesis in maize seedlings by reducing infection with Fusarium spp. and consequent disease development in maize,343-347,LWA/CB,43447
88,10.1603/029.102.0613,"Johnson, K.D., O'Neal, M.E., Ragsdale, D.W., Difon, C.D., Swinton, S.M., Dixon, P.M., Potter, B.D., Hodgson, E.W., & Costamagna, A.C.",Johnson et al.,2009,Journal of Economic Entomology,102(6),Probability of cost-effective management of soybean aphid (Hemiptera: Aphididae) in North America,2101-2108,LWA/CB,43447
89,10.1603/029.102.0127,"Magalhaes, L.C., Hunt, T.E., & Siegfried, B.D.",Magalhaes et al.,2009,Journal of Economic Entomology,102(1),Efficacy of neonicotinoid seed treatments to reduce soybean aphid populations under field and controlled conditions in Nebraska,187-195,LWA/CB,43447
90,10.2134/agronj2007.0142,"Murillo-Williams, A., & Pedersen, P.",Murillo-Williams & Pedersen,2008,Agronomy Journal,100(3),Arbuscular mycorrhizal colonization response to three seed-applied fungicides,795-800,LWA/CB,43447
91,10.1094/ PDIS-92-1-0120,"Bradley, C.A.",Bradley,2008,Plant Disease,92,"Effect of fungicide seed treatments on stand establishment, seedling disease, and yield of soybean in North Dakota",120-125,LWA/CB,43451
92,10.1023/B:PLSO.0000016561.58742.93,"Wang, D., Kurle, J.E., Estevex de Jensen, C., & Percich, J.A.",Wang et al.,2004,Pland and Soil,258,Radiometric assessment of tillage and seed treatment effect on soybean root rot caused by Fusarium spp. in central Minnesota,319-331,LWA/CB,43451
93,Unavailable,"Bradshaw, J.D., Rice, M.E., & Hill J. H.",Bradshaw et al.,2003,Crop Science & Technology Congress Proceedings,1,Efficacy of pyrethroid and systemic neonicotinoid to manage an insect and pathogen complex,53-60,LWA/CB,43451
94,10.1094/PD-78-0817,"Baird, R.E., Nankam, C., Fallah Moghaddam, P., & Pataky, J.K",Baird et al.,1994,Plant Disease,78,Evaluation of seed treatments on Shrunken-2 sweet corn,817-821,LWA/CB,43451
95,10.1093/jee/101.4.1211,"Bradshaw, J.D., Rice, M.E., & Hill, J.H.",Bradshaw et al.,2008,Journal of Economic Entomology,101(4),Evaluation of management strategies for bean leaf beetles (Coleoptera: Chrysomelidae) and Bean pod mottle virus (Comoviridae) in soybean,1211-1227,LWA/CB,43462
96,10.1094/ PDIS-93-9-0875,"Dorrance, A. E., Robertson, A. E., Cianzo, S., Giesler, L. J., Grau, C. R., Draper, M. A., Tenuta, A. U., & Anderson, T. R.",Dorrance et al.,2009,Plant Disease,93,Integrated management strategies for Phytophthora sojae combining host resistance and seed treatments,875-882,LWA/CB,43464
