"Paper_id","citation","citation_short"
150,"Kitur, B.K., Olson, K.R., Siemens, J.C., & Phillips, S.R. (1993). Tillage effects on selected physical properties of Grantsburg silt loam. Communications in Soil Science and Plant Analysis, 24: 1509-1527. DOI: 10.1080/00103629309368895","Kitur et al. (1993)"
151,"Kitur, B.K., Phillips, S.R., Olson, K.R., & Ebelher, S.A. (1994). Tillage effects on selected chemical properties of Gransburg silt loam. Communications in Soil Science and Plant Analysis, 25: 225-246. DOI: 10.1080/00103629409369033","Kitur et al. (1994)"
152,"Hussain, I., Olson, K.R., & Siemens, J.C. (1998). Long-term tillage effects on physical properties of eroded soil. Soil Science, 163(12): 970-981. DOI: 10.1097/00010694-199812000-00007","Hussain et al. (1998)"
153,"Yang, X. & Wander, M.M. (1998). Temporal changes in dry aggregate size and stability: tillage and crop effects on a silty loam Mollisol in Illinois. Soil & Tillage Research, 49: 173-183. DOI: 10.1016/S0167-1987(98)00170-6","Yang & Wander (1998)"
154,"Hussain, I., Olson, K.R., & Ebelhar, S.A. (1999). Impacts of tillage and no-till on production of maize and soybean on an eroded Illinois silt loam soil. Soil & Tillage Research, 52: 37-49. DOI: 10.1016/S0167-1987(99)00054-9","Hussain et al. (1999)"
155,"Hussain, I., Olson, K.R., & Ebelhar, S.A. (1999). Long-term tillage effects on soil chemical properties and organic matter fractions. Soil Science Society of America Journal, 63: 1335-1341. DOI: 10.2136/sssaj1999.6351335x","Hussain et al. (1999)"
156,"Olson, K.R., Lang, J.M., & Ebelhar, S.A. (2005). Soil organic carbon changes after 12 years of no-tillage and tillage of Grantsburg soils in southern Illinois. Soil & Tillage Research, 81: 217-225. DOI: 10.1016/j.still.2004.09.009","Olson et al. (2005)"
157,"Yang, X. & Wander, M.M. (1999). Tillage effects on soil organic carbon distribution and storage in a silt loam soil in Illinois. Soil & Tillage Research, 52: 9-Jan. DOI: 10.1016/S0167-1987(99)00051-3","Yang & Wander (1999)"
158,"Wander, M.M. & Yang, X. (2000). Influence of tillage on the dynamics of losse- and occluded- particulate and humified organic matter fractions. Soil Biology & Biochemistry, 32: 1151-1160. DOI: 10.1016/S0038-0717(00)00031-6","Wander & Yang (2000)"
159,"Zuber, S.M., Behnke, G.D., Nafziger, E.D., & Villamil, M.B. (2015). Crop rotation and tillage effects on soil physical and chemical properties in Illinois. Agronomy Journal, 107(3): 971-978. DOI: 10.2134/agronj14.0465","Zuber et al. (2015)"
