DOI,Paper_id,Loc_multi,Soil_type,City,State,Latitude,Longitude,Year_start,Years_num,Annual_precip,Field_history,Exp_design,Exp_arrangement,Reps,Plot_width,Plot_length,Trtmt_levels,Trtmt_main,Trtmt_main_levels,Trtmt_splitA,Trtmt_splitA_levels,Trtmt_splitB,Trtmt_splitB_levels,Trtmt_splitC,Trtmt_splitC_levels
10.2136/sssaj2015.10.0363,120,1,"sandy, mixed, mesic Udorthentic Haplustoll",Concord,NE,42.38333333,-96.93333333,2008,1,,"farmer's fields, previous crop was soybean",randomized complete block design,split-plot,4,,,2,nitrogen rate,4,nitrogen method and rate,5,,,,
10.2136/sssaj2015.10.0363,120,2,mesic Cumulic Haplustoll,Haskell Agricultural Laboratory in Concord,NE,42.63333333,-96.15138889,2009,1,,previous crop was soybean,randomized complete block design,split-plot,4,,,2,nitrogen rate,4,nitrogen method and rate,5,,,,
10.2136/sssaj2015.10.0363,120,3,"mixed, mesic Cumulic Haplustoll",Pierce,NE,42.58333333,-97.15055556,2009,1,,"farmer's fields, previous crop was maize",randomized complete block design,split-plot,4,,,2,nitrogen rate,4,nitrogen method and rate,5,,,,
10.2489/jswc.72.3.183,121,1,"Nicollet clay loam (fine-loamy, mixed superactive, mesic Aquic Hapludolls, 2012), Clarion loam (fine-loamy, mixed, superactive, mesic Typic Hapludolls) or Webster silty clay loam (fine-loamy, mixed, superactive, mesic Typic Endoaquolls) in 2013",Ames,IA,42.025546,-93.631183,2012,2,,,completely randomized design,,3,5.32,15,2,nitrogen method and rate,10,,,,,,
10.2489/jswc.72.3.183,121,2,"Canisteo clay loam; fine-loamy, mixed, superactive, calcareous, mesic Typic Endoaquolls",Kanawha,IA,42.934528,-93.79413,2012,2,,,completely randomized design,,3,5.32,15,1,nitrogen method and rate,10,,,,,,
10.2489/jswc.72.3.183,121,3,"Readlyn loam (fine-loamy, mixed, superactive, mesic Aquic Hapludolls, 2012), Kenyon loam (fine-loamy, mixed, superactive, mesic Typic Hapludolls, 2013)",Nashua,IA,42.948564,-92.541708,2012,2,,,completely randomized design,,3,5.32,15,1,nitrogen method and rate,10,,,,,,
10.2489/jswc.72.3.183,121,4,"Taintor silty clay loam (fine, smectitic, mesic Vertic Argiaquolls)",Crawford,IA,42.054888,-95.367893,2012,2,,,completely randomized design,,3,5.32,15,1,nitrogen method and rate,10,,,,,,
10.2489/jswc.72.3.183,121,5,"Marshall silty clay loam (fine-silty, mixed, superactive, mesic Typic Hapludolls, 2012), Macksburg silty clay loam (fine, smectitic, mesic Aquertic Argiudolls, 2013)",Atlantic,IA,41.397295,-95.011862,2012,2,,,completely randomized design,,3,5.32,15,1,nitrogen method and rate,10,,,,,,
10.2489/jswc.72.3.183,121,6,"Edina silt loam (fine, smectitic, mesic Vertic Argialbolls)",Chariton,IA,41.018288,-93.304872,2012,1,,,completely randomized design,,3,5.32,15,1,nitrogen method and rate,14,,,,,,
10.2134/jeq2016.01.0024,122,1,"Waukegan silt loam (fine-silty over sandy or sandy-skeletal, mixed, superactive, mesic Typic Hapludolls)",St. Paul,MN,44.1525,-93.28333333,2014,2,542,research station,randomized complete block design,,4,5,5.3,1,nitrogen method and rate,6,,,,,,
10.2134/agronj13.0441,123,1,Flanagan series,University of Illinois Research and Education Center at Champaign,IL,40.09105,-88.22722222,2007,3,,,randomized complete block design,split-plot,4,3.04,50,2,nitrogen application timing,2,nitrogen method and rate,7,,,,
