DOI,Paper_id,Loc_multi,Soil_type,City,State,Latitude,Longitude,Year_start,Years_num,Annual_precip,Field_history,Exp_design,Exp_arrangement,Reps,Plot_width,Plot_length,Trtmt_levels,Trtmt_main,Trtmt_main_levels,Trtmt_splitA,Trtmt_splitA_levels,Trtmt_splitB,Trtmt_splitB_levels,Trtmt_splitC,Trtmt_splitC_levels
10.1111/1365-2664.12924,70,1,,Randolph County,IN,40.263035,-85.152023,2012,2,,Maize managed with conventional tillage. Different fields at this farm were used each year.,randomized complete block design,,4,4.56,23,1,neonicotinoid-treated seed,3,,,,,,
10.1111/1365-2664.12924,70,2,,La Porte County,IN,41.446398,-86.941901,2012,3,,Maize managed with conventional tillage. Different fields at this farm were used each year.,randomized complete block design,,4,3.04,30.5,1,neonicotinoid-treated seed,3,,,,,,
10.1111/1365-2664.12924,70,3,,Tippecanoe County,IN,40.300682,-86.902448,2012,3,,Maize managed with conventional tillage. Different fields at this farm were used each year.,randomized complete block design,,4,3.04,30.5,1,neonicotinoid-treated seed,3,,,,,,
10.1002/ps.4602,71,2,,Story County,IA,41.982225,-93.639749,2012,2,,,randomized complete block design,,4,9.1,13.4,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,1,,Tippecanoe County,IN,40.300682,-86.902448,2012,2,,,randomized complete block design,,4,12.1,30.4,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,8,,Riley County,KS,39.143831,-96.633759,2012,2,,,randomized complete block design,,4,9.1,13.7,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,3,,Redwood County,MN,44.242425,-95.308314,2012,2,,,randomized complete block design,,4,9.1,19.8,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,4,,Leonard,ND,46.600221,-97.176631,2012,2,,,randomized complete block design,,4,6,16.7,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,5,,Mapleton,ND,46.928519,-97.002872,2012,1,,,randomized complete block design,,4,6,16.7,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,9,,Emerado,ND,47.836174,-97.308994,2013,1,,,randomized complete block design,,4,6,16.7,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,10,,Harwood,ND,47.013136,-96.836685,2013,1,,,randomized complete block design,,4,6,16.7,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,6,,Volga,SD,44.299763,-96.922711,2012,2,,,randomized complete block design,,4,12.1,30.4,1,early season pest management,4,,,,,,
10.1002/ps.4602,71,7,,Arlington,WI,43.29795,-89.348524,2013,1,,,randomized complete block design,,4,12.2,22.9,1,early season pest management,4,,,,,,
10.1016/j.cropro.2017.03.004,72,1,,Volga,SD,44.32,-96.92,2013,2,,,randomized complete block design,,4,3,12,1,early season pest management,4,,,,,,
10.1016/j.cropro.2017.03.004,72,2,,South Shore,SD,45.1,-96.93,2013,2,,,randomized complete block design,,6,3,12,1,early season pest management,3,,,,,,
10.1094/PD-89-0262,73,1,,Urbana,IL,40.12,-88.2,2000,3,,,randomized complete block design,,3.5,3,8.3,1,neonicotinoid seed treatments and rate,3,,,,,,
10.1094/PD-89-0262,73,2,,Manito,IL,40.42,-89.78,2000,1,,,randomized complete block design,,3.5,3,8.3,1,neonicotinoid seed treatments and rate,3,,,,,,
10.1094/PD-89-0262,73,3,,Brownstown,IL,40,-88.95,2002,1,,,randomized complete block design,,3.5,3,8.3,1,neonicotinoid seed treatments and rate,3,,,,,,
10.1016/0261-2194(92)90057-C,74,1,,Urbana,IL,40.12,-88.2,1989,2,,,randomized complete block design,,5,3,15,1,soil applied insecticides,29,,,,,,
10.1016/j.cropro.2005.03.013 ,75,0,"Monmouth (Muscatine silt loam), Urbana (Drummer silty clay loam 2002/Dana silt loam 2003",Monmouth and Urbana,IL,40.36,-89.57,2002,2,,"Maize managed except in Urbana in 2002, where the preceding crop was alfalfa",randomized complete block design,split-plot,4,3,9,2,fungicide seed treatments,6,herbicide,6,,,,
10.1111/j.1439-0418.2011.01656.x ,76,0,,Whiteside County,IL,41.77,-89.95,2007,2,,"Sites were tilled (Turbo-Till 2200; Great Plains Mfg., Salina, KS)",randomized complete block design,split-plot,4,4.6,15,2,soybean lines & insecticidal seed treatment,5,foliar insecticide applications,2,,,,
10.1016/0261-2194(93)90096-2,77,0,"Canfield-Wooster silt loam, pH = 6.5 and 6.7 with an organic matter content of 2.5% and 2.1% in 1987 and 1988, respectively",Wooster,OH,40.82,-81.93,1987,2,,A winter rye cover crop planted the previous fall was ploughed and disced on 5 May in 1987 and 1988 (incorporation tillage dates) to increase the likelihood of seedcorn maggot numbers.,randomized complete block design,split-plot,4,3.4,21,2,cash crop planting time,3,insecticide seed treatments and soil applied insecticides,5,,,,
10.1017/S0890037X00038793,78,2,"Capac sandy loam (fine-loamy, mixed, mesic Aeric Ochraqualfs)",East Lansing,MI,42.75,-84.48,1991,1,,all research sites were established where corn had not been grown the previous year,randomized complete block design,split-plot,6,3,9.1,2,insecticide placement & rate,7,herbicide rate,3,,,,
10.1017/S0890037X00038793,78,5,"Capac sandy loam (fine-loamy, mixed, mesic Aeric Ochraqualfs)",East Lansing,MI,42.75,-84.48,1991,1,,all research sites were established where corn had not been grown the previous year,randomized complete block design,split-split-plot,3,3,9.1,2,insecticide,10,insecticide placement,3,herbicide rate,3,,
10.1017/S0890037X00038793,78,1,"Nicollet clay loam (fine-loamy, mixed mesic Typic Haplaquolls)",Waseca,MN,44.08,-93.51,1991,1,,all research sites were established where corn had not been grown the previous year,randomized complete block design,split-plot,6,3,10.7,2,insecticide placement & rate,7,herbicide rate,3,,,,
10.1017/S0890037X00038793,78,4,"Nicollet clay loam (fine-loamy, mixed mesic Typic Haplaquolls)",Waseca,MN,44.08,-93.51,1991,1,,all research sites were established where corn had not been grown the previous year,randomized complete block design,split-split-plot,3,3,10.7,2,insecticide,10,insecticide placement,3,herbicide rate,3,,
10.1017/S0890037X00038793,78,3,"Plano silt loam (fine-silty, mixed, mesic Typic Arguidolls)",Arlington,WI,43.33,-89.37,1991,1,,all research sites were established where corn had not been grown the previous year,randomized complete block design,split-plot,6,3,9.1,2,insecticide placement & rate,7,herbicide rate,3,,,,
10.1017/S0890037X00038793,78,6,"Plano silt loam (fine-silty, mixed, mesic Typic Arguidolls)",Arlington,WI,43.33,-89.37,1991,1,,all research sites were established where corn had not been grown the previous year,randomized complete block design,split-split-plot,3,3,9.1,2,insecticide,10,insecticide placement,3,herbicide rate,3,,
10.1093/jee/92.4.954,79,1,,Ithaca,NE,41.16,-96.54,1997,2,,,randomized complete block design,,4,3,4.6,1,insecticide,7,,,,,,
10.1093/jee/92.4.954,79,2,,Lincoln,NE,40.81,-96.68,1997,2,,,randomized complete block design,,4,3,4.6,1,insecticide,7,,,,,,
10.1093/jee/tov081,80,4,,Story County,IA,41.982225,-93.639749,2010,2,,,randomized complete block design,,3,3.05,3.05,1,seed blend & insecticide,10,,,,,,
10.1093/jee/tov081,80,5,,Kossuth County,IA,43.22,-94.21,2010,1,,,randomized complete block design,,3,3.05,3.05,1,seed blend & insecticide,10,,,,,,
10.1093/jee/tov081,80,2,,Champaign County,IL,40.15,-88.21,2010,2,,,randomized complete block design,,3,3.05,3.05,1,seed blend & insecticide,10,,,,,,
10.1093/jee/tov081,80,1,,Tippecanoe County,IN,40.300682,-86.902448,2010,2,,,randomized complete block design,,3,3.05,3.05,1,seed blend & insecticide,10,,,,,,
10.1093/jee/tov081,80,3,,Boone County,MO,39.01,-92.36,2010,2,,,randomized complete block design,,3,3.05,3.05,1,seed blend & insecticide,10,,,,,,
10.1093/jee/tov081,80,6,,Saunders County,NE,41.26,-96.66,2011,1,,,randomized complete block design,,3,3.05,3.05,1,seed blend & insecticide,10,,,,,,
10.2135/cropsci2014.02.0114,81,1,"Plano silt loam ( fine-silty, mixed, superactive, mesic Typic Argiudolls)",Arlington,WI,43.30222222,-89.33555556,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,2,"Plano silt loam ( fine-silty, mixed, superactive, mesic Typic Argiudolls)",Janesville,WI,42.72583333,-89.02138889,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,3,"Fayette silt loam (fine-silty, mixed, superactive, mesic Typic Hapludalfs)",Lancaster,WI,42.83027778,-90.78916667,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,4,"Pella silt loam (fine-silty, mixed, superactive, mesic Typic Endoaquolls)",Fond du Lac,WI,43.72611111,-88.57166667,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,5,"Downs silt loam (fine-silty, mixed, superactive, mesic Mollic Hapludalfs)",Galesville,WI,44.07416667,-91.33277778,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,6,"Plainfield sand (mixed, mesic Typic Udipsamments)",Hancock,WI,44.11944444,-89.53527778,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,7,"Sattre loam (fine- loamy over sandy or sandy-skeletal, mixed, superactive, mesic Mollic Hapludalfs)",Chippewa Falls,WI,44.95,-91.35027778,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,8,"Withee silt loam (fine-loamy, mixed, superactive, frigid Aquic Glossudalfs)",Marshfield,WI,44.64138889,-90.13305556,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.02.0114,81,9,"Solona silt loam (coarse-loamy, mixed, superactive, frigid Aquic Argiudolls)",Seymour,WI,44.52361111,-88.32944444,2012,2,,,randomized complete block design,,4,2.28,6.4,1,seed treatment & seeding rate,9,,,,,,
10.2135/cropsci2014.03.0200,82,0,Plano silt loam,University of Wisconsin Arlington Agricultural Research Station near Arlington,WI,43.30222222,-89.33555556,2012,2,508,,randomized complete block design,split-plot,4,2.28,6.4,2,planting date,3,seed treatment*seeding rate,15,,,,
10.2134/agronj14.0277,83,1,"Plano silt loam ( fine-silty, mixed, superactive, mesic Typic Argiudolls)",Arlington,WI,43.30222222,-89.33555556,2011,3,,,randomized complete block design,8 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,11,,,,,,
10.2134/agronj14.0277,83,2,"Plano silt loam ( fine-silty, mixed, superactive, mesic Typic Argiudolls)",Janesville,WI,42.72583333,-89.02138889,2011,3,,,randomized complete block design,9 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,12,,,,,,
10.2134/agronj14.0277,83,3,"Fayette silt loam (fine-silty, mixed, superactive, mesic Typic Hapludalfs)",Lancaster,WI,42.83027778,-90.78916667,2011,3,,,randomized complete block design,10 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,13,,,,,,
10.2134/agronj14.0277,83,4,"Pella silt loam (fine-silty, mixed, superactive, mesic Typic Endoaquolls)",Fond du Lac,WI,43.72611111,-88.57166667,2011,3,,,randomized complete block design,11 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,14,,,,,,
10.2134/agronj14.0277,83,5,"Downs silt loam (fine-silty, mixed, superactive, mesic Mollic Hapludalfs)",Galesville,WI,44.07416667,-91.33277778,2011,3,,,randomized complete block design,12 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,15,,,,,,
10.2134/agronj14.0277,83,6,"Plainfield sand (mixed, mesic Typic Udipsamments)",Hancock,WI,44.11944444,-89.53527778,2011,3,,,randomized complete block design,13 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,16,,,,,,
10.2134/agronj14.0277,83,7,"Sattre loam (fine- loamy over sandy or sandy-skeletal, mixed, superactive, mesic Mollic Hapludalfs)",Chippewa Falls,WI,44.95,-91.35027778,2011,3,,,randomized complete block design,14 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,17,,,,,,
10.2134/agronj14.0277,83,8,"Withee silt loam (fine-loamy, mixed, superactive, frigid Aquic Glossudalfs)",Marshfield,WI,44.64138889,-90.13305556,2011,3,,,randomized complete block design,15 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,18,,,,,,
10.2134/agronj14.0277,83,9,"Solona silt loam (coarse-loamy, mixed, superactive, frigid Aquic Argiudolls)",Seymour,WI,44.52361111,-88.32944444,2011,3,,,randomized complete block design,16 x 3 factorial structure,4,2.28,6.4,1,seed treatment & seed variety,19,,,,,,
