"","DOI","Paper_id","State","Latitude","Longitude","Year_start","Years_num","Annual_precip","Reps","Trtmt_main","NAME"
"1","10.1097/SS.0b013e3181cf7959",1,"IL",37.44,-88.67,2001,4,617,"6.0","tillage","Pope"
"2","10.1016/j.agwat.2012.03.010",2,"IA",42.05,-93.71,2006,5,856,"4.0","cover crops species","Boone"
"3","10.4137/ASWR.S30708",3,"IL",40.64,-88.78,2012,3,NA,"3.0","cover crops species + management","McLean"
"4","10.1016/j.agee.2015.10.014",4,"IL",39.54,-88.43,2011,2,1015,"2.0","field area","Coles"
"5","10.1016/j.agee.2015.10.014",4,"IL",41.55,-88.56,2011,2,1015,"2.0","field area","Kendall"
"6","10.1016/j.agee.2015.10.014",4,"IL",39.27,-89.03,2011,2,1015,"2.0","field area","Shelby"
"7","10.1016/j.agee.2015.10.014",4,"IL",39.27,-89.03,2011,2,1015,"2.0","field area","Shelby"
"8","10.1017/wet.2017.30",5,"AR",34.75,-92.45,2013,1,NA,"4.0","cover crops","Pulaski"
"9","10.1017/wet.2017.30",5,"AR",34.75,-92.45,2014,1,NA,"4.0","cover crops","Pulaski"
"10","10.1017/wet.2017.30",5,"IN",40.02,-86.33,2013,1,NA,"4.0","cover crops","Boone"
"11","10.1017/wet.2017.30",5,"IN",40.02,-86.33,2014,1,NA,"4.0","cover crops","Boone"
"12","10.1017/wet.2017.30",5,"IL",40.35,-89.26,2013,1,NA,"4.0","cover crops","McLean"
"13","10.1017/wet.2017.30",5,"IL",40.35,-89.26,2014,1,NA,"4.0","cover crops","McLean"
"14","10.1017/wet.2017.30",5,"IL",40.35,-89.26,2014,1,NA,"4.0","cover crops","McLean"
"15","10.1017/wet.2017.30",5,"MO",38.45,-92.69,2013,1,NA,"4.0","cover crops","Morgan"
"16","10.1017/wet.2017.30",5,"MO",38.45,-92.69,2014,1,NA,"4.0","cover crops","Morgan"
"17","10.1017/wet.2017.30",5,"OH",40.15,-83.02,2013,1,NA,"4.0","cover crops","Delaware"
"18","10.1017/wet.2017.30",5,"OH",40.15,-83.02,2014,1,NA,"4.0","cover crops","Delaware"
"19","10.1017/wet.2017.30",5,"TN",35.82,-86.77,2013,1,NA,"4.0","cover crops","Williamson"
"20","10.1017/wet.2017.30",5,"TN",35.82,-86.77,2014,1,NA,"4.0","cover crops","Williamson"
"21","10.1017/S0890037X00027834",6,"MO",38.96,-92.33,1989,2,NA,"4.0","cover crops","Boone"
"22","10.1016/j.agee.2009.05.008",7,"IA",42.02,-93.45,2005,2,835,"4.0","cover crops + manure","Story"
"23","10.1614/WS-D-11-00192.1",8,"IN",40.45,-86.92,2006,2,NA,"6.0","crop rotation","Tippecanoe"
"24","10.1614/WS-D-11-00192.1",8,"IN",38.68,-87.52,2006,2,NA,"6.0","crop rotation","Knox"
"25","http://www.jstor.org/stable/25085273",9,"OH",41.28,-83.84,1987,1,NA,"4.0","cover crops/planting date","Wood"
"26","http://www.jstor.org/stable/25085273",9,"OH",39.82,-83.64,1987,2,NA,"3.0","cover crops/planting date","Clark"
"27","http://www.jstor.org/stable/25085273",9,"OH",38.74,-83.84,1987,2,NA,"4.0","cover crops/planting date","Brown"
"28","1abc",10,"IA",42.02,-93.45,1990,6,NA,"5.0","cover crops","Story"
"29","2abc",11,"NE",41.16,-96.54,1994,1,NA,"3.0","cover crops","Saunders"
"30","2abc",11,"NE",41.16,-96.54,1995,1,NA,"4.0","cover crops","Saunders"
"31","10.2134/jeq2000.00472425002900010037x",12,"MI",41.84,-85.66,1995,3,NA,"4.0","cover crops","St. Joseph"
"32","3abc",13,"IA",42.02,-93.45,1994,3,NA,"5.0","cover crops","Story"
"33","10.2134/jeq2004.1010",14,"MN",44.23,-95.27,1998,3,670,"4.0","cropping system","Redwood"
"34","10.1007/s10705-010-9345-9",15,"IA",42.05,-93.94,2005,2,NA,"4.0","cropping system + fertilizer","Boone"
"35","10.1603/EN10041",16,"SD",44.348,-96.811,2007,2,NA,"6 to 8","cover crops","Brookings"
"36","10.1016/j.agwat.2010.11.004",17,"IA",42.75,-94.7,2006,3,NA,"4.0","cropping system","Pocahontas"
"37","10.2134/jeq2011.0151",18,"IA",42.75,-94.7,2005,4,NA,"4.0","cropping system","Pocahontas"
"38","10.1603/EN11168",19,"MN",46.01,-94.57,2005,1,NA,"22.0","cover crops","Morrison"
"39","10.2136/sssaj2013.02.0074",20,"IA",42.02,-93.77,2009,3,872,"4.0","cover crops","Boone"
"40","10.2489/jswc.68.6.438",21,"MN",46.21,-95.48,2008,1,NA,"1.0","cover crops","Otter Tail"
"41","10.1080/21683565.2014.901275",22,"WI",43.18,-89.21,2010,2,NA,"4.0","cover crop termination","Dane"
"42","10.2489/jswc.69.6.564",23,"IA",43.25,-94.83,2012,1,84.7,"2.0","cash crop","Palo Alto"
"43","10.2489/jswc.69.6.564",23,"IA",42.03,-94,2012,1,90.7,"2.0","cash crop","Boone"
"44","10.2489/jswc.69.6.564",23,"IN",39.1,-85.9,2012,1,118.6,"2.0","cash crop","Bartholomew"
"45","10.1007/s12665-014-3353-z",24,"OH",40.17,-84.13,2012,1,110,"1.0","cover crops","Miami"
"46","10.1111/gcbb.12096",25,"IA",41.55,-93.45,2008,4,NA,"4.0","cropping system","Polk"
"47","10.2134/agronj2009.0144",26,"OH",40,-83.02,2006,2,98,"4.0","cover crops","Franklin"
"48","10.1515/intag-2015-0030",27,"MO",38.97,-92.18,2011,3,990.6,"3.0","tillage","Boone"
"49","10.2136/sssaj2015.02.0084",28,"IA",42.01,-93.78,2009,3,NA,"4.0","cover crops","Boone"
"50","10.2136/sssaj2015.02.0084",28,"IA",41.2,-91.49,2009,3,NA,"4.0","cover crops","Washington"
"51","10.2136/sssaj2015.02.0084",28,"IA",41.31,-95.18,2009,3,NA,"4.0","cover crops","Pottawattamie"
"52","10.2136/sssaj2015.02.0084",28,"IA",42.93,-92.58,2009,3,NA,"4.0","cover crops","Floyd"
"53","10.1111/afe.12099",29,"MN",43.67,-92.98,2006,2,NA,"4.0","cover crops","Mower"
"54","10.1111/afe.12099",29,"MN",47.08,-96.51,2006,1,NA,"3.0","cover crops","Clay"
"55","10.1111/afe.12099",29,"MN",44.23,-95.27,2006,2,NA,"4.0","cover crops","Redwood"
"56","10.1111/afe.12099",29,"MN",44.75,-93.06,2006,1,NA,"4.0","cover crops","Dakota"
"57","10.2134/jeq2015.02.0080",30,"IA",42.01,-93.78,2010,4,935,"4.0","cropping system","Boone"
"58","10.2135/cropsci2005.09.0306",31,"IL",40.11,-88.2,2002,2,NA,"4.0","cover crops","Champaign"
"59","10.2136/sssaj2013.09.0403",32,"IL",40.063,-88.23,2009,1,NA,"4.0","cover crops","Champaign"
"60","10.2134/agronj13.0370",33,"IL",40.09,-88.23,2010,2,NA,"2.0","compaction","Champaign"
"61","10.2134/agronj2004.0800",34,"IL",39,-88.95,2001,2,NA,"4.0","crop rotation","Fayette"
"62","10.2134/agronj2004.0800",34,"IL",40.11,-88.2,2001,2,NA,"4.0","crop rotation","Champaign"
"63","10.2134/agronj2005.0052",35,"WI",44.07,89.32,2001,3,769,"4.0","cover crops",NA
"64","10.2136/sssaj2005.0095",36,"IA",42.01,-93.78,1996,7,NA,"10.0","crop rotation","Boone"
"65","10.2134/jeq2005.0183",37,"IA",42.01,-93.78,2003,2,NA,"10.0","crop rotation","Boone"
"66","0.2134/agronj2016.10.0613",38,"IL",44.1,-88.39,2014,2,NA,"4.0","crop rotation","Calumet"
"67","10.1016/j.fcr.2016.06.016",39,"IA",41.92,-93.75,2009,6,935,"4.0","cover crops","Boone"
"68","10.1016/j.agee.2016.07.003",40,"MI",42.4,-85.37,2013,2,NA,"5.0","cropping system","Kalamazoo"
"69","10.1016/j.agee.2016.07.003",40,"WI",43.3,-89.33,2013,2,NA,"5.0","cropping system","Columbia"
"70","10.1007/s12155-017-9858-z",41,"NE",48.846,-96.472,2014,3,860,"4.0","residue removal","Kittson"
"71","10.1007/s12155-017-9858-z",41,"NE",40.582,-98.144,2014,3,688,"4.0","residue removal","Clay"
"72","10.1017/wet.2017.23",42,"MO",38.9,-92.37,2013,3,1176,"4.0","cover crops or herbicide","Boone"
"73","10.1017/wet.2017.23",42,"MO",39.3,-92.37,2013,3,1098,"5.0","cover crops or herbicide","Randolph"
"74","10.1093/ee/nvw177",43,"IA",43.25,-94.83,2011,3,NA,"2.0","cover crops","Palo Alto"
"75","10.1093/ee/nvw177",43,"IA",42.03,-94,2011,3,NA,"2.0","cover crops","Boone"
"76","10.1097/SS.0000000000000187",44,"IA",41.55,-93.45,2013,1,NA,"4.0","cropping system","Polk"
"77","10.1016/j.still.2015.06.015",45,"MI",42.24,-85.24,2012,2,1027,"2.0","topographical position","Calhoun"
"78","10.1016/j.still.2015.06.015",45,"MI",42.63,-84.44,2012,2,977,"2.0","topographical position","Ingham"
"79","10.2135/cropsci2005.09-0296",46,"MN",44.08,-93.51,2002,2,NA,"8.0","cash crop cultivar","Waseca"
"80","10.2135/cropsci2005.09-0296",46,"MN",44.75,-93.06,2002,2,NA,"8.0","cash crop cultivar","Dakota"
"81","10.2135/cropsci2005.09-0296",46,"MN",44.23,-95.27,2002,2,NA,"8.0","cash crop cultivar","Redwood"
"82","10.1016/j.agwat.2016.04.006",47,"IA",42.05,-93.71,2008,7,NA,"4.0","cover crops","Boone"
"83","10.2134/jeq2013.12.0529",48,"IL",40.69,-88.78,2012,2,NA,"3.0","cover crops","McLean"
"84","10.1094/PDIS-07-16-1067-RE",49,"IL",40.06,-88.24,2011,3,NA,"4.0","cover crops","Champaign"
"85","10.1094/PDIS-07-16-1067-RE",49,"IL",40.47,-90.69,2011,3,NA,"3.0","cover crops","McDonough"
"86","10.1094/PDIS-07-16-1067-RE",49,"IL",39.92,-88.57,2011,3,NA,"4.0","cover crops","Piatt"
"87","10.1094/PDIS-07-16-1067-RE",49,"IL",40.55,-90.87,2011,3,NA,"4.0","cover crops","McDonough"
"88","10.2489/jswc.68.5.411",50,"WI",43.2,-89.43,2002,5,NA,"4.0","cropping system","Dane"
"89","10.2489/jswc.70.6.353",51,"IA",42.02,-93.77,2006,4,856,"3.0","cover crops","Boone"
"90","10.2136/sssaj2014.10.0399",52,"SD",44.3,-96.79,2008,4,500,"3.0","residue removal","Brookings"
"91","10.1007/s12155-014-9413-0",53,"SD",44.3,-96.79,2008,4,500,"3.0","residue removal","Brookings"
"92","10.2489/jswc.72.3.260",54,"IN",39.03,-85.54,2011,5,NA,"4.0","cover crop","Jennings"
"93","10.2134/agronj1997.00021962008900010011x",55,"NE",41.15,-96.5,1991,3,NA,"3.0","tillage","Saunders"
"94","10.2134/jpa1991.0062",56,"NE",40.82,-96.69,1982,3,NA,"4.0","cropping system","Lancaster"
"95","10.2134/agronj1995.00021962008700060006x",57,"WI",43.34,-89.37,1991,2,NA,"3.0","cover crops & fertility","Columbia"
"96","4abc",58,"MO",38.94,-91.94,1986,2,NA,"2.0","cover crops","Callaway"
"97","10.2136/sssaj2015.10.0363",120,"NE",42.23,-96.56,2008,1,NA,"4","nitrogen rate","Thurston"
"98","10.2136/sssaj2015.10.0363",120,"NE",42.38,-96.95,2009,1,NA,"4","nitrogen rate","Dixon"
"99","10.2136/sssaj2015.10.0363",120,"NE",42.35,-97.92,2009,1,NA,"4","nitrogen rate","Antelope"
"100","10.2489/jswc.72.3.183",121,"IA",42.02,-93.63,2012,2,NA,"3","nitrogen method and rate","Story"
"101","10.2489/jswc.72.3.183",121,"IA",42.93,-93.8,2012,2,NA,"3","nitrogen method and rate","Hancock"
"102","10.2489/jswc.72.3.183",121,"IA",42.95,-92.54,2012,2,NA,"3","nitrogen method and rate","Chickasaw"
"103","10.2489/jswc.72.3.183",121,"IA",42.02,-95.43,2012,2,NA,"3","nitrogen method and rate","Crawford"
"104","10.2489/jswc.72.3.183",121,"IA",41.39,-95.02,2012,2,NA,"3","nitrogen method and rate","Cass"
"105","10.2489/jswc.72.3.183",121,"IA",41.02,-93.31,2012,1,NA,"3","nitrogen method and rate","Lucas"
"106","10.2134/jeq2016.01.0024",122,"MN",44.99,-93.17,2014,2,542,"4","nitrogen method and rate","Ramsey"
"107","10.2134/agronj13.0441",123,"IL",40.09,-88.23,2007,3,NA,"4","nitrogen application timing","Champaign"
"108","10.2134/agronj13.0441",123,"IA",42.01,-93.74,2007,3,NA,"4","nitrogen application timing","Boone"
"109","10.2134/agronj13.0441",123,"KS",39.09,-95.94,2007,1,NA,"4","nitrogen application timing","Shawnee"
"110","10.2134/agronj13.0441",123,"KS",39.1,-95.83,2008,2,NA,"4","nitrogen application timing","Shawnee"
"111","10.2134/agronj2013.0043",124,"IN",40.47,-87.01,2010,2,970,"6","nitrogen rate","Tippecanoe"
"112","10.2134/agronj2013.0043",124,"IN",41.45,-86.94,2011,1,980,"6","nitrogen rate","Porter"
"113","10.2134/jeq2011.0240",125,"MN",45.23,-93.53,2009,2,531,"4","nitrogen application","Wright"
"114","10.2134/agronj2005.0615",126,"IA",41.21,-91.54,1999,2,NA,"4","nitrogen type, placement, and rate","Washington"
"115","10.2134/agronj2005.0615",126,"IA",42.93,-93.8,1999,2,NA,"4","nitrogen type, placement, and rate","Hancock"
"116","10.2134/agronj2005.0615",126,"IA",41.31,-95.08,1999,2,NA,"4","nitrogen type, placement, and rate","Cass"
"117","10.2134/agronj2005.0615",126,"IA",42.95,-92.54,1999,2,NA,"4","nitrogen type, placement, and rate","Chickasaw"
