"","Paper_id","State","Latitude","Longitude","Year_start","Years","Annual_precip","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME"
"1",1,"IL",37.441234,-88.671234,2001,4,617,"17","151","00424277","17151","Pope"
"2",2,"IA",42.051234,-93.711234,2006,5,856,"19","015","00465197","19015","Boone"
"3",3,"IL",40.641234,-88.781234,2012,3,NA,"17","113","01784833","17113","McLean"
"4",6,"MO",38.961234,-92.331234,2011,2,1015,"29","019","00758464","29019","Boone"
"5",7,"IA",42.021234,-93.451234,2011,2,1015,"19","169","00465273","19169","Story"
"6",10,"IA",42.021234,-93.451234,1990,6,NA,"19","169","00465273","19169","Story"
"7",12,"MI",41.841234,-85.661234,1995,3,NA,"26","149","01625034","26149","St. Joseph"
"8",13,"IA",42.021234,-93.451234,1994,3,NA,"19","169","00465273","19169","Story"
"9",14,"MN",44.231234,-95.271234,1998,3,670,"27","127","00659509","27127","Redwood"
"10",15,"IA",42.051234,-93.941234,2005,2,NA,"19","015","00465197","19015","Boone"
"11",17,"IA",42.751234,-94.701234,2006,3,NA,"19","151","00465264","19151","Pocahontas"
"12",18,"IA",42.751234,-94.701234,2005,4,NA,"19","151","00465264","19151","Pocahontas"
"13",19,"MN",46.011234,-94.571234,2005,1,NA,"27","097","00659494","27097","Morrison"
"14",20,"IA",42.021234,-93.771234,2009,3,872,"19","015","00465197","19015","Boone"
"15",21,"MN",46.211234,-95.481234,2008,1,NA,"27","111","00659501","27111","Otter Tail"
"16",22,"WI",43.181234,-89.211234,2010,2,NA,"55","025","01581072","55025","Dane"
